Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_0_1,0.2000,0.955424
1,router_0_1,router_0_0,0.8000,0.955547
2,router_0_0,router_0_1,0.2000,0.952225
3,router_0_1,router_0_0,0.3000,0.951038
4,router_0_1,router_0_0,0.3000,0.953314
5,router_0_1,router_0_0,0.3000,0.954256
6,router_0_1,router_0_0,0.3000,0.956449
7,router_0_1,router_0_0,1.3000,0.957656
8,router_0_0,router_0_1,0.2000,0.954618
9,router_0_0,router_0_1,0.2000,0.954168
10,router_0_0,router_0_1,0.2000,0.954988
11,router_0_0,router_0_1,0.2000,0.955310
12,router_0_0,router_0_1,0.2000,0.938592
13,router_0_0,router_0_1,0.2000,0.957943
14,router_0_0,router_0_1,0.2000,0.953593
15,router_0_0,router_0_1,0.2000,0.953686
16,router_0_1,router_0_0,0.3000,0.956484
17,router_0_1,router_0_0,0.5000,0.949813
18,router_0_1,router_0_0,0.3000,0.955400
19,router_0_1,router_0_0,0.3000,0.954108
20,router_0_1,router_0_0,0.8000,0.957145
21,router_0_0,router_0_1,0.2000,0.956047

AVERAGES,,,0.3500,0.953991
E2E_LATENCY,,,11.7001,
