Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_1,router_0_0,0.3000,0.955902
1,router_0_1,router_0_0,0.3000,0.954264
2,router_0_1,router_0_0,0.3000,0.953984
3,router_0_1,router_0_0,0.3000,0.956156
4,router_0_1,router_0_0,0.3000,0.950044
5,router_0_1,router_0_0,0.3000,0.954601
6,router_0_1,router_0_0,0.3000,0.955789
7,router_0_1,router_0_0,0.3000,0.957014
8,router_0_1,router_0_0,0.3000,0.956472
9,router_0_1,router_0_0,0.3000,0.958137
10,router_0_1,router_0_0,0.3000,0.956948
11,router_0_1,router_0_0,0.3000,0.954866
12,router_0_1,router_0_0,0.3000,0.948473
13,router_0_1,router_0_0,0.3000,0.956657
14,router_0_1,router_0_0,0.3000,0.955309
15,router_0_1,router_0_0,0.3000,0.957029
16,router_0_1,router_0_0,0.3000,0.955369
17,router_0_1,router_0_0,0.3000,0.958483
18,router_0_1,router_0_0,0.3000,0.952745
19,router_0_1,router_0_0,0.3000,0.955434
20,router_0_1,router_0_0,0.3000,0.954081
21,router_0_1,router_0_0,0.3000,0.957553
22,router_0_1,router_0_0,0.3000,0.953664
23,router_0_1,router_0_0,0.3000,0.956650
24,router_0_1,router_0_0,0.3000,0.953686
25,router_0_1,router_0_0,0.8000,0.956563
27,router_0_1,router_0_0,0.3000,0.955792
27,router_0_1,router_0_0,0.3000,0.954834
28,router_0_1,router_0_0,0.3000,0.955936
29,router_0_1,router_0_0,0.3000,0.955953
30,router_0_1,router_0_0,0.3000,0.953890
31,router_0_1,router_0_0,0.3000,0.957746
32,router_0_0,router_0_1,0.2000,0.953864
33,router_0_1,router_0_0,0.3000,0.951817
34,router_0_0,router_0_1,0.2000,0.954124
35,router_0_1,router_0_0,0.3000,0.945309
36,router_0_0,router_0_1,0.6000,0.949300
37,router_0_0,router_0_1,0.2000,0.958042
38,router_0_1,router_0_0,0.3000,0.957963
39,router_0_1,router_0_0,0.3000,0.956340
40,router_0_0,router_0_1,0.2000,0.957254
41,router_0_0,router_0_1,0.4000,0.949813
42,router_0_1,router_0_0,1.3000,0.957500
43,router_0_1,router_0_0,0.3000,0.949640
44,router_0_0,router_0_1,0.2000,0.954951
45,router_0_0,router_0_1,0.2000,0.954902
46,router_0_0,router_0_1,0.2000,0.954584
47,router_0_1,router_0_0,0.3000,0.955366
48,router_0_1,router_0_0,1.0000,0.949813
49,router_0_1,router_0_0,0.8000,0.958530
50,router_0_0,router_0_1,0.2000,0.956497
51,router_0_0,router_0_1,0.2000,0.955645
52,router_0_0,router_0_1,0.2000,0.955323
53,router_0_1,router_0_0,0.3000,0.955946
54,router_0_1,router_0_0,0.3000,0.955827
55,router_0_1,router_0_0,0.3000,0.957983
56,router_0_0,router_0_1,0.2000,0.952930
57,router_0_0,router_0_1,0.4000,0.949813
58,router_0_0,router_0_1,0.2000,0.957729
59,router_0_0,router_0_1,0.2000,0.955050
60,router_0_1,router_0_0,0.3000,0.958407
61,router_0_1,router_0_0,0.3000,0.955963
62,router_0_1,router_0_0,0.3000,0.948905
63,router_0_1,router_0_0,0.3000,0.949775
64,router_0_0,router_0_1,0.2000,0.956318
65,router_0_0,router_0_1,0.2000,0.956831
66,router_0_0,router_0_1,0.2000,0.956887
67,router_0_0,router_0_1,0.2000,0.953937
68,router_0_1,router_0_0,0.3000,0.957313
69,router_0_1,router_0_0,0.3000,0.954602
70,router_0_1,router_0_0,0.3000,0.953720
71,router_0_1,router_0_0,0.3000,0.954848
72,router_0_0,router_0_1,0.2000,0.956883
73,router_0_0,router_0_1,0.2000,0.958035
74,router_0_0,router_0_1,0.2000,0.956339
75,router_0_1,router_0_0,0.3000,0.954545
76,router_0_1,router_0_0,0.3000,0.953540
77,router_0_1,router_0_0,0.3000,0.956095
78,router_0_0,router_0_1,0.4000,0.949813
79,router_0_0,router_0_1,0.2000,0.955369
80,router_0_0,router_0_1,0.6000,0.957979
81,router_0_1,router_0_0,0.3000,0.953693
82,router_0_1,router_0_0,0.3000,0.956831
83,router_0_1,router_0_0,0.3000,0.955031
84,router_0_0,router_0_1,0.2000,0.954512
85,router_0_0,router_0_1,0.6000,0.957650
86,router_0_1,router_0_0,0.3000,0.955259
87,router_0_1,router_0_0,0.3000,0.953384
88,router_0_0,router_0_1,0.2000,0.956478
89,router_0_0,router_0_1,0.6000,0.958116
90,router_0_1,router_0_0,0.3000,0.957822
91,router_0_1,router_0_0,0.8000,0.956140
92,router_0_0,router_0_1,0.6000,0.955251
93,router_0_1,router_0_0,0.3000,0.955273
94,router_0_0,router_0_1,0.2000,0.953871
95,router_0_1,router_0_0,0.3000,0.951126
96,router_0_1,router_0_0,0.3000,0.953563
97,router_0_1,router_0_0,0.3000,0.956150
98,router_0_1,router_0_0,0.3000,0.954571
98,router_0_1,router_0_0,0.3000,0.952720
100,router_0_1,router_0_0,0.5000,0.949813
101,router_0_1,router_0_0,0.3000,0.957546
102,router_0_1,router_0_0,0.3000,0.956252
103,router_0_1,router_0_0,0.3000,0.954479
104,router_0_1,router_0_0,0.3000,0.955463
105,router_0_1,router_0_0,0.3000,0.957318
106,router_0_1,router_0_0,0.3000,0.953994
107,router_0_1,router_0_0,0.3000,0.957536
108,router_0_1,router_0_0,0.3000,0.957117
109,router_0_1,router_0_0,0.3000,0.948714
110,router_0_1,router_0_0,0.3000,0.949494
111,router_0_1,router_0_0,0.5000,0.949813
112,router_0_1,router_0_0,0.3000,0.956250
112,router_0_1,router_0_0,0.3000,0.956232
114,router_0_1,router_0_0,0.3000,0.956475
