Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_0_1,0.2000,0.850609
1,router_0_0,router_0_1,0.2000,0.922911
2,router_0_0,router_0_1,0.2000,0.923809
3,router_0_0,router_0_1,0.2000,0.922911
4,router_0_0,router_0_1,0.2000,0.896526
5,router_0_0,router_0_1,0.2000,0.905204
6,router_0_0,router_0_1,0.2000,0.931944
7,router_0_0,router_0_1,0.2000,0.922911
8,router_0_1,router_0_0,0.3000,0.800940
9,router_0_1,router_0_0,0.3000,0.931580
10,router_0_1,router_0_0,0.3000,0.936688
11,router_0_0,router_0_1,0.2000,0.871705
12,router_0_0,router_0_1,0.2000,0.907830
13,router_0_0,router_0_1,0.2000,0.932854
14,router_0_0,router_0_1,0.2000,0.922911
15,router_0_0,router_0_1,0.2000,0.925609
16,router_0_0,router_0_1,0.2000,0.928316
17,router_0_0,router_0_1,0.2000,0.922911
18,router_0_0,router_0_1,0.2000,0.924708

AVERAGES,,,0.2158,0.909625
E2E_LATENCY,,,7.9000,
