Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_1_0,0.2000,0.903344
1,router_0_0,router_1_0,0.2000,0.896354
2,router_0_0,router_1_0,0.2000,0.896354
3,router_0_0,router_1_0,0.2000,0.899118
4,router_0_0,router_1_0,0.2000,0.872336
5,router_0_0,router_1_0,0.2000,0.940619
6,router_0_0,router_1_0,0.2000,0.909587
7,router_0_0,router_1_0,0.2000,0.896526
8,router_1_0,router_0_1,1.1000,0.787639
9,router_0_0,router_0_1,0.2000,0.894976
10,router_1_0,router_0_1,0.6000,0.744895
11,router_0_0,router_0_1,0.2000,0.896699
12,router_0_0,router_1_0,0.2000,0.854830
13,router_0_0,router_1_0,0.2000,0.935763
14,router_1_0,router_0_1,0.6000,0.774534
15,router_1_0,router_0_1,0.6000,0.757322
16,router_1_0,router_0_1,0.6000,0.800308
17,router_1_0,router_0_1,0.6000,0.816200
18,router_1_0,router_0_1,0.6000,0.785970
19,router_1_0,router_0_1,0.6000,0.760307
20,router_1_0,router_0_1,0.6000,0.803399
21,router_1_0,router_0_1,0.6000,0.780346
22,router_1_0,router_0_1,0.6000,0.785542
23,router_1_0,router_0_1,0.6000,0.761124
24,router_1_0,router_0_1,0.6000,0.802220
25,router_1_0,router_0_1,0.6000,0.745293
26,router_0_1,router_1_1,0.2000,0.714870
27,router_1_0,router_1_1,0.2000,0.822639
28,router_0_1,router_1_1,0.2000,0.785599
29,router_1_0,router_1_1,0.2000,0.846342
30,router_1_0,router_0_1,0.6000,0.589887
31,router_1_0,router_0_1,0.6000,0.789987
32,router_0_1,router_1_1,0.2000,0.910370
33,router_0_1,router_1_1,0.2000,0.881194
34,router_0_1,router_1_1,0.2000,0.906954
35,router_0_1,router_1_1,0.2000,0.897389
36,router_0_1,router_1_1,0.2000,0.900851
37,router_0_1,router_1_1,0.2000,0.881194
38,router_0_1,router_1_1,0.2000,0.924807
39,router_0_1,router_1_1,0.2000,0.899118
40,router_0_1,router_1_1,0.2000,0.897044
41,router_0_1,router_1_1,0.2000,0.881363
42,router_0_1,router_1_1,0.2000,0.905729
43,router_0_1,router_1_1,0.2000,0.896354
44,router_1_1,router_0_1,0.5000,0.949813
45,router_1_1,router_0_0,0.6000,0.835553
46,router_1_1,router_0_0,0.6000,0.800162
47,router_1_1,router_0_0,0.6000,0.599631
48,router_1_1,router_0_0,0.6000,0.799575
49,router_1_1,router_1_0,0.3000,0.949348
50,router_1_1,router_1_0,0.3000,0.905030
51,router_0_1,router_1_1,0.2000,0.833702
52,router_0_1,router_1_1,0.2000,0.881194
53,router_0_1,router_1_1,0.2000,0.905204
54,router_0_1,router_1_1,0.2000,0.897389
55,router_0_1,router_1_1,0.2000,0.944469
56,router_0_1,router_1_1,0.2000,0.880353
57,router_0_1,router_1_1,0.2000,0.907830
58,router_0_1,router_1_1,0.2000,0.898253
59,router_0_1,router_1_1,0.2000,0.883724
60,router_0_1,router_1_1,0.2000,0.879513
61,router_0_1,router_1_1,0.2000,0.940341
62,router_0_1,router_1_1,0.2000,0.896354
63,router_0_1,router_1_1,0.2000,0.897044
64,router_1_0,router_1_1,0.2000,0.798854
65,router_0_1,router_1_1,0.2000,0.850171
66,router_1_0,router_1_1,0.2000,0.846501
67,router_1_0,router_0_1,0.6000,0.490883
68,router_1_0,router_0_1,0.6000,0.848539
69,router_1_0,router_0_1,0.6000,0.757322
70,router_1_0,router_0_1,0.6000,0.760035
71,router_1_0,router_0_1,0.6000,0.803989
72,router_1_0,router_0_1,0.6000,0.777796
73,router_1_0,router_0_1,0.6000,0.757863
74,router_1_0,router_0_1,0.6000,0.758948
75,router_1_0,router_0_1,0.6000,0.800896
76,router_1_0,router_0_1,0.6000,0.717615
77,router_1_0,router_0_1,0.6000,0.757728
78,router_1_0,router_0_1,0.6000,0.758405
79,router_1_0,router_0_1,0.6000,0.804581
80,router_1_0,router_0_1,0.6000,0.667481
81,router_1_0,router_0_1,0.6000,0.787402
82,router_0_0,router_0_1,0.2000,0.895665
83,router_1_0,router_0_1,0.6000,0.745423
84,router_0_0,router_0_1,0.4000,0.949813
85,router_0_0,router_1_0,0.2000,0.902180
86,router_0_0,router_1_0,0.2000,0.896354
87,router_0_0,router_1_0,0.2000,0.880017
88,router_0_0,router_1_0,0.2000,0.879345
89,router_0_0,router_1_0,0.2000,0.905030
90,router_0_0,router_1_0,0.2000,0.896354
91,router_0_0,router_1_0,0.2000,0.913703
92,router_0_0,router_1_0,0.2000,0.897389
93,router_0_0,router_1_0,0.2000,0.896526
94,router_0_0,router_1_0,0.2000,0.897389

AVERAGES,,,0.3642,0.840189
E2E_LATENCY,,,66.6002,
