Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_1_1,router_0_1,0.3000,0.690001
1,router_1_1,router_0_1,0.3000,0.945542
2,router_1_1,router_0_1,0.3000,0.896181
3,router_1_1,router_0_1,0.3000,0.809073
4,router_1_1,router_0_1,0.3000,0.898253
5,router_1_1,router_0_1,0.3000,0.892575
6,router_1_1,router_0_1,0.3000,0.900330
7,router_1_1,router_0_1,0.3000,0.904855
8,router_1_1,router_0_1,0.3000,0.810865
9,router_1_1,router_0_1,0.3000,0.941513
9,router_1_1,router_0_1,0.3000,0.809371
11,router_1_1,router_0_1,0.3000,0.909411
12,router_1_1,router_0_1,0.3000,0.898080
13,router_1_1,router_0_1,0.3000,0.896868
14,router_1_1,router_0_1,0.3000,0.905904
15,router_1_1,router_0_1,0.3000,0.907655
16,router_1_1,router_0_1,0.3000,0.897216
17,router_1_1,router_0_1,0.3000,0.808626
18,router_1_1,router_0_1,0.3000,0.914729
19,router_1_1,router_0_1,0.3000,0.905030
20,router_1_1,router_0_1,0.3000,0.897216
20,router_1_1,router_0_1,0.3000,0.809371
22,router_1_1,router_0_1,0.3000,0.905030
23,router_1_1,router_0_1,0.3000,0.924341
24,router_1_1,router_0_1,0.3000,0.904855
25,router_1_1,router_0_1,0.3000,0.897561
26,router_1_1,router_0_1,0.3000,0.808477
27,router_1_1,router_0_1,0.3000,0.905554
28,router_1_1,router_0_1,0.3000,0.941411
29,router_1_1,router_0_1,0.3000,0.907655
30,router_1_1,router_0_1,0.3000,0.898080
31,router_1_1,router_0_1,0.3000,0.908532
32,router_1_1,router_0_1,0.3000,0.812363
33,router_1_1,router_0_1,0.3000,0.905030
34,router_1_1,router_0_1,0.3000,0.905904
35,router_1_1,router_0_1,0.3000,0.918222
36,router_1_1,router_0_1,0.3000,0.898080
37,router_1_1,router_0_1,0.3000,0.810118
38,router_1_1,router_0_1,0.3000,0.905904
39,router_1_1,router_0_1,0.3000,0.926568
40,router_1_1,router_0_1,0.3000,0.905030
41,router_1_1,router_0_1,0.3000,0.909411
42,router_1_1,router_0_1,0.3000,0.898080
42,router_1_1,router_0_1,0.3000,0.809371
43,router_1_1,router_0_1,0.3000,0.945079
45,router_1_1,router_0_1,0.3000,0.910467
46,router_1_1,router_0_1,0.3000,0.905554
47,router_1_1,router_0_1,0.3000,0.905554
48,router_1_1,router_0_1,0.3000,0.904855
49,router_1_1,router_0_1,0.3000,0.896181
50,router_1_1,router_0_1,0.3000,0.914434
51,router_1_1,router_0_1,0.3000,0.905030
52,router_1_1,router_0_1,0.3000,0.905030
53,router_1_1,router_0_1,0.3000,0.906779
54,router_1_1,router_0_1,0.3000,0.908532
55,router_1_1,router_0_1,0.3000,0.905030
56,router_1_1,router_0_1,0.3000,0.897216
57,router_1_1,router_0_1,0.3000,0.848706
58,router_1_1,router_0_1,0.3000,0.904855
59,router_1_1,router_0_1,0.3000,0.905554
60,router_1_1,router_0_1,0.3000,0.904855
61,router_1_1,router_0_1,0.3000,0.904855
62,router_1_1,router_0_1,0.3000,0.904855
63,router_1_1,router_0_1,0.3000,0.923676
64,router_1_1,router_0_1,0.3000,0.896181
65,router_1_1,router_0_1,0.3000,0.808477
66,router_1_1,router_0_1,0.3000,0.906253
67,router_1_1,router_0_1,0.3000,0.905554
68,router_1_1,router_0_1,0.3000,0.940282
69,router_1_1,router_0_1,0.3000,0.906779
70,router_1_1,router_0_1,0.3000,0.905030
71,router_1_1,router_0_1,0.3000,0.906779
73,router_1_1,router_0_1,0.3000,0.810118
74,router_1_1,router_0_1,0.3000,0.898080
74,router_1_1,router_0_1,0.3000,0.910848
75,router_1_1,router_0_1,0.3000,0.906954
76,router_1_1,router_0_1,0.3000,0.904855
77,router_1_1,router_0_1,0.3000,0.904855
78,router_1_1,router_0_1,0.3000,0.905554
79,router_1_1,router_1_0,3.0001,0.949813
81,router_1_1,router_0_1,0.3000,0.836460
82,router_1_1,router_0_1,0.3000,0.852897
82,router_1_1,router_0_1,0.3000,0.904855
83,router_1_1,router_0_1,0.3000,0.908357
84,router_1_1,router_0_1,0.3000,0.906253
85,router_1_1,router_0_1,0.3000,0.904855
86,router_1_1,router_0_1,0.3000,0.906253
87,router_1_1,router_1_0,0.3000,0.917751
88,router_1_1,router_0_1,0.3000,0.864099
88,router_1_1,router_0_1,0.3000,0.809073
89,router_1_1,router_0_1,0.3000,0.906954
91,router_1_1,router_0_1,0.3000,0.904855
92,router_1_1,router_0_1,0.3000,0.934665
93,router_1_1,router_0_1,0.3000,0.905030
94,router_1_1,router_1_0,2.0001,0.949813
95,router_1_1,router_1_0,0.5000,0.949813
97,router_1_1,router_0_1,0.3000,0.945240
98,router_1_1,router_0_1,0.3000,0.814165
98,router_1_1,router_0_1,0.3000,0.904855
99,router_1_1,router_0_1,0.3000,0.905554
100,router_1_1,router_0_1,0.3000,0.907655
101,router_1_1,router_0_1,0.3000,0.905554
102,router_1_1,router_1_0,0.3000,0.750284
103,router_1_1,router_1_0,0.3000,0.904855
104,router_1_1,router_0_1,0.3000,0.814617
105,router_1_1,router_0_1,0.3000,0.834584
106,router_1_1,router_0_1,0.3000,0.905904
107,router_1_1,router_0_1,0.3000,0.905904
108,router_1_1,router_0_1,0.3000,0.905904
109,router_1_1,router_1_0,0.3000,0.693254
110,router_1_1,router_1_0,0.3000,0.904855
111,router_1_1,router_1_0,0.3000,0.910306
112,router_1_1,router_0_1,0.3000,0.860742
113,router_1_1,router_0_1,0.3000,0.812063
114,router_1_1,router_0_1,0.3000,0.905554
115,router_1_1,router_0_1,0.3000,0.906253
116,router_1_1,router_0_1,0.3000,0.927247
117,router_1_1,router_1_0,0.3000,0.882334
118,router_1_1,router_1_0,0.3000,0.905554
119,router_1_1,router_1_0,0.3000,0.906954
120,router_1_1,router_0_1,0.3000,0.778908
120,router_1_1,router_0_1,0.3000,0.944256
121,router_1_1,router_0_1,0.3000,0.906954
123,router_1_1,router_0_1,0.3000,0.905554
124,router_1_1,router_1_0,0.3000,0.816264
125,router_1_1,router_1_0,0.3000,0.904855
126,router_1_1,router_1_0,0.3000,0.906253
127,router_1_1,router_1_0,0.3000,0.904855
128,router_1_1,router_0_1,0.3000,0.743874
129,router_1_1,router_0_1,0.3000,0.831774
130,router_1_1,router_0_1,0.3000,0.906954
131,router_1_1,router_0_1,0.3000,0.905554
132,router_1_1,router_1_0,0.3000,0.722551
133,router_1_1,router_1_0,0.3000,0.906954
134,router_1_1,router_1_0,0.3000,0.906253
135,router_1_1,router_1_0,0.3000,0.909097
136,router_1_1,router_0_1,0.3000,0.858263
137,router_1_1,router_0_1,0.3000,0.808626
138,router_1_1,router_0_1,0.3000,0.905030
139,router_1_1,router_1_0,0.3000,0.700105
140,router_1_1,router_1_0,0.3000,0.926453
141,router_1_1,router_1_0,0.3000,0.907655
142,router_1_1,router_1_0,0.3000,0.905030
143,router_1_1,router_1_0,0.3000,0.907655
144,router_1_1,router_0_1,0.3000,0.759078
145,router_1_1,router_0_1,0.3000,0.941776
146,router_1_1,router_0_1,0.3000,0.908357
147,router_1_1,router_1_0,0.3000,0.854355
148,router_1_1,router_1_0,0.3000,0.906253
149,router_1_1,router_1_0,0.3000,0.904855
150,router_1_1,router_1_0,0.3000,0.906253
151,router_1_1,router_1_0,0.3000,0.906253
152,router_1_1,router_0_1,0.3000,0.711161
153,router_1_1,router_0_1,0.3000,0.830629
154,router_1_1,router_1_0,0.3000,0.896871
155,router_1_1,router_1_0,0.3000,0.791450
156,router_1_1,router_1_0,0.3000,0.905030
157,router_1_1,router_1_0,0.3000,0.905030
158,router_1_1,router_1_0,0.3000,0.911172
159,router_1_1,router_1_0,0.3000,0.905904
160,router_1_1,router_0_1,0.3000,0.897726
161,router_1_1,router_0_1,0.3000,0.808477
162,router_1_1,router_1_0,0.3000,0.897593
163,router_1_1,router_1_0,0.3000,0.773156
164,router_1_1,router_1_0,0.3000,0.906954
165,router_1_1,router_1_0,0.3000,0.904855
166,router_1_1,router_1_0,0.3000,0.926059
167,router_1_1,router_1_0,0.3000,0.908532
168,router_1_1,router_0_1,0.3000,0.831899
169,router_1_1,router_1_0,0.3000,0.896354
170,router_1_1,router_1_0,0.3000,0.811613
171,router_1_1,router_1_0,0.3000,0.907655
172,router_1_1,router_1_0,0.3000,0.938063
173,router_1_1,router_1_0,0.3000,0.905030
174,router_1_1,router_1_0,0.3000,0.905904
175,router_1_1,router_1_0,0.3000,0.906779
176,router_1_1,router_0_1,0.3000,0.768546
177,router_1_1,router_1_0,0.3000,0.896354
177,router_1_1,router_1_0,0.3000,0.808626
179,router_1_1,router_1_0,0.3000,0.910355
180,router_1_1,router_1_0,0.3000,0.905904
181,router_1_1,router_1_0,0.3000,0.905030
182,router_1_1,router_1_0,0.3000,0.905030
183,router_1_1,router_1_0,0.3000,0.907655
184,router_1_1,router_1_0,0.3000,0.897216
184,router_1_1,router_1_0,0.3000,0.881251
185,router_1_1,router_1_0,0.3000,0.905904
187,router_1_1,router_1_0,0.3000,0.905030
188,router_1_1,router_1_0,0.3000,0.905030
189,router_1_1,router_1_0,0.3000,0.905030
190,router_1_1,router_1_0,0.3000,0.905030
191,router_1_1,router_1_0,0.3000,0.905904
192,router_1_1,router_1_0,0.5000,0.949813
192,router_1_1,router_1_0,0.3000,0.905074
193,router_1_1,router_1_0,0.3000,0.905904
194,router_1_1,router_1_0,0.3000,0.905904
196,router_1_1,router_1_0,0.3000,0.905030
197,router_1_1,router_1_0,0.3000,0.937868
198,router_1_1,router_1_0,0.3000,0.907655
199,router_1_1,router_1_0,0.3000,0.906779
200,router_0_1,router_1_0,0.6000,0.508756
201,router_1_1,router_1_0,0.3000,0.896354
201,router_1_1,router_1_0,1.0000,0.949813
202,router_1_1,router_1_0,0.3000,0.904608
204,router_1_1,router_1_0,0.3000,0.905030
205,router_1_1,router_1_0,0.3000,0.907655
206,router_1_1,router_1_0,0.3000,0.906779
207,router_1_1,router_1_0,0.3000,0.905030
208,router_1_1,router_0_0,0.6000,0.533712
209,router_0_1,router_1_0,0.6000,0.606907
210,router_1_1,router_1_0,0.3000,0.853702
211,router_1_1,router_1_0,0.3000,0.835456
212,router_1_1,router_1_0,0.3000,0.904855
213,router_1_1,router_1_0,0.3000,0.906253
214,router_1_1,router_1_0,0.3000,0.911172
215,router_1_1,router_1_0,0.3000,0.905554
216,router_1_1,router_1_0,0.3000,0.905554
217,router_1_1,router_0_0,0.6000,0.817568
218,router_0_1,router_1_0,0.6000,0.758900
219,router_0_1,router_1_0,0.6000,0.651636
220,router_1_1,router_1_0,0.3000,0.862949
221,router_1_1,router_1_0,0.3000,0.771624
222,router_1_1,router_1_0,0.3000,0.905554
223,router_1_1,router_1_0,0.3000,0.931664
224,router_1_1,router_1_0,0.3000,0.904855
225,router_1_1,router_1_0,0.3000,0.905554
226,router_1_1,router_0_0,0.6000,0.651350
227,router_1_1,router_0_0,0.6000,0.802367
228,router_0_1,router_1_0,0.6000,0.652193
229,router_0_1,router_1_0,0.6000,0.804231
230,router_1_1,router_1_0,0.3000,0.813714
230,router_1_1,router_1_0,0.3000,0.856543
232,router_1_1,router_1_0,0.3000,0.908357
233,router_1_1,router_1_0,0.3000,0.906253
234,router_1_1,router_1_0,0.3000,0.904855
235,router_1_1,router_1_0,0.3000,0.905554
236,router_1_1,router_0_0,0.6000,0.510756
237,router_1_1,router_0_0,0.6000,0.859875
238,router_0_1,router_1_0,0.6000,0.785401
239,router_0_1,router_1_0,0.6000,0.650887
240,router_0_1,router_1_0,0.6000,0.803989
242,router_1_1,router_1_0,0.3000,0.740593
243,router_1_1,router_1_0,0.3000,0.885558
243,router_1_1,router_1_0,0.3000,0.905030
244,router_1_1,router_1_0,0.3000,0.910340
