Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_1_1,router_0_1,0.3000,0.690001
1,router_1_1,router_0_1,0.3000,0.945542
2,router_1_1,router_0_1,0.3000,0.896181
3,router_1_1,router_0_1,0.3000,0.809073
4,router_1_1,router_0_1,0.3000,0.898253
5,router_1_1,router_0_1,0.3000,0.894167
6,router_1_1,router_0_1,0.3000,0.901545
7,router_1_1,router_0_1,0.3000,0.905030
8,router_1_1,router_0_1,0.3000,0.811613
9,router_1_1,router_0_1,0.5000,0.949813
9,router_1_1,router_0_1,1.5000,0.949813
10,router_1_1,router_0_1,1.5000,0.949813
13,router_1_1,router_0_1,0.3000,0.892268
14,router_1_1,router_0_1,1.0000,0.949813
14,router_1_1,router_0_1,0.3000,0.906253
15,router_1_1,router_0_1,0.3000,0.904855
16,router_1_1,router_0_1,0.3000,0.898944
17,router_1_1,router_0_1,1.3000,0.948784
18,router_1_1,router_0_1,0.3000,0.904855
19,router_1_1,router_0_1,0.3000,0.904855
20,router_1_1,router_0_1,0.3000,0.896181
21,router_1_1,router_0_1,0.3000,0.809073
22,router_1_1,router_0_1,0.3000,0.909060
23,router_1_1,router_0_1,0.3000,0.918405
24,router_1_1,router_0_1,0.3000,0.905904
25,router_1_1,router_0_1,0.3000,0.896354
26,router_1_1,router_0_1,0.3000,0.809371
27,router_1_1,router_0_1,0.3000,0.905030
28,router_1_1,router_0_1,0.3000,0.934585
29,router_1_1,router_0_1,0.3000,0.904855
30,router_1_1,router_0_1,0.3000,0.896871
31,router_1_1,router_0_1,1.5000,0.949813
32,router_1_1,router_0_1,0.3000,0.809073
33,router_1_1,router_0_1,0.3000,0.904855
34,router_1_1,router_0_1,1.0000,0.949813
35,router_1_1,router_0_1,2.0000,0.949813
36,router_1_1,router_0_1,3.0001,0.949813
36,router_1_1,router_0_1,0.5000,0.949813
37,router_1_1,router_0_1,1.0000,0.949813
39,router_1_1,router_0_1,0.3000,0.912151
40,router_1_1,router_0_1,0.3000,0.905030
41,router_1_1,router_0_1,0.3000,0.905904
42,router_1_1,router_0_1,0.3000,0.811613
43,router_1_1,router_0_1,0.3000,0.928936
44,router_1_1,router_0_1,0.3000,0.901545
45,router_1_1,router_0_1,0.3000,0.905904
46,router_1_1,router_0_1,0.3000,0.907655
47,router_1_1,router_0_1,0.3000,0.905030
48,router_1_1,router_0_1,0.3000,0.905030
49,router_1_1,router_0_1,0.3000,0.896354
49,router_1_1,router_0_1,0.3000,0.904586
50,router_1_1,router_0_1,0.3000,0.906779
52,router_1_1,router_0_1,0.3000,0.907655
53,router_1_1,router_0_1,0.3000,0.909411
54,router_1_1,router_0_1,0.3000,0.905030
55,router_1_1,router_0_1,0.3000,0.912054
56,router_1_1,router_0_1,0.3000,0.897216
57,router_1_1,router_0_1,0.3000,0.831482
58,router_1_1,router_0_1,0.3000,0.904855
59,router_1_1,router_0_1,0.3000,0.904855
60,router_1_1,router_0_1,0.3000,0.906954
61,router_1_1,router_0_1,0.3000,0.905554
62,router_1_1,router_0_1,0.3000,0.905554
63,router_1_1,router_0_1,0.3000,0.908970
64,router_1_1,router_0_1,0.3000,0.897561
64,router_1_1,router_0_1,0.3000,0.810865
65,router_1_1,router_0_1,0.3000,0.904855
67,router_1_1,router_0_1,0.3000,0.905554
68,router_1_1,router_0_1,0.3000,0.927658
69,router_1_1,router_0_1,0.3000,0.911172
70,router_1_1,router_0_1,0.3000,0.905030
71,router_1_1,router_0_1,0.3000,0.905904
72,router_1_1,router_0_1,0.3000,0.896354
72,router_1_1,router_0_1,0.3000,0.942789
74,router_1_1,router_0_1,0.3000,0.906253
75,router_1_1,router_0_1,0.3000,0.905554
76,router_1_1,router_0_1,0.3000,0.904855
77,router_1_1,router_0_1,0.3000,0.904855
78,router_1_1,router_0_1,0.3000,0.906253
79,router_1_1,router_1_0,0.3000,0.716313
80,router_1_1,router_0_1,0.3000,0.854669
81,router_1_1,router_0_1,1.5000,0.949813
82,router_1_1,router_0_1,0.5000,0.949813
83,router_1_1,router_0_1,1.5000,0.949813
84,router_1_1,router_0_1,0.5000,0.949813
85,router_1_1,router_0_1,1.5000,0.949813
86,router_1_1,router_0_1,0.3000,0.947089
87,router_1_1,router_1_0,0.3000,0.900680
88,router_1_1,router_0_1,0.3000,0.808626
89,router_1_1,router_0_1,0.3000,0.905030
90,router_1_1,router_0_1,0.3000,0.855661
91,router_1_1,router_0_1,0.3000,0.905030
92,router_1_1,router_0_1,0.3000,0.922855
93,router_1_1,router_0_1,0.3000,0.904855
94,router_1_1,router_1_0,0.3000,0.834238
95,router_1_1,router_1_0,0.3000,0.906253
96,router_1_1,router_0_1,0.3000,0.815219
96,router_1_1,router_0_1,0.3000,0.932903
97,router_1_1,router_0_1,0.3000,0.905904
99,router_1_1,router_0_1,0.3000,0.905030
100,router_1_1,router_0_1,0.3000,0.905030
101,router_1_1,router_0_1,0.3000,0.905030
102,router_1_1,router_1_0,0.3000,0.738451
103,router_1_1,router_1_0,0.3000,0.905904
104,router_1_1,router_0_1,0.3000,0.818545
104,router_1_1,router_0_1,0.3000,0.821037
105,router_1_1,router_0_1,0.3000,0.906779
107,router_1_1,router_0_1,0.3000,0.906779
108,router_1_1,router_0_1,0.3000,0.905030
109,router_1_1,router_1_0,0.3000,0.685591
110,router_1_1,router_1_0,0.3000,0.946286
111,router_1_1,router_1_0,0.3000,0.906253
112,router_1_1,router_0_1,0.3000,0.849744
113,router_1_1,router_0_1,0.3000,0.808626
114,router_1_1,router_0_1,0.3000,0.905030
115,router_1_1,router_0_1,0.3000,0.905904
116,router_1_1,router_0_1,0.3000,0.913167
117,router_1_1,router_1_0,0.3000,0.870860
118,router_1_1,router_1_0,0.3000,0.906253
119,router_1_1,router_1_0,0.3000,0.905554
120,router_1_1,router_0_1,0.3000,0.779472
120,router_1_1,router_0_1,0.3000,0.932127
121,router_1_1,router_0_1,0.3000,0.905030
123,router_1_1,router_0_1,0.3000,0.905904
124,router_1_1,router_1_0,0.3000,0.806708
125,router_1_1,router_1_0,0.3000,0.904855
126,router_1_1,router_1_0,0.3000,0.904855
127,router_1_1,router_1_0,0.3000,0.909763
128,router_1_1,router_0_1,0.3000,0.746118
128,router_1_1,router_0_1,0.3000,0.817641
129,router_1_1,router_0_1,0.3000,0.910291
131,router_1_1,router_0_1,0.3000,0.906779
132,router_1_1,router_1_0,0.3000,0.714282
133,router_1_1,router_1_0,0.3000,0.906253
134,router_1_1,router_1_0,0.3000,0.940576
135,router_1_1,router_1_0,0.3000,0.905904
136,router_1_1,router_0_1,0.3000,0.847861
137,router_1_1,router_0_1,0.3000,0.808626
138,router_1_1,router_0_1,0.3000,0.906779
139,router_1_1,router_1_0,0.3000,0.701427
140,router_1_1,router_1_0,0.3000,0.916361
141,router_1_1,router_1_0,0.3000,0.905030
142,router_1_1,router_1_0,0.3000,0.908532
143,router_1_1,router_1_0,0.3000,0.907655
144,router_1_1,router_0_1,0.3000,0.750243
145,router_1_1,router_0_1,0.3000,0.935543
146,router_1_1,router_0_1,0.3000,0.905904
147,router_1_1,router_1_0,0.3000,0.841148
148,router_1_1,router_1_0,0.3000,0.905030
149,router_1_1,router_1_0,0.3000,0.905030
150,router_1_1,router_1_0,0.3000,0.905904
151,router_1_1,router_1_0,0.3000,0.906779
152,router_1_1,router_0_1,0.3000,0.712516
152,router_1_1,router_0_1,0.3000,0.817281
154,router_1_1,router_1_0,0.3000,0.896354
155,router_1_1,router_1_0,0.3000,0.783029
156,router_1_1,router_1_0,0.3000,0.904855
157,router_1_1,router_1_0,0.3000,0.905554
158,router_1_1,router_1_0,0.3000,0.904855
159,router_1_1,router_1_0,0.3000,0.942057
160,router_1_1,router_0_1,0.3000,0.885777
161,router_1_1,router_0_1,0.3000,0.809073
162,router_1_1,router_1_0,0.3000,0.897216
163,router_1_1,router_1_0,0.3000,0.772181
164,router_1_1,router_1_0,0.3000,0.905030
165,router_1_1,router_1_0,0.3000,0.906779
166,router_1_1,router_1_0,0.3000,0.908254
167,router_1_1,router_1_0,0.3000,0.904855
168,router_1_1,router_0_1,0.3000,0.819964
169,router_1_1,router_1_0,0.3000,0.896181
169,router_1_1,router_1_0,0.3000,0.808477
171,router_1_1,router_1_0,0.3000,0.905554
172,router_1_1,router_1_0,0.3000,0.930047
173,router_1_1,router_1_0,0.3000,0.905030
174,router_1_1,router_1_0,0.3000,0.905030
175,router_1_1,router_1_0,0.3000,0.905904
176,router_1_1,router_0_1,0.3000,0.757695
177,router_1_1,router_1_0,0.3000,0.897216
177,router_1_1,router_1_0,0.3000,0.940591
179,router_1_1,router_1_0,0.3000,0.907655
180,router_1_1,router_1_0,0.3000,0.905554
181,router_1_1,router_1_0,0.3000,0.906954
182,router_1_1,router_1_0,0.3000,0.906253
183,router_1_1,router_1_0,0.3000,0.904855
184,router_1_1,router_1_0,0.3000,0.896871
184,router_1_1,router_1_0,0.3000,0.867308
185,router_1_1,router_1_0,0.3000,0.905030
187,router_1_1,router_1_0,0.3000,0.907655
188,router_1_1,router_1_0,0.3000,0.906779
189,router_1_1,router_1_0,0.3000,0.905030
190,router_1_1,router_1_0,0.3000,0.905030
191,router_1_1,router_1_0,0.3000,0.905030
192,router_1_1,router_1_0,0.3000,0.899392
193,router_1_1,router_1_0,0.3000,0.808626
194,router_1_1,router_1_0,0.3000,0.906779
195,router_1_1,router_1_0,0.3000,0.912937
196,router_1_1,router_1_0,0.3000,0.905904
197,router_1_1,router_1_0,0.3000,0.928010
198,router_1_1,router_1_0,0.3000,0.905030
199,router_1_1,router_1_0,0.3000,0.905030
200,router_0_1,router_1_0,0.6000,0.491565
202,router_1_1,router_1_0,0.3000,0.939976
203,router_1_1,router_1_0,0.3000,0.897216
203,router_1_1,router_1_0,0.3000,0.905554
204,router_1_1,router_1_0,0.3000,0.904855
205,router_1_1,router_1_0,0.3000,0.905554
206,router_1_1,router_1_0,0.3000,0.904855
207,router_1_1,router_1_0,0.3000,0.906954
208,router_1_1,router_0_0,0.6000,0.520844
209,router_0_1,router_1_0,0.6000,0.604048
210,router_1_1,router_1_0,0.3000,0.854185
211,router_1_1,router_1_0,0.3000,0.829911
212,router_1_1,router_1_0,0.3000,0.904855
213,router_1_1,router_1_0,0.3000,0.905554
214,router_1_1,router_1_0,0.3000,0.905554
215,router_1_1,router_1_0,0.3000,0.905554
216,router_1_1,router_1_0,0.3000,0.948162
217,router_1_1,router_0_0,0.6000,0.799822
218,router_0_1,router_1_0,0.6000,0.750327
219,router_0_1,router_1_0,0.6000,0.651315
220,router_1_1,router_1_0,0.3000,0.854185
220,router_1_1,router_1_0,0.3000,0.772738
221,router_1_1,router_1_0,0.3000,0.904855
223,router_1_1,router_1_0,0.3000,0.918273
224,router_1_1,router_1_0,0.3000,0.905030
225,router_1_1,router_1_0,0.3000,0.905030
226,router_1_1,router_0_0,0.6000,0.638776
227,router_1_1,router_0_0,0.6000,0.801925
228,router_0_1,router_1_0,0.6000,0.640285
229,router_0_1,router_1_0,0.6000,0.774186
231,router_1_1,router_1_0,0.3000,0.846263
232,router_1_1,router_1_0,0.3000,0.813864
232,router_1_1,router_1_0,0.3000,0.905030
233,router_1_1,router_1_0,0.3000,0.905904
234,router_1_1,router_1_0,0.3000,0.907655
235,router_1_1,router_1_0,0.3000,0.906779
236,router_1_1,router_0_0,0.6000,0.505501
237,router_1_1,router_0_0,0.6000,0.848074
238,router_0_1,router_1_0,0.6000,0.768579
239,router_0_1,router_1_0,0.6000,0.651315
240,router_0_1,router_1_0,0.6000,0.800015
241,router_1_1,router_1_0,0.3000,0.873529
241,router_1_1,router_1_0,0.3000,0.738634
242,router_1_1,router_1_0,0.3000,0.945797
244,router_1_1,router_1_0,0.3000,0.909796
