Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_1_0,0.2000,0.955671
1,router_0_0,router_1_0,0.6000,0.957877
2,router_0_0,router_1_0,0.2000,0.953609
3,router_0_0,router_1_0,0.2000,0.954494
4,router_0_0,router_1_0,0.2000,0.948560
5,router_0_0,router_1_0,0.2000,0.940966
6,router_0_0,router_1_0,0.2000,0.905204
7,router_0_0,router_1_0,0.2000,0.903460
8,router_1_0,router_0_1,0.8000,0.884663
9,router_0_0,router_0_1,0.4000,0.949813
10,router_1_0,router_0_1,0.6000,0.792721
11,router_0_0,router_0_1,0.2000,0.955063
12,router_0_0,router_1_0,0.2000,0.854830
13,router_0_0,router_1_0,0.2000,0.957615
14,router_1_0,router_0_1,0.6000,0.822748
15,router_1_0,router_0_1,0.6000,0.820490
16,router_1_0,router_0_1,1.1000,0.842291
17,router_1_0,router_0_1,1.1000,0.848912
18,router_1_0,router_0_1,0.6000,0.833651
19,router_1_0,router_0_1,0.6000,0.814940
20,router_1_0,router_0_1,0.6000,0.842032
21,router_1_0,router_0_1,0.6000,0.829756
22,router_1_0,router_0_1,0.6000,0.834160
23,router_1_0,router_0_1,1.1000,0.813827
24,router_1_0,router_0_1,1.3000,0.835742
25,router_1_0,router_0_1,0.7000,0.804835
26,router_0_1,router_1_1,0.4000,0.949813
27,router_1_0,router_1_1,0.2000,0.954983
28,router_0_1,router_1_1,0.2000,0.774068
29,router_1_0,router_1_1,0.2000,0.958034
30,router_1_0,router_0_1,0.6000,0.716339
31,router_1_0,router_0_1,0.6000,0.836065
32,router_0_1,router_1_1,1.4000,0.949102
33,router_0_1,router_1_1,0.2000,0.956858
34,router_0_1,router_1_1,0.2000,0.955225
35,router_0_1,router_1_1,0.6000,0.957448
36,router_0_1,router_1_1,0.2000,0.953378
37,router_0_1,router_1_1,0.2000,0.956394
38,router_0_1,router_1_1,0.2000,0.957594
39,router_0_1,router_1_1,0.6000,0.953894
40,router_0_1,router_1_1,0.6000,0.954230
41,router_0_1,router_1_1,0.2000,0.956981
42,router_0_1,router_1_1,0.6000,0.957163
43,router_0_1,router_1_1,0.2000,0.956262
44,router_1_1,router_0_1,1.3000,0.948882
45,router_1_1,router_0_0,0.6000,0.854823
46,router_1_1,router_0_0,0.8000,0.837932
47,router_1_1,router_0_0,0.6000,0.720557
48,router_1_1,router_0_0,0.6000,0.835904
49,router_1_1,router_1_0,0.3000,0.933982
50,router_1_1,router_1_0,0.3000,0.904855
51,router_0_1,router_1_1,0.2000,0.957116
52,router_0_1,router_1_1,0.2000,0.951357
53,router_0_1,router_1_1,0.6000,0.956664
54,router_0_1,router_1_1,1.0000,0.949390
55,router_0_1,router_1_1,0.6000,0.948971
56,router_0_1,router_1_1,0.2000,0.955807
57,router_0_1,router_1_1,0.4000,0.949813
58,router_0_1,router_1_1,0.2000,0.952477
59,router_0_1,router_1_1,0.2000,0.957861
60,router_0_1,router_1_1,0.4000,0.949813
61,router_0_1,router_1_1,0.2000,0.953366
62,router_0_1,router_1_1,0.2000,0.955674
63,router_0_1,router_1_1,0.2000,0.954597
64,router_1_0,router_1_1,0.2000,0.780861
65,router_0_1,router_1_1,0.2000,0.957503
66,router_1_0,router_1_1,0.2000,0.850491
67,router_1_0,router_0_1,1.1000,0.634563
68,router_1_0,router_0_1,0.6000,0.848610
69,router_1_0,router_0_1,0.6000,0.815333
70,router_1_0,router_0_1,0.9000,0.821382
71,router_1_0,router_0_1,1.3000,0.835742
72,router_1_0,router_0_1,0.6000,0.813155
73,router_1_0,router_0_1,1.3000,0.814277
74,router_1_0,router_0_1,0.6000,0.819041
75,router_1_0,router_0_1,0.6000,0.847318
76,router_1_0,router_0_1,0.6000,0.786059
77,router_1_0,router_0_1,0.6000,0.821131
78,router_1_0,router_0_1,0.6000,0.818850
79,router_1_0,router_0_1,0.8000,0.837149
80,router_1_0,router_0_1,0.7000,0.883926
81,router_1_0,router_0_1,0.6000,0.841390
82,router_0_0,router_0_1,0.2000,0.899118
83,router_1_0,router_0_1,0.6000,0.836837
84,router_0_0,router_0_1,0.2000,0.897044
85,router_0_0,router_1_0,0.2000,0.956697
86,router_0_0,router_1_0,0.2000,0.957553
87,router_0_0,router_1_0,0.2000,0.955495
88,router_0_0,router_1_0,0.2000,0.957861
89,router_0_0,router_1_0,0.2000,0.954774
90,router_0_0,router_1_0,0.2000,0.957641
91,router_0_0,router_1_0,0.2000,0.957540
92,router_0_0,router_1_0,0.2000,0.953921
93,router_0_0,router_1_0,0.6000,0.949134
94,router_0_0,router_1_0,0.2000,0.957413

AVERAGES,,,0.4832,0.894310
E2E_LATENCY,,,77.3006,
