Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,1.0000,0.949813
4,router_3_3,router_2_3,0.3000,0.843683
5,router_3_3,router_2_3,1.0000,0.949813
5,router_3_3,router_2_3,0.3000,0.905554
6,router_3_3,router_2_3,0.3000,0.947839
7,router_3_3,router_2_3,0.3000,0.905030
8,router_3_3,router_2_3,0.3000,0.906954
9,router_3_3,router_2_3,0.3000,0.905904
10,router_3_3,router_2_3,0.3000,0.810118
11,router_3_3,router_2_3,0.3000,0.905904
12,router_3_3,router_2_3,0.3000,0.905030
13,router_3_3,router_1_3,0.6000,0.841179
15,router_3_3,router_2_3,0.3000,0.907830
15,router_3_3,router_2_3,0.3000,0.906429
16,router_3_3,router_1_3,0.6000,0.626234
17,router_3_3,router_1_3,0.6000,0.800602
18,router_3_3,router_2_3,2.5001,0.949813
19,router_3_3,router_1_3,0.6000,0.704995
20,router_3_3,router_1_3,0.6000,0.800749
21,router_3_3,router_1_3,0.8000,0.843236
22,router_3_3,router_1_3,0.8000,0.718942
23,router_3_3,router_1_3,0.8000,0.838874
24,router_3_3,router_1_3,0.6000,0.687715
25,router_3_3,router_1_3,0.6000,0.805321
26,router_2_3,router_1_3,0.3000,0.904331
27,router_3_3,router_1_3,1.3000,0.872459
28,router_3_3,router_1_3,4.3001,0.831694
29,router_3_3,router_1_3,0.8000,0.713719
30,router_3_3,router_0_3,1.4000,0.585145
31,router_2_3,router_1_3,0.3000,0.905729
32,router_2_3,router_1_3,0.3000,0.811837
33,router_3_3,router_1_3,0.6000,0.693445
34,router_3_3,router_1_3,0.6000,0.804137
35,router_3_3,router_0_3,3.4001,0.747501
36,router_3_3,router_0_3,1.9000,0.812511
37,router_2_3,router_1_3,1.5000,0.949813
38,router_2_3,router_1_3,0.5000,0.949813
39,router_2_3,router_1_3,0.3000,0.931107
40,router_3_3,router_1_3,0.6000,0.788068
41,router_3_3,router_0_3,1.2000,0.671577
42,router_3_3,router_0_3,1.2000,0.484505
43,router_3_3,router_0_3,1.9000,0.743214
44,router_2_3,router_1_3,0.3000,0.904532
45,router_2_3,router_1_3,1.0000,0.949813
46,router_2_3,router_1_3,0.5000,0.949813
47,router_2_3,router_1_3,2.5001,0.949813
48,router_3_3,router_0_3,1.2000,0.501281
49,router_3_3,router_0_3,2.9001,0.737461
50,router_3_3,router_0_3,1.4000,0.691768
51,router_3_3,router_0_3,1.4000,0.740722
53,router_2_3,router_1_3,1.0000,0.949813
53,router_2_3,router_1_3,0.3000,0.836502
54,router_2_3,router_1_3,0.3000,0.905904
55,router_2_3,router_0_3,0.6000,0.683006
56,router_3_3,router_0_3,1.2000,0.588250
57,router_3_3,router_0_3,2.1000,0.673672
58,router_3_3,router_0_3,1.2000,0.742032
59,router_3_3,router_3_2,0.3000,0.686890
60,router_2_3,router_1_3,0.3000,0.775976
61,router_2_3,router_1_3,0.3000,0.860013
62,router_2_3,router_0_3,0.6000,0.730205
63,router_2_3,router_0_3,0.6000,0.804729
64,router_3_3,router_0_3,1.2000,0.586482
65,router_3_3,router_0_3,1.2000,0.745003
66,router_3_3,router_3_2,1.5000,0.949813
66,router_3_3,router_3_2,1.5000,0.949813
68,router_2_3,router_1_3,0.3000,0.904331
69,router_2_3,router_0_3,0.6000,0.781375
70,router_2_3,router_0_3,0.6000,0.800308
71,router_2_3,router_0_3,0.6000,0.599258
72,router_3_3,router_0_3,1.9000,0.741245
74,router_3_3,router_3_2,0.3000,0.914644
