Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.3000,0.878972
3,router_3_3,router_2_3,1.0000,0.949813
4,router_3_3,router_2_3,0.3000,0.896871
4,router_3_3,router_2_3,0.3000,0.809073
6,router_3_3,router_2_3,0.3000,0.898253
6,router_3_3,router_2_3,0.3000,0.831444
7,router_3_3,router_2_3,0.3000,0.904855
9,router_3_3,router_2_3,0.3000,0.896871
10,router_3_3,router_2_3,1.5000,0.949813
11,router_3_3,router_2_3,1.0000,0.949813
12,router_3_3,router_2_3,1.0000,0.949813
13,router_3_3,router_2_3,3.0001,0.949813
14,router_3_3,router_2_3,1.5000,0.949813
15,router_3_3,router_2_3,0.3000,0.934522
16,router_3_3,router_2_3,0.3000,0.810267
17,router_3_3,router_2_3,0.3000,0.904855
18,router_3_3,router_2_3,0.3000,0.896181
19,router_3_3,router_2_3,0.3000,0.907655
20,router_3_3,router_2_3,0.5000,0.949813
21,router_3_3,router_2_3,0.3000,0.814895
22,router_3_3,router_2_3,0.3000,0.906779
23,router_3_3,router_1_3,1.3000,0.870402
24,router_3_3,router_2_3,0.3000,0.898944
24,router_3_3,router_2_3,0.3000,0.895702
25,router_3_3,router_2_3,0.3000,0.911172
27,router_3_3,router_1_3,0.6000,0.729827
28,router_3_3,router_2_3,0.3000,0.812663
29,router_3_3,router_2_3,0.3000,0.896354
30,router_3_3,router_1_3,0.8000,0.882407
31,router_3_3,router_1_3,0.8000,0.882110
32,router_3_3,router_2_3,0.5000,0.949813
33,router_3_3,router_2_3,0.5000,0.949813
34,router_3_3,router_1_3,2.8001,0.875277
35,router_3_3,router_1_3,0.8000,0.851580
36,router_3_3,router_2_3,0.3000,0.895320
37,router_3_3,router_1_3,1.8000,0.751003
38,router_3_3,router_1_3,3.8001,0.832005
39,router_3_3,router_1_3,0.8000,0.768671
40,router_3_3,router_2_3,0.3000,0.895493
41,router_3_3,router_1_3,3.8001,0.748072
42,router_3_3,router_1_3,0.8000,0.885290
43,router_3_3,router_1_3,1.3000,0.877129
44,router_3_3,router_1_3,0.6000,0.820842
45,router_3_3,router_1_3,0.6000,0.838566
46,router_3_3,router_1_3,0.6000,0.721573
47,router_3_3,router_1_3,0.8000,0.882512
48,router_3_3,router_1_3,1.3000,0.879389
49,router_3_3,router_1_3,0.8000,0.884775
50,router_3_3,router_1_3,0.6000,0.709532
51,router_3_3,router_1_3,0.6000,0.801190
52,router_2_3,router_1_3,0.3000,0.895837
53,router_3_3,router_1_3,1.1000,0.877573
54,router_3_3,router_1_3,0.6000,0.798482
55,router_3_3,router_1_3,0.6000,0.600565
56,router_3_3,router_0_3,1.2000,0.571105
57,router_2_3,router_1_3,1.0000,0.949813
58,router_3_3,router_1_3,1.8000,0.879881
59,router_3_3,router_1_3,1.8000,0.876790
60,router_3_3,router_1_3,0.6000,0.830368
61,router_3_3,router_0_3,1.2000,0.748626
62,router_2_3,router_1_3,1.0000,0.949813
63,router_2_3,router_1_3,1.0000,0.949813
64,router_3_3,router_1_3,0.8000,0.711375
65,router_3_3,router_1_3,4.3001,0.832470
66,router_3_3,router_0_3,1.4000,0.774423
67,router_3_3,router_0_3,2.9000,0.737981
68,router_2_3,router_1_3,1.0000,0.949813
69,router_2_3,router_1_3,0.5000,0.949813
70,router_3_3,router_1_3,0.8000,0.866622
71,router_3_3,router_1_3,0.6000,0.847997
72,router_3_3,router_0_3,1.2000,0.535703
73,router_3_3,router_0_3,1.2000,0.746904
