Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,1.0000,0.949813
4,router_3_3,router_2_3,1.0000,0.949813
5,router_3_3,router_2_3,1.0000,0.949813
5,router_3_3,router_2_3,1.0000,0.949813
6,router_3_3,router_2_3,2.0000,0.949813
6,router_3_3,router_2_3,1.0000,0.949813
8,router_3_3,router_2_3,1.0000,0.949813
9,router_3_3,router_2_3,0.5000,0.949813
10,router_3_3,router_2_3,1.0000,0.949813
11,router_3_3,router_2_3,1.5000,0.949813
12,router_3_3,router_2_3,1.0000,0.949813
13,router_3_3,router_1_3,2.3001,0.875955
14,router_3_3,router_2_3,1.0000,0.949813
15,router_3_3,router_2_3,0.5000,0.949813
16,router_3_3,router_1_3,1.8001,0.878464
17,router_3_3,router_1_3,3.3001,0.874288
18,router_3_3,router_2_3,0.5000,0.949813
19,router_3_3,router_1_3,2.3001,0.876790
20,router_3_3,router_1_3,3.8001,0.873456
21,router_3_3,router_1_3,3.8001,0.876790
22,router_3_3,router_1_3,2.3001,0.877627
23,router_3_3,router_1_3,0.8000,0.878464
24,router_3_3,router_1_3,4.3001,0.873456
25,router_3_3,router_1_3,1.8000,0.876790
26,router_2_3,router_1_3,0.5000,0.949813
27,router_3_3,router_1_3,1.8000,0.876790
28,router_3_3,router_1_3,2.3001,0.875955
29,router_3_3,router_1_3,0.8000,0.878464
30,router_3_3,router_0_3,2.6001,0.811911
31,router_2_3,router_1_3,1.0000,0.949813
32,router_2_3,router_1_3,0.5000,0.949813
33,router_3_3,router_1_3,5.3001,0.872625
34,router_3_3,router_1_3,1.3000,0.878464
35,router_3_3,router_0_3,1.9000,0.811761
36,router_3_3,router_0_3,4.9001,0.804321
38,router_2_3,router_1_3,2.0000,0.949813
39,router_2_3,router_1_3,2.0000,0.949813
39,router_2_3,router_1_3,2.0000,0.949813
40,router_3_3,router_1_3,3.8001,0.873456
41,router_3_3,router_0_3,1.4000,0.813261
42,router_3_3,router_0_3,1.6000,0.813412
43,router_3_3,router_0_3,1.6000,0.813412
44,router_2_3,router_1_3,1.0000,0.949813
44,router_2_3,router_1_3,1.0000,0.949813
45,router_2_3,router_1_3,1.5000,0.949813
46,router_2_3,router_1_3,0.5000,0.949813
48,router_3_3,router_0_3,2.4000,0.810265
49,router_3_3,router_0_3,3.4001,0.808773
50,router_3_3,router_0_3,2.6000,0.811911
51,router_3_3,router_0_3,1.4000,0.813261
52,router_2_3,router_1_3,1.0000,0.949813
53,router_2_3,router_1_3,1.0000,0.949813
54,router_2_3,router_1_3,1.0000,0.949813
55,router_2_3,router_0_3,1.8000,0.876790
56,router_3_3,router_0_3,2.9001,0.812511
57,router_3_3,router_0_3,3.1001,0.811162
58,router_3_3,router_0_3,2.4000,0.811013
59,router_3_3,router_3_2,1.5000,0.949813
60,router_2_3,router_1_3,1.0000,0.949813
61,router_2_3,router_1_3,1.0000,0.949813
62,router_2_3,router_0_3,1.3000,0.877627
63,router_2_3,router_0_3,1.3000,0.878464
64,router_3_3,router_0_3,2.4000,0.810265
65,router_3_3,router_0_3,3.4001,0.810265
66,router_3_3,router_3_2,0.5000,0.949813
67,router_3_3,router_3_2,0.5000,0.949813
68,router_2_3,router_1_3,0.5000,0.949813
69,router_2_3,router_0_3,1.8000,0.876790
70,router_2_3,router_0_3,1.3000,0.877627
71,router_2_3,router_0_3,1.3000,0.877627
72,router_3_3,router_0_3,2.1000,0.812661
73,router_3_3,router_3_2,2.0000,0.949813
