Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.3000,0.873575
2,router_7_3,router_6_3,0.3000,0.908532
2,router_7_3,router_6_3,0.3000,0.808626
3,router_7_3,router_6_3,0.3000,0.907655
4,router_7_3,router_6_3,0.5000,0.949813
5,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,0.3000,0.949514
7,router_7_3,router_6_3,0.3000,0.907655
9,router_7_3,router_6_3,0.3000,0.905904
10,router_7_3,router_6_3,0.3000,0.905030
11,router_7_3,router_6_3,0.3000,0.810865
12,router_7_3,router_6_3,0.3000,0.905904
13,router_7_3,router_5_3,0.6000,0.840684
15,router_7_3,router_6_3,0.3000,0.905379
15,router_7_3,router_6_3,0.3000,0.907129
16,router_7_3,router_5_3,0.6000,0.624533
17,router_7_3,router_5_3,0.6000,0.801190
18,router_7_3,router_6_3,0.5000,0.949813
19,router_7_3,router_5_3,1.3000,0.764518
20,router_7_3,router_5_3,1.3000,0.835585
21,router_7_3,router_5_3,1.8000,0.876790
22,router_7_3,router_5_3,1.8000,0.876790
23,router_7_3,router_5_3,2.3001,0.877627
24,router_7_3,router_5_3,0.8000,0.878464
25,router_7_3,router_5_3,0.8000,0.857518
26,router_6_3,router_5_3,1.0000,0.949813
27,router_7_3,router_5_3,1.3000,0.717319
28,router_7_3,router_5_3,1.3000,0.839188
29,router_7_3,router_5_3,1.8000,0.834649
30,router_7_3,router_4_3,1.4000,0.810046
31,router_6_3,router_5_3,3.5001,0.949813
31,router_6_3,router_5_3,3.0001,0.949813
33,router_7_3,router_5_3,1.3000,0.717070
34,router_7_3,router_5_3,2.8001,0.833092
35,router_7_3,router_4_3,1.9000,0.669272
36,router_7_3,router_4_3,1.4000,0.672885
37,router_6_3,router_5_3,1.5000,0.949813
37,router_6_3,router_5_3,0.3000,0.912984
39,router_6_3,router_5_3,0.3000,0.907655
40,router_7_3,router_5_3,1.3000,0.840289
41,router_7_3,router_4_3,9.9002,0.637525
42,router_7_3,router_4_3,1.4000,0.610378
43,router_7_3,router_4_3,1.9000,0.776093
44,router_6_3,router_5_3,1.0000,0.949813
45,router_6_3,router_5_3,1.0000,0.949813
46,router_6_3,router_5_3,1.5000,0.949813
47,router_6_3,router_5_3,0.5000,0.949813
48,router_7_3,router_4_3,1.2000,0.569952
49,router_7_3,router_4_3,1.9000,0.740068
50,router_7_3,router_4_3,1.2000,0.778162
51,router_7_3,router_4_3,1.9000,0.743214
52,router_6_3,router_5_3,0.5000,0.949813
52,router_6_3,router_5_3,0.3000,0.904075
53,router_6_3,router_5_3,0.3000,0.906779
55,router_6_3,router_4_3,0.6000,0.731644
56,router_7_3,router_4_3,1.2000,0.628908
57,router_7_3,router_4_3,1.2000,0.765908
58,router_7_3,router_4_3,1.2000,0.712514
59,router_7_3,router_3_3,2.4000,0.529055
60,router_6_3,router_5_3,2.5001,0.949813
61,router_6_3,router_5_3,1.0000,0.949813
62,router_6_3,router_4_3,0.8000,0.799429
63,router_6_3,router_4_3,2.8001,0.833870
64,router_7_3,router_4_3,1.2000,0.595808
65,router_7_3,router_4_3,1.2000,0.713873
66,router_7_3,router_3_3,1.9000,0.755497
67,router_7_3,router_3_3,1.2000,0.639022
68,router_6_3,router_5_3,0.5000,0.949813
69,router_6_3,router_4_3,0.6000,0.826749
70,router_6_3,router_4_3,0.6000,0.801778
71,router_6_3,router_4_3,0.6000,0.599911
72,router_7_3,router_4_3,1.2000,0.555636
73,router_7_3,router_3_3,1.4000,0.735480
74,router_7_3,router_3_3,2.4000,0.530248
75,router_7_3,router_3_3,1.9000,0.691808
76,router_6_3,router_4_3,0.6000,0.600004
77,router_6_3,router_4_3,0.6000,0.803251
78,router_6_3,router_4_3,0.6000,0.684359
79,router_6_3,router_4_3,0.6000,0.804877
80,router_7_3,router_3_3,1.4000,0.575897
81,router_7_3,router_3_3,2.4000,0.662764
82,router_7_3,router_3_3,2.4000,0.528832
83,router_7_3,router_3_3,1.2000,0.652065
84,router_5_3,router_4_3,0.3000,0.904506
85,router_6_3,router_4_3,0.6000,0.861593
86,router_6_3,router_4_3,0.6000,0.800162
87,router_6_3,router_4_3,0.6000,0.602816
88,router_6_3,router_3_3,1.2000,0.567731
89,router_7_3,router_3_3,1.2000,0.468771
90,router_7_3,router_3_3,1.2000,0.639972
91,router_7_3,router_3_3,1.2000,0.678537
92,router_7_3,router_2_3,2.4000,0.564442
93,router_5_3,router_4_3,0.3000,0.902937
94,router_5_3,router_4_3,0.3000,0.808477
95,router_6_3,router_4_3,0.6000,0.663923
96,router_6_3,router_4_3,0.6000,0.861010
97,router_6_3,router_3_3,1.2000,0.709629
98,router_6_3,router_3_3,1.2000,0.715360
99,router_7_3,router_3_3,1.2000,0.384004
100,router_7_3,router_3_3,1.9000,0.662654
101,router_7_3,router_2_3,2.4000,0.590758
102,router_7_3,router_2_3,2.4000,0.569303
103,router_5_3,router_4_3,0.3000,0.903982
104,router_5_3,router_4_3,0.3000,0.816996
105,router_5_3,router_4_3,0.3000,0.908357
106,router_6_3,router_4_3,0.6000,0.837879
107,router_6_3,router_3_3,1.2000,0.700658
108,router_6_3,router_3_3,1.2000,0.485696
109,router_6_3,router_3_3,1.4000,0.742032
110,router_7_3,router_3_3,1.4000,0.748400
111,router_7_3,router_2_3,2.6000,0.597517
112,router_7_3,router_2_3,2.6000,0.592501
113,router_7_3,router_2_3,2.6000,0.595897
114,router_5_3,router_4_3,0.3000,0.809371
115,router_5_3,router_4_3,0.3000,0.902763
116,router_5_3,router_4_3,0.3000,0.912271
117,router_5_3,router_4_3,0.3000,0.913291
118,router_6_3,router_3_3,1.2000,0.609990
119,router_6_3,router_3_3,1.2000,0.713873
