Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_2_1,1.1000,0.697141
1,router_0_0,router_2_1,1.1000,0.695863
2,router_0_0,router_2_1,1.3000,0.731069
3,router_0_0,router_2_1,1.7000,0.728765
4,router_2_1,router_3_1,0.2000,0.710174
5,router_0_0,router_3_1,1.3000,0.579313
6,router_2_1,router_3_1,0.8000,0.949813
7,router_0_0,router_3_1,1.3000,0.633467
8,router_0_0,router_2_1,1.3000,0.783841
9,router_0_0,router_2_1,1.3000,0.669224
10,router_0_0,router_3_1,1.3000,0.694557
11,router_0_0,router_3_1,2.1000,0.702178
12,router_0_0,router_3_1,2.1000,0.724122
13,router_0_0,router_3_1,1.3000,0.733127
14,router_1_0,router_3_1,1.7000,0.769748
15,router_1_0,router_3_1,3.7001,0.752574
16,router_1_0,router_3_1,2.2000,0.777146
17,router_1_0,router_3_1,2.2001,0.772806
18,router_1_0,router_3_1,1.7000,0.770997
19,router_1_0,router_3_1,1.8000,0.791863
20,router_1_0,router_3_1,1.3000,0.818391
21,router_1_0,router_3_1,1.7000,0.818203
22,router_3_1,router_4_1,0.2000,0.822667
23,router_1_0,router_4_1,1.7000,0.621795
24,router_3_1,router_4_1,0.2000,0.906883
25,router_1_0,router_4_1,2.1000,0.720329
26,router_1_0,router_3_1,1.3000,0.818886
27,router_1_0,router_3_1,2.1000,0.812436
28,router_1_0,router_4_1,1.7000,0.761107
29,router_1_0,router_4_1,3.3001,0.761314
30,router_1_0,router_4_1,3.3001,0.757537
31,router_1_0,router_4_1,2.5000,0.759312
32,router_2_0,router_4_1,1.3000,0.613289
33,router_2_0,router_4_1,3.0001,0.787851
34,router_2_0,router_4_1,2.5001,0.775321
35,router_2_0,router_4_1,1.8000,0.769886
36,router_2_0,router_4_1,2.1000,0.769471
37,router_2_0,router_4_1,3.0001,0.756206
38,router_2_0,router_4_1,2.2001,0.776724
39,router_2_0,router_4_1,1.7000,0.809587
40,router_4_1,router_5_1,0.2000,0.944065
41,router_2_0,router_5_1,1.7000,0.686390
42,router_4_1,router_5_1,0.2000,0.894461
43,router_2_0,router_5_1,1.7000,0.722624
44,router_2_0,router_4_1,1.7000,0.817460
45,router_2_0,router_4_1,1.7000,0.761697
46,router_2_0,router_5_1,3.7001,0.755301
47,router_2_0,router_5_1,2.1000,0.758209
48,router_2_0,router_5_1,2.1000,0.758190
49,router_2_0,router_5_1,2.9001,0.614136
50,router_3_0,router_5_1,1.3000,0.770321
51,router_3_0,router_5_1,1.7000,0.758893
52,router_3_0,router_5_1,1.7000,0.770720
53,router_3_0,router_5_1,2.1000,0.626039
54,router_3_0,router_5_1,1.7000,0.728255
55,router_3_0,router_5_1,2.1000,0.701004
56,router_3_0,router_5_1,1.7000,0.741835
57,router_3_0,router_5_1,2.6001,0.783614
58,router_5_1,router_6_1,0.8000,0.949813
59,router_3_0,router_6_1,1.7000,0.759791
60,router_5_1,router_6_1,1.6000,0.949813
61,router_3_0,router_6_1,2.5001,0.755007
62,router_3_0,router_5_1,1.5000,0.819444
63,router_3_0,router_5_1,1.1000,0.632041
64,router_3_0,router_6_1,2.1000,0.650939
65,router_3_0,router_6_1,2.1000,0.658275
66,router_3_0,router_6_1,1.7000,0.693461
67,router_3_0,router_6_1,1.7000,0.604432
68,router_4_0,router_6_1,2.2000,0.771862
69,router_4_0,router_6_1,1.4000,0.705938
70,router_4_0,router_6_1,3.0001,0.741966
71,router_4_0,router_6_1,2.2001,0.812185
72,router_4_0,router_6_1,1.7000,0.771401
73,router_4_0,router_6_1,1.3000,0.756611
74,router_4_0,router_6_1,3.4001,0.776163
75,router_4_0,router_6_1,1.3000,0.760920
76,router_6_1,router_7_1,0.8000,0.949813
77,router_4_0,router_7_1,2.9001,0.626132
78,router_6_1,router_7_1,0.2000,0.891888
79,router_4_0,router_7_1,1.7000,0.592844
80,router_4_0,router_6_1,1.3000,0.748039
81,router_4_0,router_6_1,1.3000,0.740750
82,router_4_0,router_7_1,2.1000,0.752445
83,router_4_0,router_7_1,2.9001,0.754122
84,router_4_0,router_7_1,3.7001,0.754271
85,router_4_0,router_7_1,4.9001,0.748822
86,router_5_0,router_7_1,2.1000,0.742701
87,router_5_0,router_7_1,2.9001,0.749634
88,router_5_0,router_7_1,2.5000,0.771970
89,router_5_0,router_7_1,1.7000,0.766570
90,router_5_0,router_7_1,3.3001,0.765194
91,router_5_0,router_7_1,1.1000,0.804845
92,router_5_0,router_7_1,1.1000,0.712576
93,router_5_0,router_7_1,1.3000,0.555641
94,router_7_1,router_0_2,2.6000,0.323067
95,router_5_0,router_0_2,3.6000,0.611495
96,router_7_1,router_0_2,2.6000,0.454551
97,router_5_0,router_0_2,6.2001,0.514253
98,router_5_0,router_7_1,1.7000,0.730782
99,router_5_0,router_7_1,1.7000,0.768088
100,router_5_0,router_0_2,2.6000,0.478397
101,router_5_0,router_0_2,4.1001,0.584496
102,router_5_0,router_0_2,3.1000,0.508330
103,router_5_0,router_0_2,2.4000,0.497024
104,router_6_0,router_0_2,2.4000,0.420961
105,router_6_0,router_0_2,2.4000,0.427703
106,router_6_0,router_0_2,2.6000,0.467646
107,router_6_0,router_0_2,4.6001,0.568911
108,router_6_0,router_0_2,4.6001,0.525334
109,router_6_0,router_0_2,3.6000,0.512744
110,router_6_0,router_0_2,4.1001,0.534322
111,router_6_0,router_0_2,4.1001,0.525835
112,router_0_2,router_1_2,0.2000,0.749598
113,router_6_0,router_1_2,3.1000,0.489655
114,router_0_2,router_1_2,0.2000,0.924612
115,router_6_0,router_1_2,2.9000,0.510336
116,router_6_0,router_0_2,2.6000,0.450341
117,router_6_0,router_0_2,2.6000,0.492425
118,router_6_0,router_1_2,3.6000,0.493846
119,router_6_0,router_1_2,2.6000,0.512739
120,router_6_0,router_1_2,2.4000,0.579950
121,router_6_0,router_1_2,2.4000,0.477230
122,router_7_0,router_1_2,2.4000,0.419921
123,router_7_0,router_1_2,2.4000,0.404674
124,router_7_0,router_1_2,2.4000,0.456161
125,router_7_0,router_1_2,4.1001,0.375715
126,router_7_0,router_1_2,2.9000,0.446148
127,router_7_0,router_1_2,3.6000,0.418489
128,router_7_0,router_1_2,2.9000,0.466084
129,router_7_0,router_1_2,3.1000,0.452095
130,router_1_2,router_2_2,0.2000,0.956674
131,router_7_0,router_2_2,2.4000,0.472779
132,router_1_2,router_2_2,0.4000,0.949813
133,router_7_0,router_2_2,2.9000,0.387828
134,router_7_0,router_1_2,2.5000,0.432848
135,router_7_0,router_1_2,2.9000,0.472243
136,router_7_0,router_2_2,2.4000,0.411091
137,router_7_0,router_2_2,5.7001,0.491574
138,router_7_0,router_2_2,2.9000,0.503079
139,router_7_0,router_2_2,2.5000,0.493891
140,router_0_1,router_2_2,1.1000,0.538321
141,router_0_1,router_2_2,1.5000,0.709214
142,router_0_1,router_2_2,2.1000,0.778784
143,router_0_1,router_2_2,1.7000,0.672899
144,router_0_1,router_2_2,1.3000,0.730812
145,router_0_1,router_2_2,1.3000,0.706206
146,router_0_1,router_2_2,1.7000,0.796737
147,router_0_1,router_2_2,2.1000,0.554499
148,router_2_2,router_3_2,1.2000,0.949813
149,router_0_1,router_3_2,1.3000,0.716259
150,router_2_2,router_3_2,2.0001,0.949813
151,router_0_1,router_3_2,4.5001,0.720656
152,router_0_1,router_2_2,1.3000,0.784636
153,router_0_1,router_2_2,4.1001,0.766942
154,router_0_1,router_3_2,2.1000,0.719259
155,router_0_1,router_3_2,1.7000,0.704111
156,router_0_1,router_3_2,1.3000,0.730274
157,router_0_1,router_3_2,1.1000,0.672384
158,router_1_1,router_3_2,1.1000,0.696145
159,router_1_1,router_3_2,1.1000,0.659940
160,router_1_1,router_3_2,4.1001,0.736357
161,router_1_1,router_3_2,1.7000,0.727363
162,router_1_1,router_3_2,1.7000,0.727363
163,router_1_1,router_3_2,1.3000,0.782278
164,router_1_1,router_3_2,3.3001,0.778045
165,router_1_1,router_3_2,1.3000,0.665446
166,router_3_2,router_4_2,0.8000,0.949813
167,router_1_1,router_4_2,2.1000,0.754016
168,router_3_2,router_4_2,0.2000,0.903731
169,router_1_1,router_4_2,1.7000,0.651746
170,router_1_1,router_3_2,1.3000,0.784935
171,router_1_1,router_3_2,1.1000,0.813415
172,router_1_1,router_4_2,1.1000,0.683256
173,router_1_1,router_4_2,1.1000,0.619925
174,router_1_1,router_4_2,1.3000,0.696718
175,router_1_1,router_4_2,4.1001,0.733816
176,router_2_1,router_4_2,1.3000,0.819484
177,router_2_1,router_4_2,1.3000,0.757967
178,router_2_1,router_4_2,2.9001,0.807212
179,router_2_1,router_4_2,1.1000,0.717955
180,router_2_1,router_4_2,1.3000,0.775489
181,router_2_1,router_4_2,1.3000,0.757017
182,router_2_1,router_4_2,1.7000,0.780276
183,router_2_1,router_4_2,1.3000,0.681378
184,router_4_2,router_5_2,0.2000,0.706211
185,router_2_1,router_5_2,1.3000,0.679724
186,router_4_2,router_5_2,0.2000,0.956885
187,router_2_1,router_5_2,1.3000,0.621619
188,router_2_1,router_4_2,2.1000,0.740656
189,router_2_1,router_4_2,1.3000,0.821914
190,router_2_1,router_5_2,3.7001,0.713278
191,router_2_1,router_5_2,2.5000,0.758298
192,router_2_1,router_5_2,2.1000,0.757707
193,router_2_1,router_5_2,2.1000,0.724154
194,router_3_1,router_5_2,1.7000,0.818222
195,router_3_1,router_5_2,1.3000,0.819230
196,router_3_1,router_5_2,2.6001,0.814341
197,router_3_1,router_5_2,1.7000,0.766740
198,router_3_1,router_5_2,1.3000,0.771157
199,router_3_1,router_5_2,1.7000,0.757553
200,router_3_1,router_5_2,1.7000,0.778661
201,router_3_1,router_5_2,1.7000,0.736549
202,router_5_2,router_6_2,0.8000,0.949813
203,router_3_1,router_6_2,2.5000,0.722155
204,router_5_2,router_6_2,0.2000,0.952324
205,router_3_1,router_6_2,2.1000,0.685373
206,router_3_1,router_5_2,5.3001,0.770627
207,router_3_1,router_5_2,1.1000,0.785370
208,router_3_1,router_6_2,2.9001,0.724421
209,router_3_1,router_6_2,2.1000,0.762911
210,router_3_1,router_6_2,3.7001,0.745385
211,router_3_1,router_6_2,3.3001,0.755123
212,router_4_1,router_6_2,1.7000,0.598245
213,router_4_1,router_6_2,1.1000,0.714440
214,router_4_1,router_6_2,1.1000,0.713935
215,router_4_1,router_6_2,1.1000,0.474920
216,router_4_1,router_6_2,2.1000,0.810643
217,router_4_1,router_6_2,2.9001,0.702712
218,router_4_1,router_6_2,1.3000,0.740656
219,router_4_1,router_6_2,2.1000,0.554908
220,router_6_2,router_7_2,0.2000,0.791834
221,router_4_1,router_7_2,1.1000,0.702704
222,router_6_2,router_7_2,0.2000,0.894976
223,router_4_1,router_7_2,1.3000,0.652858
224,router_4_1,router_6_2,1.3000,0.782668
225,router_4_1,router_6_2,1.7000,0.787609
226,router_4_1,router_7_2,1.3000,0.684542
227,router_4_1,router_7_2,1.3000,0.661273
228,router_4_1,router_7_2,2.9001,0.726004
229,router_4_1,router_7_2,1.1000,0.670141
230,router_5_1,router_7_2,1.3000,0.775916
231,router_5_1,router_7_2,2.9001,0.756397
232,router_5_1,router_7_2,1.7000,0.776865
233,router_5_1,router_7_2,1.1000,0.619446
234,router_5_1,router_7_2,1.1000,0.692546
235,router_5_1,router_7_2,1.1000,0.659831
236,router_5_1,router_7_2,1.3000,0.743280
237,router_5_1,router_7_2,1.1000,0.639955
238,router_7_2,router_0_3,2.6000,0.336844
239,router_5_1,router_0_3,3.6000,0.336185
240,router_7_2,router_0_3,4.1001,0.379297
241,router_5_1,router_0_3,3.6000,0.414658
242,router_5_1,router_7_2,1.1000,0.747304
