Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_7_3,8.1001,0.434336
1,router_1_0,router_0_0,2.5001,0.949813
2,router_2_0,router_1_0,1.3000,0.954795
3,router_3_0,router_2_0,1.0000,0.949813
4,router_4_0,router_3_0,1.8000,0.954662
5,router_5_0,router_4_0,0.5000,0.949813
6,router_6_0,router_5_0,1.3000,0.949627
7,router_7_0,router_6_0,2.5001,0.949813
8,router_0_1,router_7_0,5.6001,0.519949
9,router_1_1,router_0_1,0.5000,0.949813
10,router_2_1,router_1_1,1.3000,0.949254
11,router_3_1,router_2_1,0.5000,0.949813
12,router_4_1,router_3_1,1.3000,0.955307
13,router_5_1,router_4_1,0.5000,0.949813
14,router_6_1,router_5_1,0.5000,0.949813
15,router_7_1,router_6_1,3.5001,0.949813
16,router_0_2,router_7_1,4.1001,0.502718
17,router_1_2,router_0_2,0.5000,0.949813
18,router_2_2,router_1_2,0.5000,0.949813
19,router_3_2,router_2_2,1.3000,0.949627
20,router_4_2,router_3_2,1.5000,0.949813
21,router_5_2,router_4_2,0.5000,0.949813
22,router_6_2,router_5_2,1.0000,0.949813
23,router_7_2,router_6_2,1.0000,0.949813
24,router_0_3,router_7_2,3.1000,0.487224
25,router_1_3,router_0_3,1.0000,0.949813
26,router_2_3,router_1_3,0.5000,0.949813
27,router_3_3,router_2_3,0.5000,0.949813
28,router_4_3,router_3_3,0.5000,0.949813
29,router_5_3,router_4_3,2.3001,0.949627
30,router_6_3,router_5_3,0.8000,0.949627
31,router_7_3,router_6_3,1.5000,0.949813
32,router_0_0,router_7_3,5.3000,0.330913
33,router_7_3,router_0_0,8.0001,0.434764
34,router_7_3,router_0_0,6.0000,0.451317
35,router_7_3,router_0_0,6.0000,0.403904
36,router_7_3,router_0_0,7.0001,0.402069
37,router_1_0,router_0_0,0.3000,0.794568
38,router_0_0,router_1_0,0.2000,0.896354
39,router_0_0,router_1_0,0.2000,0.904681
40,router_0_0,router_1_0,0.2000,0.899810
41,router_0_0,router_1_0,2.4001,0.949813
42,router_2_0,router_1_0,0.3000,0.919158
43,router_1_0,router_2_0,0.2000,0.896526
44,router_1_0,router_2_0,0.2000,0.896526
45,router_1_0,router_2_0,0.2000,0.898253
46,router_1_0,router_2_0,0.2000,0.902589
47,router_3_0,router_2_0,1.0000,0.949813
48,router_2_0,router_3_0,0.4000,0.949813
49,router_2_0,router_3_0,0.2000,0.949308
50,router_2_0,router_3_0,0.2000,0.898253
51,router_2_0,router_3_0,0.2000,0.896526
52,router_4_0,router_3_0,0.3000,0.949461
53,router_3_0,router_4_0,0.2000,0.957359
54,router_3_0,router_4_0,0.2000,0.957590
55,router_3_0,router_4_0,0.6000,0.957583
56,router_3_0,router_4_0,0.2000,0.954939
57,router_5_0,router_4_0,0.3000,0.681036
58,router_4_0,router_5_0,1.6000,0.949813
59,router_4_0,router_5_0,0.8000,0.949813
60,router_4_0,router_5_0,0.4000,0.949813
61,router_4_0,router_5_0,0.8000,0.949813
62,router_6_0,router_5_0,0.3000,0.777201
63,router_5_0,router_6_0,0.2000,0.899984
64,router_5_0,router_6_0,0.2000,0.897389
65,router_5_0,router_6_0,0.2000,0.898253
66,router_5_0,router_6_0,0.2000,0.900853
67,router_7_0,router_6_0,0.3000,0.901437
68,router_6_0,router_7_0,0.2000,0.898426
69,router_6_0,router_7_0,0.2000,0.896354
70,router_6_0,router_7_0,0.2000,0.897044
71,router_6_0,router_7_0,0.2000,0.896354
72,router_0_1,router_7_0,3.3000,0.355613
73,router_7_0,router_0_1,4.1001,0.507471
74,router_7_0,router_0_1,5.1001,0.531936
75,router_7_0,router_0_1,4.6001,0.461971
76,router_7_0,router_0_1,3.1000,0.466223
77,router_1_1,router_0_1,1.5000,0.949813
78,router_0_1,router_1_1,1.6000,0.949813
79,router_0_1,router_1_1,0.8000,0.949813
80,router_0_1,router_1_1,0.4000,0.949813
81,router_0_1,router_1_1,1.2000,0.949813
82,router_2_1,router_1_1,0.5000,0.949813
83,router_1_1,router_2_1,1.2000,0.949813
84,router_1_1,router_2_1,0.4000,0.949813
85,router_1_1,router_2_1,3.2001,0.949813
86,router_1_1,router_2_1,0.4000,0.949813
87,router_3_1,router_2_1,0.3000,0.732733
88,router_2_1,router_3_1,0.2000,0.896526
89,router_2_1,router_3_1,1.0000,0.955278
90,router_2_1,router_3_1,0.2000,0.955952
91,router_2_1,router_3_1,0.2000,0.955872
92,router_4_1,router_3_1,0.3000,0.843230
93,router_3_1,router_4_1,0.2000,0.898253
94,router_3_1,router_4_1,0.2000,0.896526
95,router_3_1,router_4_1,0.2000,0.897389
96,router_3_1,router_4_1,0.2000,0.899984
97,router_5_1,router_4_1,0.3000,0.680005
98,router_4_1,router_5_1,0.2000,0.929043
99,router_4_1,router_5_1,0.2000,0.896354
100,router_4_1,router_5_1,0.2000,0.896354
101,router_4_1,router_5_1,0.2000,0.897044
102,router_6_1,router_5_1,0.3000,0.780320
103,router_5_1,router_6_1,0.2000,0.902589
104,router_5_1,router_6_1,0.2000,0.897734
105,router_5_1,router_6_1,0.2000,0.897734
106,router_5_1,router_6_1,0.2000,0.957119
107,router_7_1,router_6_1,0.3000,0.903478
108,router_6_1,router_7_1,0.2000,0.897734
109,router_6_1,router_7_1,0.2000,0.897044
110,router_6_1,router_7_1,0.2000,0.896354
111,router_6_1,router_7_1,0.2000,0.896354
112,router_0_2,router_7_1,3.3000,0.318628
113,router_7_1,router_0_2,3.6000,0.486740
114,router_7_1,router_0_2,2.9000,0.539406
115,router_7_1,router_0_2,4.6001,0.464706
116,router_7_1,router_0_2,4.1001,0.462598
117,router_1_2,router_0_2,0.3000,0.808115
118,router_0_2,router_1_2,0.2000,0.896354
119,router_0_2,router_1_2,0.2000,0.896354
120,router_0_2,router_1_2,0.2000,0.896354
121,router_0_2,router_1_2,0.2000,0.938719
122,router_2_2,router_1_2,0.5000,0.949813
123,router_1_2,router_2_2,0.2000,0.955939
124,router_1_2,router_2_2,0.2000,0.948734
125,router_1_2,router_2_2,0.2000,0.957040
126,router_1_2,router_2_2,0.2000,0.957556
127,router_3_2,router_2_2,0.5000,0.949813
128,router_2_2,router_3_2,1.2000,0.949813
129,router_2_2,router_3_2,0.4000,0.949813
130,router_2_2,router_3_2,0.2000,0.957363
131,router_2_2,router_3_2,0.2000,0.953933
132,router_4_2,router_3_2,2.5001,0.949813
133,router_3_2,router_4_2,0.8000,0.949813
134,router_3_2,router_4_2,3.2001,0.949813
135,router_3_2,router_4_2,2.4001,0.949813
136,router_3_2,router_4_2,0.4000,0.949813
137,router_5_2,router_4_2,0.3000,0.687439
138,router_4_2,router_5_2,0.2000,0.933126
139,router_4_2,router_5_2,0.2000,0.896526
140,router_4_2,router_5_2,0.2000,0.897389
141,router_4_2,router_5_2,0.2000,0.898253
142,router_6_2,router_5_2,0.5000,0.949813
143,router_5_2,router_6_2,0.8000,0.949813
144,router_5_2,router_6_2,1.6000,0.949813
145,router_5_2,router_6_2,0.8000,0.949813
146,router_5_2,router_6_2,0.2000,0.907909
147,router_7_2,router_6_2,1.5000,0.949813
148,router_6_2,router_7_2,0.4000,0.949813
149,router_6_2,router_7_2,1.6000,0.949813
150,router_6_2,router_7_2,0.8000,0.949813
151,router_6_2,router_7_2,3.2001,0.949813
152,router_0_3,router_7_2,3.7001,0.471150
153,router_7_2,router_0_3,4.6001,0.551140
154,router_7_2,router_0_3,4.1001,0.550063
155,router_7_2,router_0_3,4.6001,0.485958
156,router_7_2,router_0_3,3.6000,0.487046
157,router_1_3,router_0_3,0.3000,0.803987
158,router_0_3,router_1_3,0.2000,0.896354
159,router_0_3,router_1_3,0.2000,0.897044
160,router_0_3,router_1_3,0.2000,0.896354
161,router_0_3,router_1_3,0.4000,0.949813
162,router_2_3,router_1_3,0.3000,0.955979
163,router_1_3,router_2_3,0.2000,0.950610
