Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.5000,0.949813
1,router_7_3,router_6_3,2.5001,0.949813
2,router_7_3,router_6_3,0.5000,0.949813
3,router_7_3,router_6_3,2.0000,0.949813
4,router_7_3,router_6_3,0.5000,0.949813
5,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,2.5001,0.949813
8,router_7_3,router_6_3,0.5000,0.949813
10,router_7_3,router_6_3,1.0000,0.949813
11,router_7_3,router_6_3,3.0001,0.949813
11,router_7_3,router_6_3,1.0000,0.949813
13,router_7_3,router_6_3,0.5000,0.949813
13,router_7_3,router_6_3,2.0000,0.949813
14,router_7_3,router_6_3,1.0000,0.949813
15,router_7_3,router_6_3,1.0000,0.949813
16,router_7_3,router_6_3,2.0000,0.949813
16,router_7_3,router_6_3,1.0000,0.949813
17,router_7_3,router_6_3,0.5000,0.949813
18,router_7_3,router_6_3,1.0000,0.949813
20,router_7_3,router_6_3,3.0001,0.949813
21,router_7_3,router_6_3,0.5000,0.949813
22,router_7_3,router_6_3,0.5000,0.949813
23,router_7_3,router_5_3,1.8000,0.877627
24,router_7_3,router_6_3,0.5000,0.949813
25,router_7_3,router_6_3,1.5000,0.949813
26,router_7_3,router_6_3,0.5000,0.949813
27,router_7_3,router_5_3,1.3000,0.878464
28,router_7_3,router_6_3,1.0000,0.949813
29,router_7_3,router_6_3,0.5000,0.949813
30,router_7_3,router_5_3,1.8001,0.876790
31,router_7_3,router_5_3,3.8001,0.874288
32,router_7_3,router_6_3,0.5000,0.949813
33,router_7_3,router_6_3,0.5000,0.949813
34,router_7_3,router_5_3,2.3001,0.876790
35,router_7_3,router_5_3,0.8000,0.878464
36,router_7_3,router_6_3,1.0000,0.949813
37,router_7_3,router_5_3,1.3000,0.877627
38,router_7_3,router_5_3,1.3000,0.877627
39,router_7_3,router_5_3,1.3000,0.877627
40,router_7_3,router_6_3,0.5000,0.949813
41,router_7_3,router_5_3,1.8000,0.877627
42,router_7_3,router_5_3,9.3002,0.866841
43,router_7_3,router_5_3,0.8000,0.878464
44,router_7_3,router_5_3,1.3000,0.878464
45,router_7_3,router_5_3,2.3001,0.876790
46,router_7_3,router_5_3,1.3000,0.877627
47,router_7_3,router_5_3,1.8000,0.877627
48,router_7_3,router_5_3,3.8001,0.875121
49,router_7_3,router_5_3,1.3000,0.878464
50,router_7_3,router_5_3,2.8001,0.875121
51,router_7_3,router_5_3,1.8000,0.876790
52,router_6_3,router_5_3,2.5001,0.949813
53,router_7_3,router_5_3,0.8000,0.878464
54,router_7_3,router_5_3,3.3001,0.875121
55,router_7_3,router_5_3,1.8000,0.878464
56,router_7_3,router_4_3,2.9001,0.809519
57,router_6_3,router_5_3,0.5000,0.949813
58,router_7_3,router_5_3,2.8001,0.876790
59,router_7_3,router_5_3,1.3000,0.877627
60,router_7_3,router_5_3,2.3001,0.875955
61,router_7_3,router_4_3,5.1001,0.808177
62,router_6_3,router_5_3,0.5000,0.949813
63,router_6_3,router_5_3,2.0000,0.949813
64,router_7_3,router_5_3,1.8000,0.877627
65,router_7_3,router_5_3,1.3000,0.878464
66,router_7_3,router_4_3,2.9001,0.809519
67,router_7_3,router_4_3,3.1001,0.811911
68,router_6_3,router_5_3,0.5000,0.949813
69,router_6_3,router_5_3,1.0000,0.949813
70,router_7_3,router_5_3,1.3000,0.878464
71,router_7_3,router_5_3,1.8000,0.877627
72,router_7_3,router_4_3,2.4000,0.810265
73,router_7_3,router_4_3,1.6000,0.813412
75,router_6_3,router_5_3,1.5000,0.949813
76,router_6_3,router_5_3,0.5000,0.949813
76,router_6_3,router_5_3,1.5000,0.949813
77,router_7_3,router_5_3,2.3001,0.876790
78,router_7_3,router_4_3,3.6001,0.810415
79,router_7_3,router_4_3,3.4001,0.808029
80,router_7_3,router_4_3,2.4000,0.810265
81,router_6_3,router_5_3,1.5000,0.949813
82,router_6_3,router_5_3,2.5001,0.949813
