Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_2_1,2.1000,0.811537
1,router_0_0,router_2_1,3.3001,0.808550
2,router_0_0,router_2_1,2.2000,0.812436
3,router_0_0,router_2_1,1.4000,0.813637
4,router_2_1,router_3_1,0.8000,0.949813
5,router_0_0,router_3_1,1.7000,0.755093
6,router_2_1,router_3_1,0.8000,0.949813
7,router_0_0,router_3_1,1.7000,0.755093
8,router_0_0,router_2_1,1.8000,0.813036
9,router_0_0,router_2_1,1.3000,0.813337
10,router_0_0,router_3_1,2.9001,0.751870
11,router_0_0,router_3_1,1.7000,0.755093
12,router_0_0,router_3_1,1.7000,0.755093
13,router_0_0,router_3_1,3.3001,0.750801
14,router_1_0,router_3_1,2.5000,0.811537
15,router_1_0,router_3_1,1.7000,0.812136
16,router_1_0,router_3_1,3.7001,0.806172
17,router_1_0,router_3_1,3.3001,0.809146
18,router_1_0,router_3_1,2.2000,0.813036
19,router_1_0,router_3_1,2.2001,0.813036
20,router_1_0,router_3_1,2.1000,0.812136
21,router_1_0,router_3_1,1.8000,0.813637
22,router_3_1,router_4_1,0.4000,0.949813
23,router_1_0,router_4_1,2.1000,0.754016
24,router_3_1,router_4_1,0.8000,0.949813
25,router_1_0,router_4_1,1.7000,0.755093
26,router_1_0,router_3_1,1.8000,0.813637
27,router_1_0,router_3_1,1.7000,0.812736
28,router_1_0,router_4_1,2.1000,0.754016
29,router_1_0,router_4_1,2.5000,0.752942
30,router_1_0,router_4_1,3.3001,0.751335
31,router_1_0,router_4_1,2.5000,0.754016
32,router_2_0,router_4_1,2.5000,0.810340
33,router_2_0,router_4_1,2.1000,0.810938
34,router_2_0,router_4_1,2.1000,0.810938
35,router_2_0,router_4_1,1.7000,0.812736
36,router_2_0,router_4_1,3.3001,0.812136
37,router_2_0,router_4_1,1.7000,0.812736
38,router_2_0,router_4_1,3.4001,0.810639
39,router_2_0,router_4_1,2.1000,0.811537
40,router_4_1,router_5_1,0.8000,0.949813
41,router_2_0,router_5_1,2.1000,0.754016
42,router_4_1,router_5_1,1.2000,0.949813
43,router_2_0,router_5_1,2.5001,0.752942
44,router_2_0,router_4_1,2.5000,0.810340
45,router_2_0,router_4_1,2.1000,0.812136
46,router_2_0,router_5_1,2.9001,0.753479
47,router_2_0,router_5_1,2.1000,0.754554
48,router_2_0,router_5_1,2.9001,0.752942
49,router_2_0,router_5_1,1.7000,0.755632
50,router_3_0,router_5_1,3.4001,0.811237
51,router_3_0,router_5_1,3.7001,0.807359
52,router_3_0,router_5_1,1.7000,0.812136
53,router_3_0,router_5_1,2.1000,0.811537
54,router_3_0,router_5_1,1.3000,0.813337
55,router_3_0,router_5_1,1.7000,0.813337
56,router_3_0,router_5_1,1.4000,0.813637
57,router_3_0,router_5_1,2.6001,0.811836
58,router_5_1,router_6_1,0.4000,0.949813
59,router_3_0,router_6_1,2.9001,0.752942
60,router_5_1,router_6_1,0.4000,0.949813
61,router_3_0,router_6_1,2.1000,0.754016
62,router_3_0,router_5_1,1.7000,0.812136
63,router_3_0,router_5_1,2.5000,0.810340
64,router_3_0,router_6_1,2.9001,0.752942
65,router_3_0,router_6_1,2.9001,0.754016
66,router_3_0,router_6_1,3.3001,0.750801
67,router_3_0,router_6_1,3.3001,0.751335
68,router_4_0,router_6_1,4.1001,0.805579
69,router_4_0,router_6_1,2.9001,0.808550
70,router_4_0,router_6_1,2.5000,0.812136
71,router_4_0,router_6_1,2.5000,0.810340
72,router_4_0,router_6_1,2.9001,0.811537
73,router_4_0,router_6_1,4.9001,0.803213
74,router_4_0,router_6_1,2.1000,0.810938
75,router_4_0,router_6_1,2.9001,0.812136
76,router_6_1,router_7_1,3.6001,0.949813
77,router_4_0,router_7_1,2.5001,0.755632
78,router_6_1,router_7_1,0.4000,0.949813
79,router_4_0,router_7_1,3.3001,0.750801
80,router_4_0,router_6_1,3.8001,0.811237
81,router_4_0,router_6_1,1.3000,0.813337
82,router_4_0,router_7_1,5.3001,0.745487
83,router_4_0,router_7_1,2.1000,0.754016
84,router_4_0,router_7_1,1.7000,0.755093
85,router_4_0,router_7_1,2.1000,0.754554
86,router_5_0,router_7_1,3.7001,0.806172
87,router_5_0,router_7_1,1.4000,0.813637
88,router_5_0,router_7_1,1.7000,0.812736
89,router_5_0,router_7_1,1.4000,0.813637
90,router_5_0,router_7_1,4.1001,0.805579
91,router_5_0,router_7_1,2.1000,0.813337
92,router_5_0,router_7_1,1.7000,0.812136
93,router_5_0,router_7_1,2.5000,0.810340
94,router_7_1,router_0_2,4.1001,0.572618
95,router_5_0,router_0_2,7.1001,0.601146
96,router_7_1,router_0_2,3.6000,0.574776
97,router_5_0,router_0_2,3.6000,0.612082
98,router_5_0,router_7_1,2.1000,0.810938
99,router_5_0,router_7_1,1.7000,0.812736
100,router_5_0,router_0_2,7.6001,0.599838
101,router_5_0,router_0_2,4.6001,0.609197
102,router_5_0,router_0_2,3.6000,0.612082
103,router_5_0,router_0_2,7.1001,0.603024
104,router_6_0,router_0_2,4.6001,0.571501
105,router_6_0,router_0_2,5.6001,0.571244
106,router_6_0,router_0_2,4.9001,0.572102
107,router_6_0,router_0_2,5.1001,0.571587
108,router_6_0,router_0_2,4.1001,0.573048
109,router_6_0,router_0_2,6.6001,0.568345
110,router_6_0,router_0_2,4.6001,0.572188
111,router_6_0,router_0_2,3.6000,0.575470
112,router_0_2,router_1_2,1.6001,0.949813
113,router_6_0,router_1_2,4.6001,0.608623
114,router_0_2,router_1_2,0.4000,0.949813
115,router_6_0,router_1_2,3.7001,0.611407
116,router_6_0,router_0_2,4.1001,0.573738
117,router_6_0,router_0_2,3.1000,0.575991
118,router_6_0,router_1_2,4.6001,0.610156
119,router_6_0,router_1_2,5.6001,0.610156
120,router_6_0,router_1_2,4.1001,0.609772
121,router_6_0,router_1_2,4.1001,0.611021
122,router_7_0,router_1_2,4.6001,0.571330
123,router_7_0,router_1_2,5.6001,0.570303
124,router_7_0,router_1_2,4.6001,0.572102
125,router_7_0,router_1_2,5.7001,0.567666
126,router_7_0,router_1_2,5.1001,0.570474
127,router_7_0,router_1_2,3.6000,0.574343
128,router_7_0,router_1_2,4.1001,0.573911
129,router_7_0,router_1_2,4.1001,0.573048
130,router_1_2,router_2_2,0.4000,0.949813
131,router_7_0,router_2_2,3.3001,0.612662
132,router_1_2,router_2_2,0.4000,0.949813
133,router_7_0,router_2_2,5.1001,0.607763
134,router_7_0,router_1_2,4.1001,0.573048
135,router_7_0,router_1_2,5.1001,0.570731
136,router_7_0,router_2_2,5.6001,0.606905
137,router_7_0,router_2_2,3.3001,0.613049
138,router_7_0,router_2_2,6.1001,0.605575
139,router_7_0,router_2_2,8.1002,0.599838
140,router_0_1,router_2_2,3.3001,0.809146
141,router_0_1,router_2_2,2.1000,0.810938
142,router_0_1,router_2_2,2.6001,0.811836
143,router_0_1,router_2_2,1.7000,0.812136
144,router_0_1,router_2_2,2.9001,0.809743
145,router_0_1,router_2_2,4.2001,0.810041
146,router_0_1,router_2_2,2.5001,0.811537
147,router_0_1,router_2_2,2.5000,0.810938
148,router_2_2,router_3_2,0.4000,0.949813
149,router_0_1,router_3_2,2.5000,0.754554
150,router_2_2,router_3_2,1.6000,0.949813
151,router_0_1,router_3_2,2.1000,0.754016
152,router_0_1,router_2_2,2.6001,0.812436
153,router_0_1,router_2_2,3.7001,0.807954
154,router_0_1,router_3_2,1.3000,0.756172
155,router_0_1,router_3_2,1.7000,0.755093
156,router_0_1,router_3_2,1.7000,0.755093
157,router_0_1,router_3_2,1.7000,0.755632
158,router_1_1,router_3_2,2.1000,0.811537
