Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_7,router_6_7,0.3000,0.957973
1,router_7_7,router_6_7,1.0000,0.949813
2,router_7_7,router_6_7,0.3000,0.953894
4,router_7_7,router_6_7,0.8000,0.954005
5,router_7_7,router_6_7,0.3000,0.956509
5,router_7_7,router_6_7,0.5000,0.949813
7,router_7_7,router_6_7,0.3000,0.945547
8,router_7_7,router_6_7,0.5000,0.949813
8,router_7_7,router_6_7,0.3000,0.905554
9,router_7_7,router_6_7,0.3000,0.905554
10,router_7_7,router_6_7,0.3000,0.904855
10,router_7_7,router_6_7,0.3000,0.811464
11,router_7_7,router_6_7,0.3000,0.905554
13,router_7_7,router_5_7,0.6000,0.861167
14,router_7_7,router_6_7,0.3000,0.957862
15,router_7_7,router_6_7,0.3000,0.957920
16,router_7_7,router_5_7,0.8000,0.718317
17,router_7_7,router_5_7,0.6000,0.844377
18,router_7_7,router_6_7,0.5000,0.949813
19,router_7_7,router_5_7,0.6000,0.672942
20,router_7_7,router_5_7,0.6000,0.800015
21,router_7_7,router_5_7,0.6000,0.809887
22,router_7_7,router_5_7,0.6000,0.623934
23,router_7_7,router_5_7,0.6000,0.801043
24,router_7_7,router_5_7,0.8000,0.773501
25,router_7_7,router_5_7,1.3000,0.837149
26,router_6_7,router_5_7,3.0001,0.949813
27,router_7_7,router_5_7,0.6000,0.870989
28,router_7_7,router_5_7,0.6000,0.842819
29,router_7_7,router_5_7,1.1000,0.722417
30,router_7_7,router_4_7,1.2000,0.588890
31,router_6_7,router_5_7,0.3000,0.956401
32,router_6_7,router_5_7,0.3000,0.816965
33,router_7_7,router_5_7,0.6000,0.838547
34,router_7_7,router_5_7,0.6000,0.844389
35,router_7_7,router_4_7,1.2000,0.706601
36,router_7_7,router_4_7,1.2000,0.709686
37,router_6_7,router_5_7,0.3000,0.904331
38,router_6_7,router_5_7,0.3000,0.810118
39,router_6_7,router_5_7,1.0000,0.949813
40,router_7_7,router_5_7,1.8000,0.879889
41,router_7_7,router_4_7,1.9000,0.733519
42,router_7_7,router_4_7,2.4000,0.670376
43,router_7_7,router_4_7,2.9000,0.770511
44,router_6_7,router_5_7,1.0000,0.949813
45,router_6_7,router_5_7,0.5000,0.949813
46,router_6_7,router_5_7,1.0000,0.949813
47,router_6_7,router_5_7,2.5001,0.949813
48,router_7_7,router_4_7,1.4000,0.704616
49,router_7_7,router_4_7,1.2000,0.782669
50,router_7_7,router_4_7,1.2000,0.757031
51,router_7_7,router_4_7,1.4000,0.823676
52,router_6_7,router_5_7,0.3000,0.841644
53,router_6_7,router_5_7,0.5000,0.949813
53,router_6_7,router_5_7,0.3000,0.906779
55,router_6_7,router_4_7,0.6000,0.687071
56,router_7_7,router_4_7,1.2000,0.743031
57,router_7_7,router_4_7,1.2000,0.754938
58,router_7_7,router_4_7,1.9000,0.818215
59,router_7_7,router_3_7,3.9001,0.758555
60,router_6_7,router_5_7,0.5000,0.949813
61,router_6_7,router_5_7,0.3000,0.904331
