Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_7,router_6_7,0.3000,0.957973
1,router_7_7,router_6_7,1.0000,0.949813
2,router_7_7,router_6_7,0.3000,0.953894
4,router_7_7,router_6_7,0.3000,0.840693
5,router_7_7,router_6_7,0.3000,0.956509
5,router_7_7,router_6_7,0.3000,0.912054
6,router_7_7,router_6_7,0.3000,0.905904
6,router_7_7,router_6_7,0.3000,0.947034
7,router_7_7,router_6_7,0.3000,0.953986
9,router_7_7,router_6_7,0.3000,0.950778
10,router_7_7,router_6_7,0.3000,0.953642
12,router_7_7,router_6_7,0.3000,0.957813
12,router_7_7,router_6_7,0.8000,0.957153
13,router_7_7,router_5_7,0.6000,0.835253
15,router_7_7,router_6_7,0.3000,0.904506
15,router_7_7,router_6_7,0.3000,0.905379
16,router_7_7,router_5_7,0.6000,0.623934
17,router_7_7,router_5_7,0.6000,0.800162
18,router_7_7,router_6_7,1.0000,0.949813
19,router_7_7,router_5_7,0.8000,0.799891
20,router_7_7,router_5_7,0.8000,0.837149
21,router_7_7,router_5_7,0.8000,0.842277
22,router_7_7,router_5_7,0.8000,0.720570
23,router_7_7,router_5_7,5.8001,0.830145
24,router_7_7,router_5_7,0.6000,0.673496
25,router_7_7,router_5_7,0.6000,0.802514
26,router_6_7,router_5_7,0.3000,0.906429
27,router_7_7,router_5_7,0.6000,0.846931
28,router_7_7,router_5_7,0.6000,0.799429
29,router_7_7,router_5_7,0.6000,0.599538
30,router_7_7,router_4_7,1.2000,0.749235
31,router_6_7,router_5_7,0.3000,0.905379
32,router_6_7,router_5_7,0.3000,0.958174
33,router_7_7,router_5_7,0.6000,0.725198
34,router_7_7,router_5_7,0.6000,0.844486
35,router_7_7,router_4_7,1.2000,0.701985
36,router_7_7,router_4_7,1.4000,0.776093
37,router_6_7,router_5_7,1.0000,0.949813
38,router_6_7,router_5_7,0.5000,0.949813
39,router_6_7,router_5_7,0.3000,0.956980
40,router_7_7,router_5_7,0.8000,0.825313
41,router_7_7,router_4_7,1.2000,0.781860
42,router_7_7,router_4_7,2.6000,0.562856
43,router_7_7,router_4_7,1.6000,0.775251
45,router_6_7,router_5_7,0.5000,0.949813
46,router_6_7,router_5_7,0.5000,0.949813
46,router_6_7,router_5_7,0.5000,0.949813
47,router_6_7,router_5_7,1.5000,0.949813
48,router_7_7,router_4_7,3.4001,0.811455
49,router_7_7,router_4_7,2.4000,0.775952
50,router_7_7,router_4_7,1.9000,0.682871
51,router_7_7,router_4_7,1.9000,0.739937
52,router_6_7,router_5_7,1.5000,0.949813
54,router_6_7,router_5_7,1.0000,0.949813
54,router_6_7,router_5_7,3.0001,0.949813
55,router_6_7,router_4_7,2.3001,0.878352
56,router_7_7,router_4_7,1.7000,0.820935
57,router_7_7,router_4_7,1.2000,0.661634
58,router_7_7,router_4_7,2.9001,0.772876
59,router_7_7,router_3_7,2.4000,0.754151
60,router_6_7,router_5_7,0.3000,0.906078
61,router_6_7,router_5_7,0.3000,0.905729
