Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_7_7,8.1001,0.411859
1,router_1_0,router_0_0,2.5001,0.949813
2,router_2_0,router_1_0,0.5000,0.949813
3,router_3_0,router_2_0,0.5000,0.949813
4,router_4_0,router_3_0,0.5000,0.949813
5,router_5_0,router_4_0,2.0001,0.949813
6,router_6_0,router_5_0,1.5000,0.949813
7,router_7_0,router_6_0,1.0000,0.949813
8,router_0_1,router_7_0,5.6001,0.568090
9,router_1_1,router_0_1,0.5000,0.949813
10,router_2_1,router_1_1,2.5001,0.949813
11,router_3_1,router_2_1,0.5000,0.949813
12,router_4_1,router_3_1,2.5001,0.949813
13,router_5_1,router_4_1,1.0000,0.949813
14,router_6_1,router_5_1,1.0000,0.949813
15,router_7_1,router_6_1,3.5001,0.949813
16,router_0_2,router_7_1,3.7001,0.573652
17,router_1_2,router_0_2,1.0000,0.949813
18,router_2_2,router_1_2,0.5000,0.949813
19,router_3_2,router_2_2,0.5000,0.949813
20,router_4_2,router_3_2,1.5000,0.949813
21,router_5_2,router_4_2,2.5001,0.949813
22,router_6_2,router_5_2,2.0001,0.949813
23,router_7_2,router_6_2,2.0001,0.949813
24,router_0_3,router_7_2,3.3000,0.575556
25,router_1_3,router_0_3,1.0000,0.949813
26,router_2_3,router_1_3,2.0001,0.949813
27,router_3_3,router_2_3,1.0000,0.949813
28,router_4_3,router_3_3,1.0000,0.949813
29,router_5_3,router_4_3,0.5000,0.949813
30,router_6_3,router_5_3,1.0000,0.949813
31,router_7_3,router_6_3,0.5000,0.949813
32,router_0_4,router_7_3,3.7001,0.574516
33,router_1_4,router_0_4,0.5000,0.949813
34,router_2_4,router_1_4,1.5000,0.949813
35,router_3_4,router_2_4,1.0000,0.949813
36,router_4_4,router_3_4,0.5000,0.949813
37,router_5_4,router_4_4,6.0002,0.949813
38,router_6_4,router_5_4,2.0001,0.949813
39,router_7_4,router_6_4,2.0001,0.949813
40,router_0_5,router_7_4,3.7001,0.574084
41,router_1_5,router_0_5,1.0000,0.949813
42,router_2_5,router_1_5,1.5000,0.949813
43,router_3_5,router_2_5,1.5000,0.949813
44,router_4_5,router_3_5,0.5000,0.949813
45,router_5_5,router_4_5,0.5000,0.949813
46,router_6_5,router_5_5,0.5000,0.949813
47,router_7_5,router_6_5,0.5000,0.949813
48,router_0_6,router_7_5,3.3000,0.575730
49,router_1_6,router_0_6,1.0000,0.949813
50,router_2_6,router_1_6,2.0001,0.949813
51,router_3_6,router_2_6,2.5001,0.949813
52,router_4_6,router_3_6,0.5000,0.949813
53,router_5_6,router_4_6,0.5000,0.949813
54,router_6_6,router_5_6,0.5000,0.949813
55,router_7_6,router_6_6,0.5000,0.949813
56,router_0_7,router_7_6,5.7001,0.569621
57,router_1_7,router_0_7,0.5000,0.949813
58,router_2_7,router_1_7,0.5000,0.949813
59,router_3_7,router_2_7,1.0000,0.949813
60,router_4_7,router_3_7,1.5000,0.949813
61,router_5_7,router_4_7,4.0001,0.949813
62,router_6_7,router_5_7,1.0000,0.949813
63,router_7_7,router_6_7,1.0000,0.949813
64,router_0_0,router_7_7,7.3001,0.414119
65,router_7_7,router_0_0,8.0001,0.411773
66,router_7_7,router_0_0,9.0001,0.411342
67,router_7_7,router_0_0,7.0001,0.414821
68,router_7_7,router_0_0,7.5001,0.412205
69,router_1_0,router_0_0,0.5000,0.949813
70,router_0_0,router_1_0,0.4000,0.949813
71,router_0_0,router_1_0,2.0001,0.949813
72,router_0_0,router_1_0,1.2000,0.949813
73,router_0_0,router_1_0,0.4000,0.949813
74,router_2_0,router_1_0,1.5000,0.949813
75,router_1_0,router_2_0,1.2000,0.949813
76,router_1_0,router_2_0,2.4001,0.949813
77,router_1_0,router_2_0,2.8001,0.949813
78,router_1_0,router_2_0,0.4000,0.949813
79,router_3_0,router_2_0,0.5000,0.949813
80,router_2_0,router_3_0,0.4000,0.949813
81,router_2_0,router_3_0,2.0001,0.949813
82,router_2_0,router_3_0,0.8000,0.949813
83,router_2_0,router_3_0,1.2000,0.949813
84,router_4_0,router_3_0,1.0000,0.949813
85,router_3_0,router_4_0,0.8000,0.949813
86,router_3_0,router_4_0,1.2000,0.949813
87,router_3_0,router_4_0,0.8000,0.949813
88,router_3_0,router_4_0,0.4000,0.949813
89,router_5_0,router_4_0,0.5000,0.949813
90,router_4_0,router_5_0,0.4000,0.949813
91,router_4_0,router_5_0,0.4000,0.949813
92,router_4_0,router_5_0,0.4000,0.949813
93,router_4_0,router_5_0,3.2001,0.949813
94,router_6_0,router_5_0,0.5000,0.949813
95,router_5_0,router_6_0,0.4000,0.949813
96,router_5_0,router_6_0,0.8000,0.949813
97,router_5_0,router_6_0,0.8000,0.949813
98,router_5_0,router_6_0,0.4000,0.949813
99,router_7_0,router_6_0,1.5000,0.949813
100,router_6_0,router_7_0,1.2000,0.949813
101,router_6_0,router_7_0,0.8000,0.949813
102,router_6_0,router_7_0,0.4000,0.949813
103,router_6_0,router_7_0,2.0001,0.949813
104,router_0_1,router_7_0,4.9001,0.571330
105,router_7_0,router_0_1,5.1001,0.570902
106,router_7_0,router_0_1,3.6000,0.575209
107,router_7_0,router_0_1,6.6001,0.568770
108,router_7_0,router_0_1,4.6001,0.571759
109,router_1_1,router_0_1,1.0000,0.949813
110,router_0_1,router_1_1,0.8000,0.949813
111,router_0_1,router_1_1,0.8000,0.949813
112,router_0_1,router_1_1,0.8000,0.949813
113,router_0_1,router_1_1,0.4000,0.949813
114,router_2_1,router_1_1,0.5000,0.949813
115,router_1_1,router_2_1,0.4000,0.949813
116,router_1_1,router_2_1,1.2000,0.949813
117,router_1_1,router_2_1,0.4000,0.949813
118,router_1_1,router_2_1,0.8000,0.949813
119,router_3_1,router_2_1,2.0000,0.949813
120,router_2_1,router_3_1,0.8000,0.949813
121,router_2_1,router_3_1,0.4000,0.949813
122,router_2_1,router_3_1,0.4000,0.949813
123,router_2_1,router_3_1,2.0001,0.949813
124,router_4_1,router_3_1,2.0000,0.949813
125,router_3_1,router_4_1,0.4000,0.949813
126,router_3_1,router_4_1,0.4000,0.949813
127,router_3_1,router_4_1,0.4000,0.949813
128,router_3_1,router_4_1,0.4000,0.949813
129,router_5_1,router_4_1,0.5000,0.949813
130,router_4_1,router_5_1,0.8000,0.949813
131,router_4_1,router_5_1,1.6000,0.949813
132,router_4_1,router_5_1,0.8000,0.949813
133,router_4_1,router_5_1,0.4000,0.949813
134,router_6_1,router_5_1,1.0000,0.949813
135,router_5_1,router_6_1,0.8000,0.949813
136,router_5_1,router_6_1,0.4000,0.949813
137,router_5_1,router_6_1,0.4000,0.949813
138,router_5_1,router_6_1,2.4001,0.949813
139,router_7_1,router_6_1,1.5000,0.949813
140,router_6_1,router_7_1,1.6000,0.949813
141,router_6_1,router_7_1,2.0001,0.949813
142,router_6_1,router_7_1,0.8000,0.949813
143,router_6_1,router_7_1,0.8000,0.949813
144,router_0_2,router_7_1,4.1001,0.572962
145,router_7_1,router_0_2,4.1001,0.573479
146,router_7_1,router_0_2,6.1001,0.567328
147,router_7_1,router_0_2,4.6001,0.571673
148,router_7_1,router_0_2,4.1001,0.574257
149,router_1_2,router_0_2,0.5000,0.949813
150,router_0_2,router_1_2,0.4000,0.949813
151,router_0_2,router_1_2,0.4000,0.949813
152,router_0_2,router_1_2,0.4000,0.949813
153,router_0_2,router_1_2,0.8000,0.949813
154,router_2_2,router_1_2,1.0000,0.949813
155,router_1_2,router_2_2,0.8000,0.949813
156,router_1_2,router_2_2,0.8000,0.949813
157,router_1_2,router_2_2,1.6000,0.949813
158,router_1_2,router_2_2,0.8000,0.949813
159,router_3_2,router_2_2,0.5000,0.949813
160,router_2_2,router_3_2,0.4000,0.949813
161,router_2_2,router_3_2,0.4000,0.949813
162,router_2_2,router_3_2,1.2000,0.949813
163,router_2_2,router_3_2,0.4000,0.949813
164,router_4_2,router_3_2,1.0000,0.949813
165,router_3_2,router_4_2,0.4000,0.949813
166,router_3_2,router_4_2,0.8000,0.949813
167,router_3_2,router_4_2,0.4000,0.949813
168,router_3_2,router_4_2,0.8000,0.949813
169,router_5_2,router_4_2,0.5000,0.949813
170,router_4_2,router_5_2,2.8001,0.949813
171,router_4_2,router_5_2,0.4000,0.949813
172,router_4_2,router_5_2,0.4000,0.949813
173,router_4_2,router_5_2,0.8000,0.949813
174,router_6_2,router_5_2,0.5000,0.949813
175,router_5_2,router_6_2,0.8000,0.949813
176,router_5_2,router_6_2,0.8000,0.949813
177,router_5_2,router_6_2,2.4001,0.949813
178,router_5_2,router_6_2,0.4000,0.949813
179,router_7_2,router_6_2,0.5000,0.949813
180,router_6_2,router_7_2,1.2000,0.949813
