Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_5_2,4.1001,0.608670
1,router_0_0,router_5_2,4.5001,0.609341
2,router_0_0,router_5_2,2.9000,0.613582
3,router_0_0,router_5_2,2.9000,0.613291
4,router_0_0,router_5_2,4.6001,0.608766
5,router_0_0,router_5_2,3.3000,0.611359
6,router_0_0,router_5_2,4.9001,0.607143
7,router_0_0,router_5_2,2.9000,0.613679
8,router_5_2,router_6_2,2.0001,0.949813
9,router_0_0,router_6_2,2.9000,0.576426
10,router_5_2,router_6_2,2.0001,0.949813
11,router_0_0,router_6_2,3.3000,0.575036
12,router_0_0,router_5_2,4.1001,0.609436
13,router_0_0,router_5_2,3.0000,0.613776
14,router_1_0,router_6_2,6.1001,0.602225
15,router_1_0,router_6_2,3.7001,0.611744
16,router_1_0,router_6_2,4.2001,0.610685
17,router_1_0,router_6_2,2.9000,0.613291
18,router_1_0,router_6_2,4.2001,0.612227
19,router_1_0,router_6_2,4.1001,0.609436
20,router_1_0,router_6_2,3.7001,0.610973
21,router_1_0,router_6_2,3.7001,0.611359
22,router_1_0,router_6_2,3.8001,0.611841
23,router_1_0,router_6_2,4.5001,0.608957
24,router_1_0,router_6_2,3.0000,0.613388
25,router_1_0,router_6_2,5.3001,0.607048
26,router_6_2,router_7_2,1.2000,0.949813
27,router_1_0,router_7_2,6.5001,0.567836
28,router_6_2,router_7_2,0.4000,0.949813
29,router_1_0,router_7_2,4.5001,0.572274
30,router_1_0,router_6_2,4.1001,0.610588
31,router_1_0,router_6_2,3.7001,0.611744
32,router_2_0,router_7_2,3.3001,0.612517
33,router_2_0,router_7_2,3.3001,0.612904
34,router_2_0,router_7_2,3.7001,0.610204
35,router_2_0,router_7_2,4.1001,0.610204
36,router_2_0,router_7_2,4.5001,0.609053
37,router_2_0,router_7_2,4.5001,0.607524
38,router_2_0,router_7_2,4.5001,0.609436
39,router_2_0,router_7_2,4.9001,0.607906
40,router_2_0,router_7_2,3.7001,0.611359
41,router_2_0,router_7_2,4.2001,0.611455
42,router_2_0,router_7_2,7.3002,0.601100
43,router_2_0,router_7_2,4.5001,0.609436
44,router_7_2,router_0_3,4.1001,0.572618
45,router_2_0,router_0_3,4.0001,0.701003
46,router_7_2,router_0_3,3.6000,0.574863
47,router_2_0,router_0_3,4.1001,0.696694
48,router_2_0,router_7_2,3.7001,0.610973
49,router_2_0,router_7_2,3.7001,0.610973
50,router_3_0,router_0_3,5.6001,0.646842
51,router_3_0,router_0_3,4.9001,0.651098
52,router_3_0,router_0_3,3.6000,0.653781
53,router_3_0,router_0_3,5.1001,0.648220
54,router_3_0,router_0_3,4.6001,0.650563
55,router_3_0,router_0_3,3.1000,0.655183
56,router_3_0,router_0_3,3.7001,0.653458
57,router_3_0,router_0_3,4.5001,0.649816
58,router_3_0,router_0_3,6.6001,0.646313
59,router_3_0,router_0_3,2.9000,0.655399
60,router_3_0,router_0_3,4.1001,0.651419
61,router_3_0,router_0_3,3.1000,0.654212
62,router_0_3,router_1_3,1.6001,0.949813
63,router_3_0,router_1_3,2.6000,0.701605
64,router_0_3,router_1_3,0.8000,0.949813
65,router_3_0,router_1_3,3.6000,0.700042
66,router_3_0,router_0_3,3.1001,0.655075
67,router_3_0,router_0_3,5.6001,0.646631
68,router_4_0,router_1_3,4.6001,0.651205
69,router_4_0,router_1_3,5.1001,0.647902
70,router_4_0,router_1_3,2.6000,0.655832
71,router_4_0,router_1_3,3.6000,0.653243
72,router_4_0,router_1_3,4.1001,0.651954
73,router_4_0,router_1_3,3.7001,0.653458
74,router_4_0,router_1_3,4.6001,0.650777
75,router_4_0,router_1_3,2.7000,0.655615
76,router_4_0,router_1_3,4.6001,0.650243
77,router_4_0,router_1_3,3.6000,0.653673
78,router_4_0,router_1_3,3.6000,0.652706
79,router_4_0,router_1_3,3.6000,0.653135
80,router_1_3,router_2_3,0.4000,0.949813
81,router_4_0,router_2_3,4.5001,0.695742
82,router_1_3,router_2_3,1.6001,0.949813
83,router_4_0,router_2_3,4.8001,0.698963
84,router_4_0,router_1_3,4.1001,0.651526
85,router_4_0,router_1_3,3.6000,0.652706
86,router_5_0,router_2_3,4.1001,0.651633
87,router_5_0,router_2_3,4.1001,0.652062
88,router_5_0,router_2_3,3.6000,0.653566
89,router_5_0,router_2_3,3.6000,0.653028
90,router_5_0,router_2_3,4.6001,0.651312
91,router_5_0,router_2_3,4.5001,0.650243
92,router_5_0,router_2_3,2.7000,0.655615
93,router_5_0,router_2_3,6.1001,0.644626
94,router_5_0,router_2_3,3.6000,0.652598
95,router_5_0,router_2_3,5.1001,0.648964
96,router_5_0,router_2_3,3.9001,0.654751
97,router_5_0,router_2_3,4.6001,0.649816
98,router_2_3,router_3_3,1.6000,0.949813
99,router_5_0,router_3_3,5.7001,0.692072
100,router_2_3,router_3_3,0.4000,0.949813
101,router_5_0,router_3_3,2.9000,0.700522
102,router_5_0,router_2_3,3.6000,0.652598
103,router_5_0,router_2_3,9.6002,0.634549
104,router_6_0,router_3_3,6.5001,0.645574
105,router_6_0,router_3_3,5.1001,0.651205
106,router_6_0,router_3_3,6.1001,0.645574
107,router_6_0,router_3_3,4.6001,0.649390
108,router_6_0,router_3_3,3.6000,0.652706
109,router_6_0,router_3_3,3.6000,0.653135
110,router_6_0,router_3_3,3.6000,0.653996
111,router_6_0,router_3_3,3.3001,0.654212
112,router_6_0,router_3_3,5.6001,0.648752
113,router_6_0,router_3_3,4.1001,0.653243
114,router_6_0,router_3_3,3.6000,0.653135
115,router_6_0,router_3_3,4.1001,0.651419
116,router_3_3,router_4_3,1.6001,0.949813
117,router_6_0,router_4_3,7.6002,0.696932
118,router_3_3,router_4_3,0.4000,0.949813
119,router_6_0,router_4_3,6.1001,0.689135
120,router_6_0,router_3_3,5.6001,0.646631
121,router_6_0,router_3_3,3.6000,0.654859
122,router_7_0,router_4_3,2.6000,0.655832
123,router_7_0,router_4_3,3.1000,0.654212
124,router_7_0,router_4_3,4.1001,0.652062
125,router_7_0,router_4_3,3.6000,0.653028
126,router_7_0,router_4_3,4.3001,0.650670
127,router_7_0,router_4_3,5.5001,0.650777
128,router_7_0,router_4_3,5.5001,0.648326
129,router_7_0,router_4_3,3.1000,0.655075
130,router_7_0,router_4_3,4.1001,0.651847
131,router_7_0,router_4_3,3.9001,0.653566
132,router_7_0,router_4_3,6.6001,0.644205
133,router_7_0,router_4_3,3.1000,0.654212
134,router_4_3,router_5_3,0.4000,0.949813
135,router_7_0,router_5_3,4.1001,0.698365
136,router_4_3,router_5_3,0.4000,0.949813
137,router_7_0,router_5_3,3.6001,0.701244
138,router_7_0,router_4_3,4.7001,0.652491
139,router_7_0,router_4_3,7.1001,0.642527
140,router_0_1,router_5_3,4.9001,0.608957
141,router_0_1,router_5_3,3.3001,0.612130
142,router_0_1,router_5_3,6.9002,0.601849
143,router_0_1,router_5_3,4.1001,0.609820
144,router_0_1,router_5_3,3.7001,0.611359
145,router_0_1,router_5_3,3.7001,0.611262
146,router_0_1,router_5_3,4.9001,0.608575
147,router_0_1,router_5_3,5.8001,0.607238
148,router_0_1,router_5_3,5.7001,0.606382
149,router_0_1,router_5_3,3.7001,0.610588
150,router_0_1,router_5_3,5.4001,0.608001
151,router_0_1,router_5_3,5.7001,0.606002
152,router_5_3,router_6_3,1.2000,0.949813
153,router_0_1,router_6_3,3.7001,0.574343
154,router_5_3,router_6_3,0.8000,0.949813
155,router_0_1,router_6_3,2.9000,0.576078
156,router_0_1,router_5_3,4.5001,0.609820
157,router_0_1,router_5_3,4.6001,0.609149
158,router_1_1,router_6_3,3.7001,0.611359
159,router_1_1,router_6_3,4.1001,0.609820
160,router_1_1,router_6_3,5.3001,0.604865
161,router_1_1,router_6_3,7.3002,0.601849
162,router_1_1,router_6_3,5.3001,0.606762
163,router_1_1,router_6_3,5.7001,0.606382
164,router_1_1,router_6_3,4.9001,0.609436
165,router_1_1,router_6_3,3.7001,0.611359
166,router_1_1,router_6_3,4.9001,0.608288
167,router_1_1,router_6_3,4.1001,0.609436
