Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_7,router_6_7,1.5000,0.949813
1,router_7_7,router_6_7,0.5000,0.949813
2,router_7_7,router_6_7,1.5000,0.949813
3,router_7_7,router_6_7,2.0000,0.949813
4,router_7_7,router_6_7,1.0000,0.949813
5,router_7_7,router_6_7,1.5000,0.949813
6,router_7_7,router_6_7,0.5000,0.949813
7,router_7_7,router_6_7,2.0000,0.949813
8,router_7_7,router_6_7,0.5000,0.949813
9,router_7_7,router_6_7,3.0001,0.949813
10,router_7_7,router_6_7,0.5000,0.949813
11,router_7_7,router_6_7,0.5000,0.949813
12,router_7_7,router_6_7,0.5000,0.949813
13,router_7_7,router_5_7,2.3001,0.877627
14,router_7_7,router_6_7,0.5000,0.949813
15,router_7_7,router_6_7,0.5000,0.949813
16,router_7_7,router_5_7,1.8001,0.876790
17,router_7_7,router_5_7,0.8000,0.878464
18,router_7_7,router_6_7,0.5000,0.949813
19,router_7_7,router_5_7,2.8001,0.875121
20,router_7_7,router_5_7,1.3000,0.877627
21,router_7_7,router_5_7,2.8001,0.878464
22,router_7_7,router_5_7,1.3000,0.877627
23,router_7_7,router_5_7,1.8000,0.876790
24,router_7_7,router_5_7,0.8000,0.878464
25,router_7_7,router_5_7,1.3000,0.877627
26,router_6_7,router_5_7,0.5000,0.949813
27,router_7_7,router_5_7,2.8001,0.875121
28,router_7_7,router_5_7,1.3000,0.878464
29,router_7_7,router_5_7,3.3001,0.875955
30,router_7_7,router_4_7,4.1001,0.811162
31,router_6_7,router_5_7,1.5000,0.949813
32,router_6_7,router_5_7,2.0000,0.949813
33,router_7_7,router_5_7,1.3000,0.877627
34,router_7_7,router_5_7,0.8000,0.878464
35,router_7_7,router_4_7,3.4001,0.811761
36,router_7_7,router_4_7,3.9001,0.805801
37,router_6_7,router_5_7,0.5000,0.949813
38,router_6_7,router_5_7,0.5000,0.949813
39,router_6_7,router_5_7,0.5000,0.949813
40,router_7_7,router_5_7,1.8000,0.877627
41,router_7_7,router_4_7,1.9000,0.812511
42,router_7_7,router_4_7,6.6001,0.806691
43,router_7_7,router_4_7,1.9000,0.811761
44,router_6_7,router_5_7,1.0000,0.949813
44,router_6_7,router_5_7,1.0000,0.949813
45,router_6_7,router_5_7,0.5000,0.949813
46,router_6_7,router_5_7,1.0000,0.949813
48,router_7_7,router_4_7,2.4000,0.811013
49,router_7_7,router_4_7,1.4000,0.813261
50,router_7_7,router_4_7,2.4000,0.811761
51,router_7_7,router_4_7,1.9000,0.811761
53,router_6_7,router_5_7,0.5000,0.949813
54,router_6_7,router_5_7,1.0000,0.949813
54,router_6_7,router_5_7,0.5000,0.949813
55,router_6_7,router_4_7,3.3001,0.876790
56,router_7_7,router_4_7,1.4000,0.813261
57,router_7_7,router_4_7,2.4000,0.811761
58,router_7_7,router_4_7,3.4001,0.808773
59,router_7_7,router_3_7,2.4000,0.754151
60,router_6_7,router_5_7,1.5000,0.949813
60,router_6_7,router_5_7,3.5001,0.949813
62,router_6_7,router_4_7,5.8001,0.871796
63,router_6_7,router_4_7,2.3001,0.877627
64,router_7_7,router_4_7,2.9000,0.811013
65,router_7_7,router_4_7,2.9000,0.810265
66,router_7_7,router_3_7,1.9000,0.754824
67,router_7_7,router_3_7,2.9000,0.752808
68,router_6_7,router_5_7,2.0000,0.949813
69,router_6_7,router_4_7,1.3000,0.877627
70,router_6_7,router_4_7,3.3001,0.875121
71,router_6_7,router_4_7,1.8000,0.876790
72,router_7_7,router_4_7,3.4001,0.808773
73,router_7_7,router_3_7,2.4000,0.754151
74,router_7_7,router_3_7,2.9000,0.752138
75,router_7_7,router_3_7,3.9001,0.750801
76,router_6_7,router_4_7,0.8000,0.878464
77,router_6_7,router_4_7,1.3000,0.877627
78,router_6_7,router_4_7,0.8000,0.878464
79,router_6_7,router_4_7,3.3001,0.876790
80,router_7_7,router_3_7,3.9001,0.749467
81,router_7_7,router_3_7,2.4000,0.753479
82,router_7_7,router_3_7,1.9000,0.754824
83,router_7_7,router_3_7,3.4001,0.751469
84,router_5_7,router_4_7,1.0000,0.949813
85,router_6_7,router_4_7,3.3001,0.875955
86,router_6_7,router_4_7,1.8000,0.876790
87,router_6_7,router_4_7,3.3001,0.874288
88,router_6_7,router_3_7,3.4001,0.811761
89,router_7_7,router_3_7,1.9000,0.754824
90,router_7_7,router_3_7,2.4000,0.753479
91,router_7_7,router_3_7,2.4000,0.753479
92,router_7_7,router_2_7,4.1001,0.700042
93,router_5_7,router_4_7,0.5000,0.949813
94,router_5_7,router_4_7,0.5000,0.949813
95,router_6_7,router_4_7,3.8001,0.874288
96,router_6_7,router_4_7,3.3001,0.875121
97,router_6_7,router_3_7,1.6000,0.813412
98,router_6_7,router_3_7,2.4000,0.811013
99,router_7_7,router_3_7,2.9000,0.754151
100,router_7_7,router_3_7,1.9000,0.755497
101,router_7_7,router_2_7,4.1001,0.700042
102,router_7_7,router_2_7,3.6000,0.698843
103,router_5_7,router_4_7,0.5000,0.949813
104,router_5_7,router_4_7,1.0000,0.949813
105,router_5_7,router_4_7,0.5000,0.949813
106,router_6_7,router_4_7,1.8000,0.876790
107,router_6_7,router_3_7,3.1001,0.811162
108,router_6_7,router_3_7,3.4001,0.809519
109,router_6_7,router_3_7,3.1001,0.811911
110,router_7_7,router_3_7,2.4000,0.754151
111,router_7_7,router_2_7,3.6000,0.699442
112,router_7_7,router_2_7,3.6000,0.698843
