Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_7,router_6_7,1.5000,0.949813
1,router_7_7,router_6_7,0.5000,0.949813
2,router_7_7,router_6_7,1.5000,0.949813
2,router_7_7,router_6_7,2.0000,0.949813
4,router_7_7,router_6_7,1.0000,0.949813
4,router_7_7,router_6_7,1.5000,0.949813
7,router_7_7,router_6_7,0.5000,0.949813
7,router_7_7,router_6_7,0.5000,0.949813
8,router_7_7,router_6_7,2.0000,0.949813
9,router_7_7,router_6_7,3.0001,0.949813
10,router_7_7,router_6_7,0.5000,0.949813
11,router_7_7,router_6_7,1.5000,0.949813
12,router_7_7,router_6_7,0.5000,0.949813
12,router_7_7,router_6_7,0.5000,0.949813
13,router_7_7,router_6_7,0.5000,0.949813
14,router_7_7,router_6_7,0.5000,0.949813
16,router_7_7,router_6_7,1.0000,0.949813
16,router_7_7,router_6_7,0.5000,0.949813
17,router_7_7,router_6_7,0.5000,0.949813
19,router_7_7,router_6_7,0.5000,0.949813
20,router_7_7,router_6_7,1.5000,0.949813
20,router_7_7,router_6_7,0.5000,0.949813
21,router_7_7,router_6_7,1.5000,0.949813
23,router_7_7,router_5_7,4.3001,0.875121
24,router_7_7,router_6_7,0.5000,0.949813
24,router_7_7,router_6_7,2.5001,0.949813
26,router_7_7,router_6_7,1.0000,0.949813
27,router_7_7,router_5_7,1.3000,0.877627
28,router_7_7,router_6_7,1.0000,0.949813
29,router_7_7,router_6_7,0.5000,0.949813
30,router_7_7,router_5_7,2.3001,0.875955
31,router_7_7,router_5_7,0.8000,0.878464
32,router_7_7,router_6_7,1.5000,0.949813
32,router_7_7,router_6_7,0.5000,0.949813
34,router_7_7,router_5_7,1.8000,0.877627
35,router_7_7,router_5_7,2.8001,0.875121
36,router_7_7,router_6_7,2.0000,0.949813
37,router_7_7,router_5_7,1.3000,0.878464
38,router_7_7,router_5_7,1.8000,0.876790
39,router_7_7,router_5_7,0.8000,0.878464
40,router_7_7,router_6_7,1.5000,0.949813
41,router_7_7,router_5_7,0.8000,0.878464
42,router_7_7,router_5_7,0.8000,0.878464
43,router_7_7,router_5_7,1.8000,0.876790
44,router_7_7,router_5_7,1.8000,0.877627
45,router_7_7,router_5_7,3.3001,0.874288
46,router_7_7,router_5_7,1.8000,0.876790
47,router_7_7,router_5_7,1.8000,0.877627
48,router_7_7,router_5_7,2.3001,0.875955
49,router_7_7,router_5_7,2.3001,0.876790
50,router_7_7,router_5_7,2.8001,0.875121
51,router_7_7,router_5_7,2.8001,0.875955
52,router_6_7,router_5_7,1.5000,0.949813
53,router_7_7,router_5_7,0.8000,0.878464
54,router_7_7,router_5_7,0.8000,0.878464
55,router_7_7,router_5_7,1.3000,0.877627
56,router_7_7,router_4_7,4.1001,0.810415
57,router_6_7,router_5_7,1.0000,0.949813
58,router_7_7,router_5_7,1.3000,0.877627
59,router_7_7,router_5_7,2.8001,0.875121
60,router_7_7,router_5_7,1.3000,0.877627
61,router_7_7,router_4_7,3.1001,0.811162
62,router_6_7,router_5_7,1.5000,0.949813
63,router_6_7,router_5_7,0.5000,0.949813
64,router_7_7,router_5_7,0.8000,0.878464
65,router_7_7,router_5_7,1.3000,0.878464
66,router_7_7,router_4_7,2.9001,0.810265
67,router_7_7,router_4_7,2.4000,0.811761
68,router_6_7,router_5_7,0.5000,0.949813
68,router_6_7,router_5_7,2.5001,0.949813
70,router_7_7,router_5_7,2.3001,0.877627
71,router_7_7,router_5_7,1.8000,0.878464
72,router_7_7,router_4_7,6.6002,0.805949
73,router_7_7,router_4_7,2.9001,0.808773
74,router_6_7,router_5_7,1.5000,0.949813
75,router_6_7,router_5_7,3.5001,0.949813
76,router_6_7,router_5_7,1.5000,0.949813
77,router_7_7,router_5_7,0.8000,0.878464
78,router_7_7,router_4_7,2.4000,0.811761
79,router_7_7,router_4_7,2.9000,0.809519
80,router_7_7,router_4_7,3.9001,0.805801
81,router_6_7,router_5_7,2.0000,0.949813
82,router_6_7,router_5_7,0.5000,0.949813
83,router_6_7,router_5_7,1.0000,0.949813
84,router_7_7,router_5_7,1.8000,0.878464
85,router_7_7,router_4_7,3.9001,0.805801
86,router_7_7,router_4_7,3.6001,0.810415
87,router_7_7,router_4_7,3.9001,0.805801
89,router_6_7,router_5_7,0.5000,0.949813
90,router_6_7,router_5_7,0.5000,0.949813
91,router_6_7,router_5_7,0.5000,0.949813
91,router_6_7,router_5_7,0.5000,0.949813
92,router_7_7,router_4_7,6.9002,0.800637
93,router_7_7,router_4_7,3.4001,0.809519
94,router_7_7,router_4_7,2.4000,0.810265
95,router_7_7,router_4_7,2.6000,0.811911
97,router_6_7,router_5_7,1.5000,0.949813
98,router_6_7,router_5_7,2.0000,0.949813
99,router_6_7,router_5_7,1.0000,0.949813
99,router_6_7,router_5_7,0.5000,0.949813
100,router_7_7,router_4_7,3.9001,0.805801
101,router_7_7,router_4_7,2.4000,0.810265
102,router_7_7,router_4_7,6.1001,0.806691
103,router_7_7,router_4_7,2.9001,0.811013
105,router_6_7,router_5_7,0.5000,0.949813
106,router_6_7,router_5_7,1.0000,0.949813
106,router_6_7,router_5_7,1.0000,0.949813
107,router_6_7,router_4_7,0.8000,0.878464
108,router_7_7,router_4_7,1.9000,0.812511
109,router_7_7,router_4_7,4.4001,0.806543
110,router_7_7,router_4_7,2.4000,0.811761
111,router_7_7,router_3_7,2.4000,0.754824
112,router_6_7,router_5_7,2.5001,0.949813
