Request_ID,Latency_ms,Fidelity
0,0.7000,0.868041
1,2.5000,0.773012
2,1.4000,0.793326
5,1.1000,0.855280
6,0.6000,0.835559
10,0.2000,0.920631
13,0.8000,0.878464
22,4.1001,0.652475
30,0.7000,0.875035
35,0.2000,0.929796
44,0.5000,0.786594
45,0.3000,0.949244
63,1.9001,0.876456
85,0.6000,0.792896
105,0.3000,0.855402
193,0.8000,0.949813
290,0.5000,0.766841
454,1.8000,0.876790
455,3.4001,0.810714
456,1.2000,0.949813
457,5.3001,0.874288
465,1.1000,0.877794
489,0.3000,0.921916
550,0.6000,0.957484
854,0.2000,0.954497
