Request_ID,Latency_ms,Fidelity
0,1.3000,0.877627
1,5.9001,0.802108
2,6.6001,0.805949
3,2.9001,0.810265
4,2.1000,0.812661
5,2.5001,0.811537
7,0.8000,0.878464
8,0.8000,0.878296
11,2.9001,0.810863
13,1.3000,0.877459
15,0.5000,0.949813
17,2.8001,0.949813
38,1.6001,0.949813
43,3.3001,0.808922
57,2.0001,0.949813
70,1.6000,0.949813
75,1.4000,0.813111
76,1.1000,0.877794
78,2.1000,0.810938
89,1.5000,0.949813
95,0.5000,0.949813
156,1.5000,0.877125
187,0.8000,0.949813
195,4.9001,0.802623
201,0.8000,0.878464
238,1.0000,0.949813
253,1.8000,0.876790
300,1.0000,0.949813
413,1.0000,0.949813
493,1.3000,0.878464
689,0.8000,0.949813
749,1.0000,0.949813
