Request_ID,Latency_ms,Fidelity
0,2.0000,0.949813
1,0.8000,0.858694
2,2.8001,0.875121
3,0.6000,0.842534
4,1.2000,0.766612
6,0.8000,0.862574
8,1.3000,0.948879
12,0.2000,0.948637
15,1.7000,0.792985
17,0.5000,0.835625
34,0.3000,0.920478
35,0.4000,0.949813
48,0.2000,0.918681
52,2.0000,0.949813
69,0.3000,0.935827
88,3.4001,0.809519
89,0.5000,0.802375
92,2.5001,0.721898
104,0.5000,0.843942
208,0.5000,0.949813
361,1.0000,0.949813
708,0.2000,0.774838
1201,1.9000,0.876456
1203,1.3000,0.878464
1207,1.9000,0.754689
1210,2.8001,0.949813
1213,1.5000,0.949813
1224,2.4000,0.805754
1227,2.3001,0.870393
2497,2.8001,0.949813
2505,1.2000,0.949813
2538,1.0000,0.949813
