Request_ID,Latency_ms,Fidelity
0,1.1000,0.858276
1,0.3000,0.928703
2,0.6000,0.843649
4,1.3000,0.876727
5,0.8000,0.878464
6,1.9000,0.724475
7,4.5001,0.740398
10,2.5001,0.949813
17,1.4000,0.819354
19,2.8001,0.852153
37,0.3000,0.957702
56,0.5000,0.822110
60,1.0000,0.949813
67,0.2000,0.955240
122,1.1000,0.751900
125,1.2000,0.721829
167,0.3000,0.939573
233,0.2000,0.935259
252,0.8000,0.949813
324,0.6000,0.795064
740,0.3000,0.849395
1354,1.3000,0.877459
1355,3.1001,0.875121
1356,1.9000,0.812961
1357,1.8000,0.877627
1358,4.8001,0.871796
1362,2.0001,0.949813
1379,2.9001,0.811013
