Request_ID,Latency_ms,Fidelity
0,1.1000,0.858276
1,0.6000,0.843213
2,1.7000,0.781496
3,1.8000,0.875967
4,0.3000,0.927445
5,1.2000,0.797272
7,1.2000,0.762848
8,2.5001,0.739031
16,0.6000,0.949290
25,0.3000,0.923186
57,0.4000,0.949813
60,0.8000,0.873333
62,2.8001,0.949813
76,0.6000,0.814189
100,0.2000,0.911283
134,0.8000,0.949813
142,1.3000,0.877627
212,0.3000,0.921918
286,0.6000,0.765162
324,0.3000,0.923844
386,0.3000,0.926731
514,0.3000,0.918690
1101,0.2000,0.720987
1514,0.8000,0.949813
1515,2.9000,0.810407
1516,0.8000,0.878296
1520,0.4000,0.949813
1521,1.5000,0.877794
1522,2.8001,0.877627
3130,1.3000,0.877627
