Request_ID,Latency_ms,Fidelity
0,0.7000,0.857672
1,2.3001,0.855411
2,1.9000,0.878464
3,0.2000,0.927170
4,1.9000,0.708361
5,2.1000,0.752291
6,1.2000,0.752770
7,1.8000,0.854638
9,0.2000,0.925627
10,0.8000,0.872850
11,1.2000,0.949813
13,0.6000,0.812263
17,1.0000,0.949813
18,4.4001,0.802598
25,0.2000,0.945989
26,2.8001,0.949813
28,0.3000,0.932506
76,0.2000,0.874801
149,0.6000,0.636135
180,0.3000,0.925695
303,4.1001,0.696694
304,1.9000,0.876456
305,0.3000,0.948925
307,2.3001,0.875955
308,0.5000,0.949813
621,0.4000,0.949813
627,0.8000,0.949813
