Request_ID,Latency_ms,Fidelity
0,2.3001,0.857330
1,1.1000,0.785357
2,1.9000,0.746472
4,2.9000,0.754151
5,1.2000,0.776630
11,0.2000,0.927256
13,1.9000,0.728109
14,2.4000,0.738880
22,0.5000,0.876470
23,0.2000,0.924481
31,1.1000,0.785124
32,0.2000,0.948222
36,3.8001,0.845659
41,1.2000,0.949813
48,0.2000,0.947284
77,3.5001,0.949813
113,0.2000,0.920041
1056,0.8000,0.949813
1057,4.1001,0.698544
1058,1.8000,0.876790
1059,0.4000,0.949813
1063,1.4000,0.812357
1067,1.5000,0.877125
1069,2.3001,0.875955
1071,1.0000,0.949813
1080,2.4001,0.949813
1084,1.0000,0.949813
1085,1.0000,0.949813
1089,1.6001,0.949813
