Request_ID,Latency_ms,Fidelity
0,2.3001,0.877627
1,1.7000,0.812736
2,4.1001,0.806172
3,1.9001,0.877459
4,2.1000,0.812136
5,2.3001,0.875788
6,2.9000,0.808773
7,1.3000,0.877627
8,1.1000,0.877794
9,4.9001,0.802844
10,1.3000,0.878464
11,0.7000,0.878464
14,1.8000,0.876790
27,0.4000,0.949813
31,1.8000,0.876790
32,1.5000,0.949813
35,2.7001,0.875121
43,0.4000,0.949813
45,2.5001,0.811013
56,1.9001,0.878464
61,0.5000,0.949813
75,1.4000,0.813111
81,0.5000,0.949813
86,0.8000,0.878296
120,0.8000,0.878464
130,1.6001,0.949813
168,1.2000,0.949813
200,5.0001,0.949813
233,0.5000,0.949813
286,1.6001,0.949813
318,1.0000,0.949813
390,1.0000,0.949813
