Pattern,PIR,Experiment,Avg_Latency_ms,Avg_Fidelity
random,0.1,On-Demand (ODG),1.8388,0.886591
random,0.1,CGP,1.4459,0.831430
random,0.1,ACGP,1.4459,0.831430
random,0.1,CGP-WP,1.3500,0.851352
random,0.1,ACGP-WP,1.3500,0.851260
random,0.2,On-Demand (ODG),1.6313,0.890212
random,0.2,CGP,1.2963,0.867117
random,0.2,ACGP,1.2963,0.867117
random,0.2,CGP-WP,1.2111,0.869522
random,0.2,ACGP-WP,1.1889,0.869267
random,0.3,On-Demand (ODG),1.5528,0.899514
random,0.3,CGP,1.3100,0.868025
random,0.3,ACGP,1.3100,0.868025
random,0.3,CGP-WP,1.3300,0.870609
random,0.3,ACGP-WP,1.3483,0.867806
random,0.4,On-Demand (ODG),1.7213,0.889085
random,0.4,CGP,1.1734,0.864539
random,0.4,ACGP,1.1734,0.864487
random,0.4,CGP-WP,1.1567,0.869201
random,0.4,ACGP-WP,1.1567,0.869174
random,0.5,On-Demand (ODG),2.1520,0.859227
random,0.5,CGP,1.4193,0.847167
random,0.5,ACGP,1.4193,0.847159
random,0.5,CGP-WP,1.4231,0.850386
random,0.5,ACGP-WP,1.4231,0.850386
random,0.6,On-Demand (ODG),1.9276,0.881234
random,0.6,CGP,1.2807,0.876172
random,0.6,ACGP,1.2807,0.876172
random,0.6,CGP-WP,1.2452,0.879115
random,0.6,ACGP-WP,1.2452,0.879115
random,0.7,On-Demand (ODG),1.8904,0.885553
random,0.7,CGP,1.5483,0.868557
random,0.7,ACGP,1.5483,0.868565
random,0.7,CGP-WP,1.5138,0.870714
random,0.7,ACGP-WP,1.5207,0.870709
random,0.8,On-Demand (ODG),1.9104,0.872699
random,0.8,CGP,1.2700,0.874144
random,0.8,ACGP,1.2434,0.874216
random,0.8,CGP-WP,1.2034,0.878653
random,0.8,ACGP-WP,1.2767,0.878727
random,0.9,On-Demand (ODG),1.8656,0.884497
random,0.9,CGP,1.1265,0.885742
random,0.9,ACGP,1.1265,0.885742
random,0.9,CGP-WP,1.1000,0.894152
random,0.9,ACGP-WP,1.1000,0.894152
random,1.0,On-Demand (ODG),1.7344,0.889740
random,1.0,CGP,1.2645,0.875816
random,1.0,ACGP,1.2645,0.875816
random,1.0,CGP-WP,1.1100,0.887964
random,1.0,ACGP-WP,1.1100,0.887964
hotspot,0.1,On-Demand (ODG),1.8693,0.888573
hotspot,0.1,CGP,1.1722,0.839435
hotspot,0.1,ACGP,1.1722,0.839435
hotspot,0.1,CGP-WP,1.1445,0.844938
hotspot,0.1,ACGP-WP,1.2158,0.850457
hotspot,0.2,On-Demand (ODG),1.7465,0.898888
hotspot,0.2,CGP,1.3334,0.863662
hotspot,0.2,ACGP,1.3696,0.859916
hotspot,0.2,CGP-WP,1.3696,0.873272
hotspot,0.2,ACGP-WP,1.3696,0.873272
hotspot,0.3,On-Demand (ODG),1.8134,0.880472
hotspot,0.3,CGP,1.3042,0.847773
hotspot,0.3,ACGP,1.3000,0.842617
hotspot,0.3,CGP-WP,1.2834,0.859127
hotspot,0.3,ACGP-WP,1.2440,0.863286
hotspot,0.4,On-Demand (ODG),1.7059,0.898611
hotspot,0.4,CGP,1.1104,0.856434
hotspot,0.4,ACGP,1.1104,0.856434
hotspot,0.4,CGP-WP,1.2100,0.864606
hotspot,0.4,ACGP-WP,1.1934,0.864715
hotspot,0.5,On-Demand (ODG),2.0867,0.881749
hotspot,0.5,CGP,1.1929,0.852010
hotspot,0.5,ACGP,1.1929,0.852010
hotspot,0.5,CGP-WP,1.1107,0.861722
hotspot,0.5,ACGP-WP,1.1107,0.861737
hotspot,0.6,On-Demand (ODG),1.8742,0.882173
hotspot,0.6,CGP,1.5037,0.843909
hotspot,0.6,ACGP,1.5037,0.843909
hotspot,0.6,CGP-WP,1.5297,0.848843
hotspot,0.6,ACGP-WP,1.4556,0.849036
hotspot,0.7,On-Demand (ODG),1.9188,0.885532
hotspot,0.7,CGP,1.2742,0.872981
hotspot,0.7,ACGP,1.2900,0.870420
hotspot,0.7,CGP-WP,1.2484,0.880483
hotspot,0.7,ACGP-WP,1.2484,0.880480
hotspot,0.8,On-Demand (ODG),1.9364,0.892714
hotspot,0.8,CGP,1.3484,0.877203
hotspot,0.8,ACGP,1.3375,0.879472
hotspot,0.8,CGP-WP,1.2194,0.879170
hotspot,0.8,ACGP-WP,1.2194,0.879330
hotspot,0.9,On-Demand (ODG),1.8862,0.876735
hotspot,0.9,CGP,1.5179,0.861288
hotspot,0.9,ACGP,1.5179,0.861288
hotspot,0.9,CGP-WP,1.4822,0.863411
hotspot,0.9,ACGP-WP,1.4552,0.863930
hotspot,1.0,On-Demand (ODG),1.8471,0.891986
hotspot,1.0,CGP,1.0234,0.872754
hotspot,1.0,ACGP,1.0500,0.872709
hotspot,1.0,CGP-WP,1.0300,0.874950
hotspot,1.0,ACGP-WP,1.0300,0.874950
