Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_0_1,1.2000,0.949813
1,router_0_0,router_0_1,2.4001,0.949813
2,router_0_0,router_0_1,0.4000,0.949813
3,router_0_0,router_0_1,0.4000,0.949813
4,router_0_0,router_0_1,0.8000,0.949813
5,router_0_0,router_0_1,0.4000,0.949813
6,router_0_0,router_0_1,0.2000,0.949535
7,router_0_0,router_0_1,0.2000,0.953126
8,router_0_1,router_1_1,0.2000,0.904991
9,router_0_0,router_1_1,0.5000,0.679803
10,router_0_1,router_1_1,0.2000,0.907304
11,router_0_0,router_1_1,0.5000,0.853194
12,router_0_0,router_0_1,0.2000,0.957911
13,router_0_0,router_0_1,0.2000,0.954974
14,router_0_0,router_1_1,0.5000,0.866228
15,router_0_0,router_1_1,0.5000,0.670044
16,router_0_0,router_1_1,0.5000,0.853343
17,router_0_0,router_1_1,0.5000,0.842137
18,router_0_0,router_1_1,0.5000,0.681121
19,router_0_0,router_1_1,0.5000,0.826323
20,router_0_0,router_1_1,0.5000,0.832496
21,router_0_0,router_1_1,0.5000,0.680092
22,router_0_0,router_1_1,0.5000,0.843823
23,router_0_0,router_1_1,0.5000,0.687813
24,router_0_0,router_1_1,0.5000,0.852410
25,router_0_0,router_1_1,0.5000,0.728121
26,router_0_0,router_1_1,0.5000,0.844470
27,router_0_0,router_1_1,0.5000,0.747894
28,router_0_0,router_1_1,0.5000,0.853296
29,router_0_0,router_1_1,0.5000,0.802230
30,router_1_0,router_1_1,0.6000,0.956440
31,router_1_0,router_1_1,0.2000,0.957586
32,router_1_0,router_1_1,0.2000,0.956180
33,router_1_0,router_1_1,0.2000,0.957329
34,router_1_0,router_1_1,0.2000,0.957018
35,router_1_0,router_1_1,0.2000,0.916567
36,router_1_0,router_1_1,0.2000,0.913822
37,router_1_0,router_1_1,0.2000,0.908532
38,router_1_0,router_1_1,0.2000,0.905030
39,router_1_0,router_1_1,0.2000,0.887793
40,router_1_0,router_1_1,0.2000,0.913822
41,router_1_0,router_1_1,0.2000,0.905729
42,router_1_1,router_1_0,0.5000,0.949813
43,router_1_1,router_1_0,0.3000,0.913822
44,router_1_1,router_1_0,0.3000,0.925994
45,router_1_1,router_1_0,0.3000,0.913822
46,router_1_1,router_1_0,0.3000,0.916482
47,router_1_1,router_0_1,0.3000,0.824195
48,router_1_1,router_0_1,0.3000,0.917194
49,router_1_1,router_0_1,0.3000,0.914353
50,router_1_1,router_0_1,0.3000,0.913645
51,router_1_1,router_0_1,0.3000,0.917194
52,router_1_1,router_0_1,0.3000,0.913645
53,router_1_0,router_1_1,0.6000,0.957403
54,router_1_0,router_1_1,0.4000,0.949813
55,router_1_0,router_1_1,0.2000,0.956371
56,router_1_0,router_1_1,0.2000,0.957754
57,router_1_0,router_1_1,0.6000,0.956208
58,router_1_0,router_1_1,0.6000,0.957420
59,router_1_0,router_1_1,0.2000,0.951113
60,router_1_0,router_1_1,0.2000,0.950784
61,router_1_0,router_1_1,0.2000,0.954491
62,router_1_0,router_1_1,0.2000,0.954196
63,router_1_0,router_1_1,0.2000,0.956939
64,router_1_0,router_1_1,0.2000,0.954404
65,router_0_0,router_1_1,1.1000,0.881192
66,router_0_0,router_1_1,0.7000,0.883555
67,router_0_0,router_1_1,0.5000,0.826260
68,router_0_0,router_1_1,0.5000,0.680097
69,router_0_0,router_1_1,0.5000,0.772842
70,router_0_0,router_1_1,0.5000,0.673061
71,router_0_0,router_1_1,0.5000,0.850445
72,router_0_0,router_1_1,0.7000,0.708821
73,router_0_0,router_1_1,0.7000,0.882010
74,router_0_0,router_1_1,0.5000,0.721818
75,router_0_0,router_1_1,0.5000,0.849799
76,router_0_0,router_1_1,0.5000,0.768983
77,router_0_0,router_1_1,0.5000,0.830506
78,router_0_0,router_1_1,0.5000,0.780262
79,router_0_0,router_1_1,0.7000,0.847256
80,router_0_0,router_1_1,0.5000,0.830701
81,router_0_1,router_1_1,0.2000,0.953408
82,router_0_0,router_1_1,0.5000,0.804928
83,router_0_1,router_1_1,0.2000,0.896359
84,router_0_0,router_1_1,0.5000,0.842975
85,router_0_0,router_0_1,0.2000,0.957370
86,router_0_0,router_0_1,0.2000,0.956526
87,router_0_0,router_0_1,0.2000,0.956426
88,router_0_0,router_0_1,0.2000,0.956386
89,router_0_0,router_0_1,1.2000,0.949813
90,router_0_0,router_0_1,0.2000,0.957040
91,router_0_0,router_0_1,0.2000,0.955085
92,router_0_0,router_0_1,0.2000,0.956431
93,router_0_0,router_0_1,0.2000,0.957086
94,router_0_0,router_0_1,0.2000,0.955362

AVERAGES,,,0.4179,0.883445
E2E_LATENCY,,,79.6006,
