Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_1_1,router_0_1,0.3000,0.695907
1,router_1_1,router_0_1,0.3000,0.906253
3,router_1_1,router_0_1,0.3000,0.916831
3,router_1_1,router_0_1,0.3000,0.759254
4,router_1_1,router_0_1,0.3000,0.906954
5,router_1_1,router_0_1,0.3000,0.813681
6,router_1_1,router_0_1,0.3000,0.908532
6,router_1_1,router_0_1,0.3000,0.894836
7,router_1_1,router_0_1,0.3000,0.913822
10,router_1_1,router_0_1,0.3000,0.760206
11,router_1_1,router_0_1,0.3000,0.906779
11,router_1_1,router_0_1,0.3000,0.923825
12,router_1_1,router_0_1,0.3000,0.906779
13,router_1_1,router_0_1,0.3000,0.760206
14,router_1_1,router_0_1,0.3000,0.913822
15,router_1_1,router_0_1,0.5000,0.949813
16,router_1_1,router_0_1,0.3000,0.907097
17,router_1_1,router_0_1,0.3000,0.758847
18,router_1_1,router_0_1,0.3000,0.913822
19,router_1_1,router_0_1,0.3000,0.914707
20,router_1_1,router_0_1,0.5000,0.949813
20,router_1_1,router_0_1,0.3000,0.871891
21,router_1_1,router_0_1,0.3000,0.914707
22,router_1_1,router_0_1,0.3000,0.913822
24,router_1_1,router_0_1,0.3000,0.913822
25,router_1_1,router_0_1,0.3000,0.913697
25,router_1_1,router_0_1,0.3000,0.782660
27,router_1_1,router_0_1,0.3000,0.913645
28,router_1_1,router_0_1,0.3000,0.915062
29,router_1_1,router_0_1,0.5000,0.949813
30,router_1_1,router_0_1,0.3000,0.906040
31,router_1_1,router_0_1,0.3000,0.917906
32,router_1_1,router_0_1,0.3000,0.761432
33,router_1_1,router_0_1,0.3000,0.913645
34,router_1_1,router_0_1,0.3000,0.914353
35,router_1_1,router_0_1,0.3000,0.937459
36,router_1_1,router_0_1,0.3000,0.907655
37,router_1_1,router_0_1,0.3000,0.759798
38,router_1_1,router_0_1,0.3000,0.915062
39,router_1_1,router_0_1,0.3000,0.926709
40,router_1_1,router_0_1,0.3000,0.913645
41,router_1_1,router_0_1,0.3000,0.913645
42,router_1_1,router_0_1,0.3000,0.904855
43,router_1_1,router_0_1,1.0000,0.949813
44,router_1_1,router_0_1,0.3000,0.914340
45,router_1_1,router_0_1,0.3000,0.915594
46,router_1_1,router_0_1,0.3000,0.916482
47,router_1_1,router_0_1,0.3000,0.918262
48,router_1_1,router_0_1,0.3000,0.913822
49,router_1_1,router_0_1,0.3000,0.912054
50,router_1_1,router_0_1,1.0000,0.949813
51,router_1_1,router_0_1,0.5000,0.949813
52,router_1_1,router_0_1,0.5000,0.949813
53,router_1_1,router_0_1,0.5000,0.949813
54,router_1_1,router_0_1,2.0000,0.949813
55,router_1_1,router_0_1,1.0000,0.949813
56,router_1_1,router_0_1,1.0000,0.949813
57,router_1_1,router_0_1,0.3000,0.790226
58,router_1_1,router_0_1,0.3000,0.913645
59,router_1_1,router_0_1,0.3000,0.915062
60,router_1_1,router_0_1,0.3000,0.916482
61,router_1_1,router_0_1,0.3000,0.913645
62,router_1_1,router_0_1,0.3000,0.914353
63,router_1_1,router_0_1,0.5000,0.949813
64,router_1_1,router_0_1,0.3000,0.904231
65,router_1_1,router_0_1,0.3000,0.760206
66,router_1_1,router_0_1,0.3000,0.920047
67,router_1_1,router_0_1,0.3000,0.944868
68,router_1_1,router_0_1,0.3000,0.913645
69,router_1_1,router_0_1,0.3000,0.913645
70,router_1_1,router_0_1,0.3000,0.913645
71,router_1_1,router_0_1,0.3000,0.915062
72,router_1_1,router_0_1,0.3000,0.905554
73,router_1_1,router_0_1,0.3000,0.894501
74,router_1_1,router_0_1,0.3000,0.914707
75,router_1_1,router_0_1,0.3000,0.915594
76,router_1_1,router_0_1,0.3000,0.915594
77,router_1_1,router_0_1,0.3000,0.913822
78,router_1_1,router_0_1,0.3000,0.915594
79,router_1_1,router_1_0,0.3000,0.714622
80,router_1_1,router_0_1,0.3000,0.870513
81,router_1_1,router_0_1,0.3000,0.789780
82,router_1_1,router_0_1,0.3000,0.915594
83,router_1_1,router_0_1,0.3000,0.914707
84,router_1_1,router_0_1,0.3000,0.913822
85,router_1_1,router_0_1,0.3000,0.913822
86,router_1_1,router_0_1,1.0000,0.949813
87,router_1_1,router_1_0,0.3000,0.914739
88,router_1_1,router_0_1,0.3000,0.902295
89,router_1_1,router_0_1,0.3000,0.759254
90,router_1_1,router_0_1,0.3000,0.917194
91,router_1_1,router_0_1,0.3000,0.936676
92,router_1_1,router_0_1,0.3000,0.913645
93,router_1_1,router_0_1,0.3000,0.913645
94,router_1_1,router_1_0,0.3000,0.833003
95,router_1_1,router_1_0,0.3000,0.915062
96,router_1_1,router_0_1,0.3000,0.840802
97,router_1_1,router_0_1,0.3000,0.889166
98,router_1_1,router_0_1,0.3000,0.915062
99,router_1_1,router_0_1,0.3000,0.915062
100,router_1_1,router_0_1,0.3000,0.913645
101,router_1_1,router_0_1,0.3000,0.914353
102,router_1_1,router_1_0,0.3000,0.737997
103,router_1_1,router_1_0,0.3000,0.915772
104,router_1_1,router_0_1,0.3000,0.839543
105,router_1_1,router_0_1,0.3000,0.785200
