Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_1_0,1.2000,0.949813
1,router_0_0,router_0_1,1.2000,0.949813
2,router_0_0,router_0_1,0.2000,0.919587
3,router_0_0,router_0_1,0.2000,0.913999
4,router_0_0,router_0_1,0.2000,0.913999
5,router_0_0,router_0_1,0.4000,0.949813
6,router_0_0,router_0_1,0.2000,0.953560
7,router_0_0,router_0_1,0.2000,0.958381
8,router_1_0,router_0_1,0.6000,0.642510
9,router_1_0,router_1_1,0.2000,0.948904
10,router_1_0,router_1_1,0.2000,0.919332
11,router_1_0,router_1_1,0.2000,0.913999
12,router_1_0,router_1_1,0.2000,0.921647
13,router_1_0,router_1_1,0.2000,0.918440
14,router_1_0,router_1_1,0.2000,0.914885
15,router_0_0,router_1_1,0.5000,0.727492
16,router_1_0,router_0_0,0.3000,0.958050
17,router_1_1,router_0_0,0.6000,0.798996
18,router_1_0,router_0_0,0.3000,0.955773
19,router_1_1,router_0_0,0.8000,0.879546
20,router_1_1,router_1_0,0.5000,0.949813
21,router_1_1,router_1_0,1.5000,0.949813
22,router_0_1,router_0_0,1.5000,0.949813
23,router_0_1,router_0_0,1.0000,0.949813
24,router_0_0,router_0_1,0.8000,0.949813
25,router_0_0,router_0_1,0.4000,0.949813
26,router_0_1,router_0_0,1.0000,0.949813
27,router_0_1,router_0_0,0.3000,0.955085
28,router_0_0,router_0_1,0.2000,0.956468
29,router_0_0,router_0_1,0.2000,0.956232
30,router_0_1,router_0_0,0.3000,0.956762
31,router_0_1,router_0_0,0.3000,0.956824
32,router_0_0,router_0_1,0.4000,0.949813
33,router_0_0,router_0_1,0.2000,0.945764
34,router_0_1,router_0_0,0.3000,0.956920
35,router_0_1,router_0_0,0.3000,0.951498
36,router_0_0,router_0_1,0.2000,0.935229
37,router_0_0,router_0_1,0.2000,0.957311
38,router_0_1,router_0_0,0.3000,0.955296
39,router_0_1,router_0_0,0.3000,0.955281
40,router_0_0,router_0_1,0.4000,0.949813
41,router_0_0,router_0_1,2.4001,0.949813
42,router_0_1,router_0_0,1.5000,0.949813
