Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_0_1,1.2000,0.949813
1,router_0_0,router_0_1,2.4001,0.949813
2,router_0_0,router_0_1,0.4000,0.949813
3,router_0_0,router_0_1,0.4000,0.949813
4,router_0_0,router_0_1,0.8000,0.949813
5,router_0_0,router_0_1,0.4000,0.949813
6,router_0_0,router_0_1,0.2000,0.949535
7,router_0_0,router_0_1,0.2000,0.953126
8,router_0_1,router_1_1,0.2000,0.904991
9,router_0_0,router_1_1,0.5000,0.679803
10,router_0_1,router_1_1,0.2000,0.907304
11,router_0_0,router_1_1,0.7000,0.846542
12,router_0_0,router_0_1,0.2000,0.732805
13,router_0_0,router_0_1,0.2000,0.906078
14,router_0_0,router_1_1,0.5000,0.862798
15,router_0_0,router_1_1,0.5000,0.668062
16,router_0_0,router_1_1,0.5000,0.852857
17,router_0_0,router_1_1,0.5000,0.839778
18,router_0_0,router_1_1,0.5000,0.678557
19,router_0_0,router_1_1,0.5000,0.829785
20,router_0_0,router_1_1,0.5000,0.829349
21,router_0_0,router_1_1,0.5000,0.679005
22,router_0_0,router_1_1,0.5000,0.800749
23,router_0_0,router_1_1,0.5000,0.686433
24,router_0_0,router_1_1,0.5000,0.849451
25,router_0_0,router_1_1,0.5000,0.724280
26,router_0_0,router_1_1,0.9000,0.836524
27,router_0_0,router_1_1,0.5000,0.755910
28,router_0_0,router_1_1,0.5000,0.851201
29,router_0_0,router_1_1,0.5000,0.789877
30,router_1_0,router_1_1,0.2000,0.815995
31,router_1_0,router_1_1,0.2000,0.889667
32,router_1_0,router_1_1,0.2000,0.916660
33,router_1_0,router_1_1,0.2000,0.906954
34,router_1_0,router_1_1,0.2000,0.907830
35,router_1_0,router_1_1,0.2000,0.954468
36,router_1_0,router_1_1,0.2000,0.950122
37,router_1_0,router_1_1,0.2000,0.953479
38,router_1_0,router_1_1,0.2000,0.956361
39,router_1_0,router_1_1,0.2000,0.952290
40,router_1_0,router_1_1,0.2000,0.957296
41,router_1_0,router_1_1,0.2000,0.954779
42,router_1_1,router_1_0,0.3000,0.906078
43,router_1_1,router_1_0,0.3000,0.957302
44,router_1_1,router_1_0,0.3000,0.925013
45,router_1_1,router_1_0,0.3000,0.913822
46,router_1_1,router_1_0,0.3000,0.913822
47,router_1_1,router_0_1,0.3000,0.824624
48,router_1_1,router_0_1,0.3000,0.913645
49,router_1_1,router_0_1,0.3000,0.913645
50,router_1_1,router_0_1,0.3000,0.915772
51,router_1_1,router_0_1,0.3000,0.916482
52,router_1_1,router_0_1,0.3000,0.913645
53,router_1_0,router_1_1,0.2000,0.956771
54,router_1_0,router_1_1,0.2000,0.957482
55,router_1_0,router_1_1,0.2000,0.953832
56,router_1_0,router_1_1,0.2000,0.954931
57,router_1_0,router_1_1,0.2000,0.953279
58,router_1_0,router_1_1,0.2000,0.955648
59,router_1_0,router_1_1,0.2000,0.955246
60,router_1_0,router_1_1,0.2000,0.937627
61,router_1_0,router_1_1,0.2000,0.887963
62,router_1_0,router_1_1,0.2000,0.893945
63,router_1_0,router_1_1,0.2000,0.914885
64,router_1_0,router_1_1,0.2000,0.906078
65,router_0_0,router_1_1,0.5000,0.666417
66,router_0_0,router_1_1,0.5000,0.830766
67,router_0_0,router_1_1,0.7000,0.881294
68,router_0_0,router_1_1,0.9000,0.739728
69,router_0_0,router_1_1,0.5000,0.828083
70,router_0_0,router_1_1,0.5000,0.675206
71,router_0_0,router_1_1,0.5000,0.853443
72,router_0_0,router_1_1,0.5000,0.716366
73,router_0_0,router_1_1,0.9000,0.833796
74,router_0_0,router_1_1,1.1000,0.877794
75,router_0_0,router_1_1,0.7000,0.880020
76,router_0_0,router_1_1,0.5000,0.766434
77,router_0_0,router_1_1,0.5000,0.821547
78,router_0_0,router_1_1,1.3000,0.778554
79,router_0_0,router_1_1,0.5000,0.855190
80,router_0_0,router_1_1,0.5000,0.832450
81,router_0_1,router_1_1,0.2000,0.905904
82,router_0_0,router_1_1,0.5000,0.844938
83,router_0_1,router_1_1,0.2000,0.953624
84,router_0_0,router_1_1,0.5000,0.797411
85,router_0_0,router_0_1,0.2000,0.916127
86,router_0_0,router_0_1,0.2000,0.905204
87,router_0_0,router_0_1,0.2000,0.893087
88,router_0_0,router_0_1,0.2000,0.890520
89,router_0_0,router_0_1,0.2000,0.913999
90,router_0_0,router_0_1,0.2000,0.921622
91,router_0_0,router_0_1,0.2000,0.906954
92,router_0_0,router_0_1,0.2000,0.906954
93,router_0_0,router_0_1,0.2000,0.905204
94,router_0_0,router_0_1,0.2000,0.906078

AVERAGES,,,0.4053,0.872377
E2E_LATENCY,,,80.0005,
