Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_3_1,1.1000,0.365557
1,router_0_0,router_0_2,0.5000,0.641616
2,router_0_0,router_0_2,0.5000,0.618183
3,router_0_0,router_0_2,0.5000,0.816388
4,router_0_0,router_0_2,0.5000,0.703579
5,router_0_0,router_0_2,0.5000,0.817143
6,router_0_0,router_0_2,0.5000,0.811625
7,router_0_0,router_0_2,0.5000,0.817900
8,router_1_0,router_0_2,1.2000,0.414563
9,router_1_0,router_1_2,1.1000,0.877182
10,router_1_0,router_1_2,1.5000,0.844871
11,router_1_0,router_1_2,1.1000,0.682542
12,router_1_0,router_1_2,0.7000,0.850930
13,router_1_0,router_1_2,0.5000,0.849360
14,router_1_0,router_1_2,0.5000,0.548174
15,router_1_0,router_1_2,0.5000,0.815935
16,router_2_0,router_1_2,1.2000,0.554445
17,router_2_0,router_2_2,0.5000,0.845668
18,router_2_0,router_2_2,0.5000,0.818506
19,router_2_0,router_2_2,0.5000,0.821089
20,router_2_0,router_2_2,0.5000,0.548413
21,router_2_0,router_2_2,1.9001,0.853468
22,router_2_0,router_2_2,0.7000,0.681390
23,router_2_0,router_2_2,1.5000,0.844713
24,router_3_0,router_2_2,2.1000,0.547857
25,router_3_0,router_3_2,0.5000,0.554233
26,router_3_0,router_3_2,0.5000,0.816388
27,router_3_0,router_3_2,0.5000,0.618354
28,router_3_0,router_3_2,0.5000,0.820328
29,router_3_0,router_3_2,0.5000,0.701979
30,router_3_0,router_3_2,0.5000,0.817446
31,router_3_0,router_3_2,0.5000,0.806825
32,router_0_1,router_3_2,1.7000,0.653424
33,router_0_1,router_0_3,0.5000,0.758709
34,router_0_1,router_0_3,0.7000,0.870176
35,router_0_1,router_0_3,0.7000,0.849970
36,router_0_1,router_0_3,1.1000,0.681735
37,router_0_1,router_0_3,3.1001,0.840761
38,router_0_1,router_0_3,0.7000,0.865736
39,router_0_1,router_0_3,1.1000,0.681620
40,router_1_1,router_0_3,1.7000,0.586113
41,router_1_1,router_1_3,0.7000,0.623362
42,router_1_1,router_1_3,0.7000,0.859918
43,router_1_1,router_1_3,1.1000,0.844554
