Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_2_2,1.1000,0.642553
1,router_0_0,router_2_2,1.1000,0.639764
2,router_0_0,router_2_2,1.3000,0.408974
3,router_0_0,router_2_2,1.7000,0.682980
4,router_0_0,router_2_2,2.5000,0.380970
5,router_0_0,router_2_2,1.7000,0.680081
6,router_0_0,router_2_2,1.7000,0.405294
7,router_0_0,router_2_2,1.7000,0.692280
8,router_2_2,router_3_2,0.2000,0.672206
9,router_0_0,router_3_2,2.9000,0.662500
10,router_2_2,router_3_2,0.4000,0.949813
11,router_0_0,router_3_2,5.3001,0.395091
12,router_0_0,router_2_2,1.1000,0.684713
13,router_0_0,router_2_2,1.1000,0.357821
14,router_0_0,router_3_2,2.9000,0.621175
15,router_0_0,router_3_2,2.3000,0.315139
16,router_0_0,router_3_2,2.3000,0.482094
17,router_0_0,router_3_2,2.5000,0.384372
18,router_0_0,router_3_2,2.9000,0.503499
19,router_0_0,router_3_2,3.3001,0.404309
20,router_0_0,router_3_2,2.9000,0.628976
21,router_0_0,router_3_2,2.3000,0.424925
22,router_0_0,router_3_2,2.3000,0.514870
23,router_0_0,router_3_2,2.3000,0.465294
24,router_0_0,router_3_2,2.3000,0.596590
25,router_0_0,router_3_2,2.3000,0.571750
26,router_0_0,router_3_2,3.7001,0.594470
27,router_0_0,router_3_2,2.3000,0.639100
28,router_0_0,router_3_2,2.9000,0.610734
29,router_0_0,router_3_2,2.5000,0.345571
30,router_1_0,router_3_2,4.5001,0.723348
31,router_1_0,router_3_2,1.7000,0.469278
32,router_1_0,router_3_2,2.1000,0.701937
33,router_1_0,router_3_2,4.9001,0.684051
34,router_1_0,router_3_2,1.3000,0.428110
35,router_1_0,router_3_2,3.3001,0.745405
36,router_1_0,router_3_2,1.7000,0.598095
37,router_1_0,router_3_2,3.3001,0.719128
38,router_1_0,router_3_2,1.3000,0.750397
39,router_1_0,router_3_2,1.3000,0.415621
40,router_1_0,router_3_2,2.9001,0.702540
