Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.3000,0.759526
3,router_3_3,router_2_3,0.3000,0.919918
4,router_3_3,router_2_3,0.3000,0.905904
5,router_3_3,router_2_3,0.3000,0.809706
7,router_3_3,router_2_3,0.3000,0.914707
8,router_3_3,router_2_3,0.3000,0.905030
8,router_3_3,router_2_3,0.3000,0.897723
9,router_3_3,router_2_3,0.3000,0.906779
10,router_3_3,router_2_3,0.3000,0.759526
11,router_3_3,router_2_3,0.3000,0.920139
12,router_3_3,router_2_3,0.3000,0.760886
13,router_3_3,router_2_3,0.3000,0.905030
13,router_3_3,router_2_3,0.3000,0.913822
15,router_3_3,router_2_3,0.3000,0.946157
16,router_3_3,router_2_3,0.3000,0.905554
16,router_3_3,router_2_3,0.3000,0.758711
18,router_3_3,router_2_3,0.3000,0.915062
19,router_3_3,router_2_3,0.3000,0.915772
20,router_3_3,router_2_3,0.5000,0.949813
20,router_3_3,router_2_3,0.3000,0.871362
21,router_3_3,router_2_3,0.3000,0.920047
22,router_3_3,router_2_3,0.3000,0.913822
24,router_3_3,router_2_3,0.3000,0.913822
25,router_3_3,router_2_3,0.3000,0.912687
26,router_3_3,router_2_3,0.3000,0.779633
27,router_3_3,router_2_3,0.3000,0.914353
28,router_3_3,router_2_3,0.3000,0.913645
29,router_3_3,router_2_3,0.3000,0.947980
30,router_3_3,router_2_3,0.3000,0.906253
31,router_3_3,router_2_3,0.3000,0.917906
32,router_3_3,router_2_3,0.3000,0.758711
33,router_3_3,router_2_3,0.3000,0.914353
34,router_3_3,router_2_3,0.3000,0.917194
35,router_3_3,router_2_3,0.3000,0.936903
36,router_3_3,router_2_3,0.3000,0.904855
37,router_3_3,router_2_3,0.3000,0.758711
38,router_3_3,router_2_3,0.3000,0.915062
39,router_3_3,router_2_3,0.3000,0.926118
40,router_3_3,router_2_3,0.3000,0.917194
41,router_3_3,router_2_3,0.3000,0.914353
42,router_3_3,router_2_3,0.3000,0.904855
43,router_3_3,router_2_3,0.5000,0.949813
44,router_3_3,router_2_3,0.3000,0.913980
45,router_3_3,router_2_3,0.3000,0.915594
46,router_3_3,router_2_3,0.3000,0.915594
47,router_3_3,router_2_3,0.3000,0.916482
48,router_3_3,router_2_3,0.3000,0.914707
49,router_3_3,router_2_3,0.3000,0.905030
50,router_3_3,router_2_3,0.3000,0.868057
51,router_3_3,router_2_3,0.3000,0.915594
52,router_3_3,router_2_3,0.3000,0.913822
53,router_3_3,router_2_3,0.3000,0.913822
54,router_3_3,router_2_3,0.3000,0.915594
55,router_3_3,router_2_3,0.3000,0.915594
56,router_3_3,router_2_3,0.3000,0.908532
57,router_3_3,router_2_3,0.3000,0.797333
58,router_3_3,router_2_3,0.3000,0.918262
59,router_3_3,router_2_3,0.3000,0.913822
60,router_3_3,router_2_3,0.3000,0.919154
61,router_3_3,router_2_3,0.3000,0.915594
62,router_3_3,router_2_3,0.3000,0.918262
63,router_3_3,router_2_3,0.3000,0.948400
64,router_3_3,router_2_3,0.3000,0.905030
65,router_3_3,router_2_3,0.3000,0.759526
66,router_3_3,router_2_3,0.3000,0.915594
67,router_3_3,router_2_3,0.3000,0.948190
68,router_3_3,router_2_3,0.3000,0.920941
69,router_3_3,router_2_3,0.3000,0.913822
70,router_3_3,router_2_3,0.3000,0.913822
71,router_3_3,router_2_3,0.3000,0.915594
72,router_3_3,router_2_3,0.3000,0.905904
73,router_3_3,router_2_3,0.3000,0.902069
