Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.5000,0.949813
3,router_3_3,router_2_3,0.3000,0.956024
4,router_3_3,router_2_3,0.3000,0.957179
5,router_3_3,router_2_3,0.3000,0.957184
6,router_3_3,router_2_3,0.3000,0.785253
7,router_3_3,router_2_3,0.3000,0.917372
8,router_3_3,router_2_3,0.8000,0.954287
9,router_3_3,router_2_3,0.3000,0.916482
10,router_3_3,router_2_3,0.3000,0.814786
11,router_3_3,router_2_3,0.3000,0.918262
12,router_3_3,router_2_3,0.3000,0.915062
13,router_3_3,router_2_3,0.3000,0.915772
14,router_3_3,router_2_3,0.3000,0.915062
15,router_3_3,router_2_3,0.3000,0.913645
16,router_3_3,router_2_3,0.3000,0.955767
17,router_3_3,router_2_3,0.8000,0.956341
18,router_3_3,router_2_3,0.3000,0.954004
19,router_3_3,router_2_3,0.3000,0.957029
20,router_3_3,router_2_3,0.3000,0.955078
21,router_3_3,router_2_3,0.8000,0.957186
22,router_3_3,router_2_3,0.3000,0.952480
23,router_3_3,router_2_3,0.3000,0.955892
24,router_3_3,router_2_3,0.3000,0.956779
25,router_3_3,router_2_3,0.3000,0.953872
26,router_3_3,router_2_3,0.3000,0.957204
27,router_3_3,router_2_3,0.3000,0.955821
28,router_3_3,router_2_3,0.3000,0.957890
29,router_3_3,router_2_3,0.8000,0.957134
30,router_3_3,router_2_3,0.3000,0.954712
31,router_3_3,router_2_3,0.3000,0.955477
32,router_3_3,router_2_3,0.3000,0.957464
33,router_3_3,router_2_3,0.3000,0.953824
34,router_3_3,router_2_3,0.3000,0.957156
35,router_3_3,router_2_3,0.3000,0.956540
36,router_3_3,router_2_3,0.3000,0.955619
37,router_3_3,router_2_3,0.5000,0.949813
38,router_3_3,router_2_3,0.3000,0.956911
39,router_3_3,router_2_3,0.3000,0.948291
40,router_3_3,router_2_3,0.3000,0.949137
41,router_3_3,router_2_3,0.5000,0.949813
42,router_3_3,router_2_3,0.3000,0.956000
43,router_3_3,router_1_3,0.6000,0.728579
44,router_3_3,router_2_3,0.3000,0.759254
45,router_3_3,router_2_3,0.3000,0.913114
46,router_3_3,router_2_3,0.3000,0.954837
47,router_3_3,router_2_3,0.5000,0.949813
48,router_3_3,router_2_3,0.8000,0.956386
49,router_3_3,router_2_3,0.3000,0.955282
50,router_3_3,router_1_3,0.6000,0.860925
51,router_3_3,router_1_3,0.6000,0.851707
52,router_3_3,router_2_3,0.3000,0.957572
53,router_3_3,router_2_3,0.3000,0.955748
54,router_3_3,router_2_3,0.3000,0.955463
55,router_3_3,router_2_3,0.3000,0.919781
56,router_3_3,router_2_3,0.3000,0.913822
57,router_3_3,router_1_3,0.6000,0.520780
58,router_3_3,router_1_3,0.6000,0.818658
59,router_3_3,router_1_3,0.8000,0.849189
60,router_3_3,router_2_3,0.3000,0.957689
61,router_3_3,router_2_3,0.3000,0.956548
62,router_3_3,router_2_3,1.0000,0.949813
63,router_3_3,router_2_3,2.0000,0.949813
64,router_3_3,router_1_3,4.3001,0.876828
65,router_3_3,router_1_3,1.3000,0.879036
66,router_3_3,router_1_3,1.8000,0.879843
67,router_3_3,router_1_3,0.6000,0.756118
68,router_3_3,router_2_3,0.3000,0.957891
70,router_3_3,router_2_3,0.5000,0.949813
70,router_3_3,router_2_3,0.3000,0.957186
71,router_3_3,router_1_3,0.6000,0.692067
72,router_3_3,router_1_3,0.6000,0.678972
73,router_3_3,router_1_3,0.6000,0.815331
74,router_3_3,router_1_3,0.6000,0.830411
75,router_3_3,router_1_3,1.1000,0.852239
76,router_3_3,router_2_3,0.3000,0.957166
77,router_3_3,router_2_3,0.3000,0.945674
