Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
1,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,1.0000,0.949813
2,router_3_3,router_2_3,1.0000,0.949813
4,router_3_3,router_2_3,0.3000,0.808199
5,router_3_3,router_2_3,1.0000,0.949813
7,router_3_3,router_2_3,0.3000,0.913822
8,router_3_3,router_2_3,0.3000,0.907655
8,router_3_3,router_2_3,0.3000,0.894802
9,router_3_3,router_2_3,0.3000,0.905904
9,router_3_3,router_2_3,0.3000,0.758847
10,router_3_3,router_2_3,0.3000,0.919205
13,router_3_3,router_2_3,0.3000,0.759526
14,router_3_3,router_2_3,0.3000,0.906779
14,router_3_3,router_2_3,0.3000,0.918262
15,router_3_3,router_2_3,0.3000,0.944492
16,router_3_3,router_2_3,0.3000,0.907655
16,router_3_3,router_2_3,0.3000,0.758847
18,router_3_3,router_2_3,0.3000,0.917372
19,router_3_3,router_2_3,0.3000,0.916482
20,router_3_3,router_2_3,1.0000,0.949813
21,router_3_3,router_2_3,0.3000,0.955988
22,router_3_3,router_2_3,0.3000,0.957052
23,router_3_3,router_2_3,0.3000,0.949068
24,router_3_3,router_2_3,0.3000,0.957915
25,router_3_3,router_2_3,0.3000,0.949512
26,router_3_3,router_2_3,0.3000,0.954374
27,router_3_3,router_2_3,0.3000,0.953600
28,router_3_3,router_2_3,0.3000,0.952079
29,router_3_3,router_2_3,0.3000,0.954407
30,router_3_3,router_2_3,0.3000,0.949864
31,router_3_3,router_2_3,0.3000,0.955326
32,router_3_3,router_2_3,0.3000,0.956901
33,router_3_3,router_2_3,0.3000,0.957212
34,router_3_3,router_2_3,0.3000,0.957390
35,router_3_3,router_2_3,0.3000,0.957736
36,router_3_3,router_2_3,0.3000,0.957111
37,router_3_3,router_2_3,0.5000,0.949813
38,router_3_3,router_2_3,0.3000,0.953893
39,router_3_3,router_2_3,0.3000,0.931447
40,router_3_3,router_2_3,0.3000,0.913822
41,router_3_3,router_2_3,0.3000,0.914707
42,router_3_3,router_2_3,0.3000,0.907655
43,router_3_3,router_2_3,0.3000,0.948806
44,router_3_3,router_2_3,0.3000,0.914353
45,router_3_3,router_2_3,0.3000,0.913645
46,router_3_3,router_2_3,0.3000,0.914353
47,router_3_3,router_2_3,0.3000,0.914353
48,router_3_3,router_2_3,0.3000,0.914353
49,router_3_3,router_2_3,0.3000,0.904855
50,router_3_3,router_2_3,0.8000,0.956421
51,router_3_3,router_2_3,0.3000,0.957298
52,router_3_3,router_2_3,0.3000,0.956717
53,router_3_3,router_2_3,0.3000,0.955933
54,router_3_3,router_2_3,0.3000,0.957377
55,router_3_3,router_2_3,0.3000,0.955015
56,router_3_3,router_2_3,0.3000,0.957990
57,router_3_3,router_2_3,0.3000,0.957294
58,router_3_3,router_2_3,0.3000,0.957057
59,router_3_3,router_2_3,0.3000,0.955591
60,router_3_3,router_2_3,0.3000,0.955264
61,router_3_3,router_2_3,0.3000,0.958255
62,router_3_3,router_2_3,0.3000,0.936860
63,router_3_3,router_2_3,0.3000,0.957665
64,router_3_3,router_2_3,0.3000,0.953536
65,router_3_3,router_2_3,0.3000,0.957927
66,router_3_3,router_2_3,0.3000,0.954442
67,router_3_3,router_2_3,0.3000,0.948844
68,router_3_3,router_2_3,0.3000,0.956841
69,router_3_3,router_2_3,0.3000,0.956737
70,router_3_3,router_2_3,0.8000,0.955179
71,router_3_3,router_2_3,0.3000,0.955561
72,router_3_3,router_2_3,0.3000,0.957301
73,router_3_3,router_2_3,0.5000,0.949813
