Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.5000,0.949813
2,router_3_3,router_2_3,0.5000,0.949813
3,router_3_3,router_2_3,0.3000,0.956024
4,router_3_3,router_2_3,0.3000,0.957179
5,router_3_3,router_2_3,0.3000,0.957184
6,router_3_3,router_2_3,0.8000,0.954287
7,router_3_3,router_2_3,0.3000,0.786403
8,router_3_3,router_2_3,0.3000,0.917372
9,router_3_3,router_2_3,0.3000,0.916482
10,router_3_3,router_2_3,0.3000,0.823396
11,router_3_3,router_2_3,0.3000,0.918262
12,router_3_3,router_2_3,0.3000,0.915062
13,router_3_3,router_2_3,0.3000,0.915772
14,router_3_3,router_2_3,0.3000,0.915062
15,router_3_3,router_2_3,0.3000,0.913645
16,router_3_3,router_2_3,0.3000,0.810435
17,router_3_3,router_2_3,0.3000,0.913822
18,router_3_3,router_2_3,0.3000,0.914707
19,router_3_3,router_2_3,0.3000,0.915594
20,router_3_3,router_2_3,0.3000,0.918262
21,router_3_3,router_2_3,0.3000,0.917372
22,router_3_3,router_2_3,0.3000,0.954978
23,router_3_3,router_2_3,0.3000,0.949171
24,router_3_3,router_2_3,0.5000,0.949813
25,router_3_3,router_2_3,0.3000,0.954809
26,router_3_3,router_2_3,0.3000,0.957689
27,router_3_3,router_2_3,2.5001,0.949813
29,router_3_3,router_2_3,1.0000,0.949813
29,router_3_3,router_2_3,0.3000,0.914353
30,router_3_3,router_2_3,0.3000,0.914353
31,router_3_3,router_2_3,0.3000,0.913645
32,router_3_3,router_2_3,0.3000,0.784390
33,router_3_3,router_2_3,0.3000,0.915772
34,router_3_3,router_2_3,0.3000,0.913645
35,router_3_3,router_2_3,0.3000,0.933002
36,router_3_3,router_2_3,0.3000,0.915062
37,router_3_3,router_2_3,0.3000,0.930026
38,router_3_3,router_2_3,0.3000,0.915062
39,router_3_3,router_2_3,0.3000,0.913645
40,router_3_3,router_2_3,0.3000,0.920047
41,router_3_3,router_2_3,0.3000,0.914353
42,router_3_3,router_2_3,0.3000,0.916482
43,router_3_3,router_1_3,0.8000,0.796253
44,router_3_3,router_2_3,0.3000,0.912937
44,router_3_3,router_2_3,0.3000,0.758847
45,router_3_3,router_2_3,0.3000,0.924141
47,router_3_3,router_2_3,0.3000,0.913645
48,router_3_3,router_2_3,0.3000,0.914353
49,router_3_3,router_2_3,0.3000,0.913645
50,router_3_3,router_1_3,1.8000,0.854738
51,router_3_3,router_1_3,2.8001,0.840761
52,router_3_3,router_2_3,0.3000,0.909235
53,router_3_3,router_2_3,0.3000,0.759254
54,router_3_3,router_2_3,0.8000,0.949529
55,router_3_3,router_2_3,0.3000,0.917372
56,router_3_3,router_2_3,0.3000,0.916482
57,router_3_3,router_1_3,0.6000,0.517318
58,router_3_3,router_1_3,0.6000,0.874729
59,router_3_3,router_1_3,0.6000,0.690246
60,router_3_3,router_2_3,0.3000,0.953165
61,router_3_3,router_2_3,0.3000,0.898559
62,router_3_3,router_2_3,0.3000,0.957442
63,router_3_3,router_2_3,0.3000,0.913822
64,router_3_3,router_1_3,3.3001,0.875955
65,router_3_3,router_1_3,1.3000,0.878464
66,router_3_3,router_1_3,0.8000,0.884115
67,router_3_3,router_1_3,1.8000,0.884262
68,router_3_3,router_2_3,0.3000,0.760886
69,router_3_3,router_2_3,0.3000,0.956918
70,router_3_3,router_2_3,0.3000,0.916482
71,router_3_3,router_1_3,1.8000,0.876790
72,router_3_3,router_1_3,1.3000,0.879946
73,router_3_3,router_1_3,0.8000,0.878464
74,router_3_3,router_1_3,0.6000,0.829303
75,router_3_3,router_1_3,0.6000,0.547698
76,router_3_3,router_2_3,0.3000,0.913291
76,router_3_3,router_2_3,0.3000,0.791015
