Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_3_1,2.1000,0.754554
1,router_0_0,router_0_2,2.7001,0.875121
2,router_0_0,router_0_2,1.1000,0.877794
3,router_0_0,router_0_2,0.7000,0.878464
4,router_0_0,router_0_2,1.5000,0.877794
5,router_0_0,router_0_2,1.1000,0.877794
6,router_0_0,router_0_2,0.7000,0.878464
7,router_0_0,router_0_2,1.1000,0.877794
8,router_1_0,router_0_2,2.4000,0.811761
9,router_1_0,router_1_2,1.9000,0.877125
10,router_1_0,router_1_2,1.5000,0.877794
11,router_1_0,router_1_2,3.1001,0.876456
12,router_1_0,router_1_2,3.9001,0.873789
13,router_1_0,router_1_2,1.1000,0.878464
14,router_1_0,router_1_2,1.5000,0.877794
15,router_1_0,router_1_2,1.5000,0.877125
16,router_2_0,router_1_2,1.8000,0.813111
17,router_2_0,router_2_2,1.1000,0.878464
18,router_2_0,router_2_2,1.5000,0.878464
19,router_2_0,router_2_2,3.1001,0.875788
20,router_2_0,router_2_2,1.5000,0.877794
21,router_2_0,router_2_2,2.7001,0.878464
22,router_2_0,router_2_2,3.1001,0.874455
23,router_2_0,router_2_2,1.9001,0.876456
24,router_3_0,router_2_2,5.9001,0.801372
25,router_3_0,router_3_2,1.9000,0.876456
26,router_3_0,router_3_2,1.9001,0.877794
27,router_3_0,router_3_2,1.1000,0.877794
28,router_3_0,router_3_2,1.5000,0.877125
29,router_3_0,router_3_2,1.5000,0.877125
30,router_3_0,router_3_2,1.1000,0.878464
31,router_3_0,router_3_2,0.7000,0.878464
32,router_0_1,router_3_2,3.3001,0.752406
33,router_0_1,router_0_3,3.1001,0.875788
34,router_0_1,router_0_3,3.1001,0.875121
35,router_0_1,router_0_3,2.3001,0.876456
36,router_0_1,router_0_3,0.7000,0.878464
37,router_0_1,router_0_3,3.1001,0.874455
38,router_0_1,router_0_3,1.1000,0.877794
39,router_0_1,router_0_3,1.5000,0.877125
40,router_1_1,router_0_3,2.1000,0.811013
41,router_1_1,router_1_3,1.5000,0.877794
42,router_1_1,router_1_3,3.9001,0.874455
43,router_1_1,router_1_3,1.9001,0.877794
44,router_1_1,router_1_3,1.1000,0.877794
45,router_1_1,router_1_3,0.7000,0.878464
46,router_1_1,router_1_3,1.1000,0.877794
47,router_1_1,router_1_3,0.7000,0.878464
48,router_2_1,router_1_3,2.5001,0.810564
49,router_2_1,router_2_3,1.5000,0.877125
50,router_2_1,router_2_3,1.1000,0.877794
51,router_2_1,router_2_3,1.1000,0.877794
52,router_2_1,router_2_3,1.1000,0.877794
53,router_2_1,router_2_3,1.5000,0.877794
54,router_2_1,router_2_3,0.7000,0.878464
55,router_2_1,router_2_3,1.1000,0.878464
56,router_3_1,router_2_3,2.5001,0.809817
57,router_3_1,router_3_3,2.3001,0.875788
58,router_3_1,router_3_3,1.1000,0.877794
59,router_3_1,router_3_3,2.3001,0.877794
60,router_3_1,router_3_3,1.1000,0.877794
61,router_3_1,router_3_3,2.3001,0.877125
62,router_3_1,router_3_3,2.3001,0.875788
63,router_0_0,router_3_3,3.7001,0.652705
64,router_3_1,router_0_0,2.9001,0.752808
65,router_3_3,router_0_0,3.0000,0.655183
66,router_3_1,router_0_0,1.9000,0.756172
67,router_3_3,router_0_0,3.1000,0.655507
68,router_3_3,router_3_1,1.3000,0.877627
69,router_3_3,router_3_1,0.8000,0.878464
70,router_0_2,router_0_0,1.3000,0.877627
71,router_0_2,router_0_0,4.3001,0.872625
72,router_0_0,router_0_2,3.9001,0.875788
73,router_0_0,router_0_2,1.5000,0.877794
74,router_0_2,router_0_0,2.3001,0.875955
75,router_0_2,router_0_0,1.3000,0.878464
76,router_0_0,router_0_2,1.9001,0.876456
77,router_0_0,router_0_2,1.1000,0.877794
78,router_0_2,router_0_0,1.3000,0.877627
79,router_0_2,router_0_0,3.8001,0.875955
80,router_0_0,router_0_2,3.1001,0.874455
81,router_0_0,router_0_2,1.1000,0.877794
82,router_0_2,router_0_0,1.8000,0.877627
83,router_0_2,router_0_0,1.8000,0.876790
84,router_0_0,router_0_2,1.5000,0.877794
85,router_0_0,router_0_2,0.7000,0.878464
86,router_0_2,router_0_0,0.8000,0.878464
87,router_0_2,router_0_0,1.8000,0.876790
88,router_0_0,router_0_2,0.7000,0.878464
89,router_0_0,router_0_2,1.5000,0.877794
90,router_0_2,router_0_0,1.3000,0.878464
91,router_0_2,router_0_0,3.3001,0.874288
92,router_0_0,router_0_2,1.5000,0.878464
93,router_0_0,router_0_2,2.7001,0.875788
94,router_0_2,router_0_0,2.3001,0.876790
95,router_0_2,router_0_0,1.8000,0.877627
96,router_0_0,router_0_2,2.7001,0.875121
97,router_1_0,router_0_0,2.0000,0.949813
98,router_0_0,router_0_2,1.9001,0.876456
99,router_0_2,router_1_0,2.4000,0.810938
100,router_0_0,router_1_0,0.4000,0.949813
101,router_0_2,router_1_0,1.9000,0.811686
102,router_0_0,router_1_0,2.0001,0.949813
103,router_0_0,router_0_2,1.1000,0.877794
104,router_0_0,router_0_2,1.1000,0.877794
105,router_1_2,router_1_0,1.8000,0.877627
106,router_1_2,router_1_0,1.8000,0.877627
107,router_1_0,router_1_2,1.1000,0.877794
108,router_1_0,router_1_2,0.7000,0.878464
109,router_1_2,router_1_0,2.3001,0.875955
110,router_1_2,router_1_0,1.3000,0.877627
111,router_1_0,router_1_2,1.1000,0.878464
112,router_1_0,router_1_2,1.1000,0.878464
113,router_1_2,router_1_0,3.3001,0.874288
114,router_1_2,router_1_0,2.3001,0.876790
115,router_1_0,router_1_2,3.9001,0.873124
116,router_1_0,router_1_2,1.5000,0.877125
117,router_1_2,router_1_0,3.3001,0.877627
118,router_1_2,router_1_0,1.8000,0.876790
119,router_1_0,router_1_2,0.7000,0.878464
120,router_1_0,router_1_2,0.7000,0.878464
121,router_1_2,router_1_0,1.8000,0.877627
122,router_1_2,router_1_0,1.8000,0.876790
123,router_1_0,router_1_2,0.7000,0.878464
124,router_1_0,router_1_2,1.5000,0.877125
125,router_1_2,router_1_0,3.3001,0.874288
126,router_1_2,router_1_0,2.3001,0.876790
127,router_1_0,router_1_2,1.1000,0.877794
128,router_1_0,router_1_2,2.3001,0.876456
129,router_1_2,router_1_0,0.8000,0.878464
130,router_1_2,router_1_0,0.8000,0.878464
131,router_1_0,router_1_2,1.1000,0.877794
132,router_2_0,router_1_0,0.5000,0.949813
133,router_1_0,router_1_2,2.7001,0.875121
134,router_1_2,router_2_0,1.4000,0.813186
135,router_1_0,router_2_0,0.4000,0.949813
136,router_1_2,router_2_0,1.4000,0.813787
137,router_1_0,router_2_0,0.4000,0.949813
138,router_1_0,router_1_2,1.1000,0.877794
139,router_1_0,router_1_2,1.1000,0.877794
140,router_2_2,router_2_0,1.8000,0.876790
141,router_2_2,router_2_0,2.3001,0.875955
142,router_2_0,router_2_2,1.5000,0.877125
143,router_2_0,router_2_2,1.5000,0.877125
144,router_2_2,router_2_0,1.8000,0.877627
145,router_2_2,router_2_0,1.8000,0.876790
146,router_2_0,router_2_2,0.7000,0.878464
147,router_2_0,router_2_2,1.5000,0.877794
148,router_2_2,router_2_0,1.8000,0.877627
149,router_2_2,router_2_0,1.3000,0.877627
150,router_2_0,router_2_2,1.1000,0.877794
151,router_2_0,router_2_2,0.7000,0.878464
152,router_2_2,router_2_0,0.8000,0.878464
153,router_2_2,router_2_0,1.8000,0.876790
154,router_2_0,router_2_2,1.5000,0.877794
155,router_2_0,router_2_2,1.5000,0.877125
156,router_2_2,router_2_0,2.8001,0.875121
157,router_2_2,router_2_0,1.8000,0.876790
158,router_2_0,router_2_2,0.7000,0.878464
159,router_2_0,router_2_2,1.5000,0.877125
160,router_2_2,router_2_0,4.3001,0.873456
161,router_2_2,router_2_0,1.3000,0.878464
162,router_2_0,router_2_2,1.9001,0.876456
163,router_2_0,router_2_2,1.5000,0.877125
164,router_2_2,router_2_0,2.3001,0.875955
165,router_2_2,router_2_0,2.3001,0.875955
166,router_2_0,router_2_2,4.7001,0.873789
167,router_3_0,router_2_0,2.0000,0.949813
168,router_2_0,router_2_2,1.1000,0.877794
169,router_2_2,router_3_0,2.4000,0.811537
170,router_2_0,router_3_0,0.8000,0.949813
171,router_2_2,router_3_0,2.4000,0.812736
172,router_2_0,router_3_0,0.4000,0.949813
173,router_2_0,router_2_2,0.7000,0.878464
174,router_2_0,router_2_2,2.3001,0.875788
175,router_3_2,router_3_0,2.3001,0.875955
176,router_3_2,router_3_0,2.3001,0.876790
177,router_3_0,router_3_2,1.5000,0.877125
178,router_3_0,router_3_2,1.5000,0.877794
179,router_3_2,router_3_0,1.3000,0.878464
180,router_3_2,router_3_0,2.3001,0.875955
181,router_3_0,router_3_2,2.3001,0.877794
182,router_3_0,router_3_2,2.7001,0.875788
183,router_3_2,router_3_0,1.3000,0.878464
184,router_3_2,router_3_0,1.3000,0.878464
185,router_3_0,router_3_2,1.5000,0.877125
186,router_3_0,router_3_2,0.7000,0.878464
187,router_3_2,router_3_0,1.3000,0.877627
188,router_3_2,router_3_0,3.3001,0.875121
189,router_3_0,router_3_2,1.1000,0.877794
190,router_3_0,router_3_2,2.3001,0.875788
191,router_3_2,router_3_0,2.3001,0.877627
192,router_3_2,router_3_0,1.8000,0.877627
193,router_3_0,router_3_2,1.1000,0.878464
194,router_3_0,router_3_2,1.1000,0.877794
195,router_3_2,router_3_0,2.3001,0.877627
196,router_3_2,router_3_0,1.8000,0.876790
197,router_3_0,router_3_2,1.5000,0.877794
198,router_3_0,router_3_2,1.9001,0.878464
199,router_3_2,router_3_0,1.8000,0.876790
200,router_3_2,router_3_0,1.8000,0.877627
201,router_3_0,router_3_2,0.7000,0.878464
202,router_0_1,router_3_0,2.1000,0.754823
203,router_3_0,router_3_2,1.9001,0.876456
204,router_3_2,router_0_1,4.4001,0.748137
205,router_3_0,router_0_1,2.4000,0.753479
206,router_3_2,router_0_1,3.4001,0.752808
207,router_3_0,router_0_1,2.1000,0.754958
208,router_3_0,router_3_2,1.9000,0.877794
209,router_3_0,router_3_2,0.7000,0.878464
210,router_0_3,router_0_1,1.8000,0.876790
211,router_0_3,router_0_1,1.8000,0.876790
212,router_0_1,router_0_3,1.1000,0.877794
213,router_0_1,router_0_3,1.9001,0.877794
214,router_0_3,router_0_1,1.3000,0.877627
215,router_0_3,router_0_1,3.8001,0.873456
216,router_0_1,router_0_3,0.7000,0.878464
217,router_0_1,router_0_3,2.7001,0.875121
218,router_0_3,router_0_1,1.8000,0.876790
219,router_0_3,router_0_1,6.3002,0.870140
220,router_0_1,router_0_3,1.5000,0.877125
221,router_0_1,router_0_3,1.9001,0.876456
222,router_0_3,router_0_1,3.3001,0.878464
223,router_0_3,router_0_1,1.8000,0.876790
224,router_0_1,router_0_3,3.9001,0.873124
225,router_0_1,router_0_3,1.1000,0.878464
226,router_0_3,router_0_1,1.8000,0.877627
227,router_0_3,router_0_1,0.8000,0.878464
228,router_0_1,router_0_3,0.7000,0.878464
229,router_0_1,router_0_3,0.7000,0.878464
230,router_0_3,router_0_1,2.3001,0.876790
231,router_0_3,router_0_1,1.3000,0.877627
232,router_0_1,router_0_3,1.1000,0.877794
233,router_0_1,router_0_3,1.5000,0.877125
234,router_0_3,router_0_1,3.3001,0.874288
235,router_0_3,router_0_1,1.8000,0.877627
236,router_0_1,router_0_3,3.9001,0.875788
237,router_1_1,router_0_1,1.0000,0.949813
238,router_0_1,router_0_3,1.5000,0.877125
239,router_0_3,router_1_1,1.9000,0.812286
240,router_0_1,router_1_1,0.8000,0.949813
241,router_0_3,router_1_1,1.4000,0.813186
242,router_0_1,router_1_1,0.4000,0.949813
243,router_0_1,router_0_3,1.1000,0.877794
244,router_0_1,router_0_3,2.7001,0.876456
245,router_1_3,router_1_1,2.3001,0.877627
246,router_1_3,router_1_1,1.3000,0.877627
247,router_1_1,router_1_3,1.5000,0.877125
248,router_1_1,router_1_3,1.9001,0.876456
249,router_1_3,router_1_1,1.3000,0.877627
250,router_1_3,router_1_1,1.3000,0.877627
251,router_1_1,router_1_3,0.7000,0.878464
252,router_1_1,router_1_3,2.3001,0.876456
253,router_1_3,router_1_1,2.3001,0.875955
