Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.3000,0.849124
1,router_7_3,router_6_3,1.0000,0.949813
2,router_7_3,router_6_3,0.3000,0.917372
3,router_7_3,router_6_3,0.3000,0.758847
4,router_7_3,router_6_3,0.3000,0.913822
5,router_7_3,router_6_3,0.3000,0.913435
6,router_7_3,router_6_3,0.3000,0.917372
7,router_7_3,router_6_3,0.3000,0.788017
8,router_7_3,router_6_3,0.3000,0.913822
9,router_7_3,router_6_3,0.3000,0.916482
10,router_7_3,router_6_3,0.3000,0.914707
10,router_7_3,router_6_3,0.3000,0.813432
12,router_7_3,router_6_3,0.3000,0.914353
13,router_7_3,router_6_3,0.3000,0.913645
14,router_7_3,router_6_3,0.3000,0.914353
15,router_7_3,router_6_3,0.3000,0.915772
16,router_7_3,router_6_3,0.5000,0.949813
17,router_7_3,router_6_3,0.5000,0.949813
18,router_7_3,router_6_3,0.5000,0.949813
19,router_7_3,router_6_3,0.5000,0.949813
20,router_7_3,router_6_3,0.5000,0.949813
21,router_7_3,router_6_3,1.5000,0.949813
22,router_7_3,router_6_3,1.5000,0.949813
23,router_7_3,router_6_3,0.5000,0.949813
24,router_7_3,router_6_3,0.5000,0.949813
25,router_7_3,router_6_3,0.5000,0.949813
26,router_7_3,router_6_3,3.5001,0.949813
27,router_7_3,router_6_3,0.3000,0.938210
28,router_7_3,router_6_3,0.3000,0.916482
29,router_7_3,router_6_3,0.3000,0.913645
30,router_7_3,router_6_3,0.3000,0.914353
31,router_7_3,router_6_3,0.3000,0.925789
32,router_7_3,router_6_3,0.3000,0.758847
33,router_7_3,router_6_3,0.3000,0.914707
34,router_7_3,router_6_3,0.3000,0.913822
35,router_7_3,router_6_3,0.3000,0.926132
36,router_7_3,router_6_3,0.3000,0.913645
37,router_7_3,router_6_3,0.3000,0.925227
38,router_7_3,router_6_3,0.3000,0.915594
39,router_7_3,router_6_3,0.3000,0.914707
40,router_7_3,router_6_3,0.3000,0.913822
41,router_7_3,router_6_3,0.3000,0.915594
42,router_7_3,router_6_3,0.3000,0.913822
43,router_7_3,router_5_3,1.3000,0.790737
44,router_7_3,router_6_3,0.3000,0.914707
45,router_7_3,router_6_3,0.3000,0.760206
46,router_7_3,router_6_3,0.3000,0.919087
47,router_7_3,router_6_3,0.3000,0.915062
48,router_7_3,router_6_3,0.3000,0.914353
49,router_7_3,router_6_3,0.3000,0.915772
50,router_7_3,router_5_3,1.3000,0.846507
51,router_7_3,router_5_3,0.8000,0.845348
52,router_7_3,router_6_3,0.3000,0.912760
