Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_7_1,2.9000,0.286176
1,router_0_0,router_0_2,0.5000,0.637874
2,router_0_0,router_0_2,0.7000,0.881258
3,router_0_0,router_0_2,1.5000,0.877125
4,router_0_0,router_0_2,1.1000,0.845007
5,router_0_0,router_0_2,0.5000,0.651060
6,router_0_0,router_0_2,0.5000,0.815784
7,router_0_0,router_0_2,0.9000,0.814239
8,router_1_0,router_0_2,1.2000,0.673946
9,router_1_0,router_1_2,0.5000,0.744407
10,router_1_0,router_1_2,0.5000,0.817446
11,router_1_0,router_1_2,0.5000,0.737374
12,router_1_0,router_1_2,0.5000,0.816388
13,router_1_0,router_1_2,1.1000,0.884115
14,router_1_0,router_1_2,1.1000,0.883159
15,router_1_0,router_1_2,1.9001,0.878867
16,router_2_0,router_1_2,2.1000,0.586346
17,router_2_0,router_2_2,0.5000,0.858094
18,router_2_0,router_2_2,0.5000,0.855506
19,router_2_0,router_2_2,0.5000,0.683931
20,router_2_0,router_2_2,0.5000,0.854054
21,router_2_0,router_2_2,1.1000,0.879174
22,router_2_0,router_2_2,1.5000,0.681965
23,router_2_0,router_2_2,1.5000,0.877794
24,router_3_0,router_2_2,1.5000,0.813007
25,router_3_0,router_3_2,1.5000,0.842307
26,router_3_0,router_3_2,0.7000,0.878464
27,router_3_0,router_3_2,1.5000,0.877794
28,router_3_0,router_3_2,0.5000,0.860761
29,router_3_0,router_3_2,0.5000,0.548971
30,router_3_0,router_3_2,0.5000,0.818203
31,router_3_0,router_3_2,0.5000,0.605127
32,router_4_0,router_3_2,1.2000,0.615284
33,router_4_0,router_4_2,1.9001,0.669098
34,router_4_0,router_4_2,0.7000,0.878464
35,router_4_0,router_4_2,0.5000,0.594376
36,router_4_0,router_4_2,0.5000,0.816690
37,router_4_0,router_4_2,1.1000,0.882768
38,router_4_0,router_4_2,0.7000,0.846937
39,router_4_0,router_4_2,1.9001,0.876456
40,router_5_0,router_4_2,2.4000,0.728988
41,router_5_0,router_5_2,0.5000,0.662131
42,router_5_0,router_5_2,0.5000,0.820785
43,router_5_0,router_5_2,1.5000,0.877125
44,router_5_0,router_5_2,0.7000,0.845995
45,router_5_0,router_5_2,0.5000,0.862986
46,router_5_0,router_5_2,0.5000,0.817597
47,router_5_0,router_5_2,0.5000,0.548095
48,router_6_0,router_5_2,1.2000,0.559301
49,router_6_0,router_6_2,1.5000,0.865162
50,router_6_0,router_6_2,0.7000,0.846301
51,router_6_0,router_6_2,2.7001,0.681045
52,router_6_0,router_6_2,3.1001,0.874455
53,router_6_0,router_6_2,0.7000,0.876789
54,router_6_0,router_6_2,1.5000,0.883092
55,router_6_0,router_6_2,1.1000,0.881949
56,router_7_0,router_6_2,1.2000,0.670478
57,router_7_0,router_7_2,1.5000,0.685199
58,router_7_0,router_7_2,2.7001,0.876456
59,router_7_0,router_7_2,1.5000,0.877794
60,router_7_0,router_7_2,1.1000,0.878464
61,router_7_0,router_7_2,0.5000,0.637133
62,router_7_0,router_7_2,0.5000,0.814879
63,router_7_0,router_7_2,0.7000,0.884094
64,router_0_1,router_7_2,5.7001,0.411068
65,router_0_1,router_0_3,3.1001,0.880403
66,router_0_1,router_0_3,1.1000,0.880409
67,router_0_1,router_0_3,1.1000,0.877794
