Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_7_1,2.9000,0.274858
1,router_0_0,router_0_2,0.5000,0.637874
2,router_0_0,router_0_2,0.5000,0.613608
3,router_0_0,router_0_2,0.5000,0.817143
4,router_0_0,router_0_2,0.7000,0.781879
5,router_0_0,router_0_2,1.1000,0.751954
6,router_0_0,router_0_2,0.5000,0.802430
7,router_0_0,router_0_2,0.5000,0.819417
8,router_1_0,router_0_2,1.2000,0.413037
9,router_1_0,router_1_2,1.1000,0.865831
10,router_1_0,router_1_2,1.5000,0.878464
11,router_1_0,router_1_2,1.9001,0.877125
12,router_1_0,router_1_2,3.9001,0.873124
13,router_1_0,router_1_2,1.1000,0.851338
14,router_1_0,router_1_2,1.5000,0.877125
15,router_1_0,router_1_2,0.7000,0.878464
16,router_2_0,router_1_2,2.5001,0.811013
17,router_2_0,router_2_2,0.7000,0.843786
18,router_2_0,router_2_2,1.9001,0.847256
19,router_2_0,router_2_2,1.5000,0.846778
20,router_2_0,router_2_2,0.5000,0.861957
21,router_2_0,router_2_2,0.5000,0.816388
22,router_2_0,router_2_2,0.5000,0.548016
23,router_2_0,router_2_2,0.5000,0.816388
24,router_3_0,router_2_2,1.4000,0.801163
25,router_3_0,router_3_2,2.3001,0.831434
26,router_3_0,router_3_2,1.1000,0.799132
27,router_3_0,router_3_2,0.7000,0.683003
28,router_3_0,router_3_2,1.1000,0.856258
29,router_3_0,router_3_2,1.1000,0.681620
30,router_3_0,router_3_2,1.9001,0.842497
31,router_3_0,router_3_2,0.5000,0.588408
32,router_4_0,router_3_2,1.2000,0.605581
33,router_4_0,router_4_2,0.7000,0.660579
34,router_4_0,router_4_2,1.1000,0.845665
35,router_4_0,router_4_2,0.9000,0.877622
36,router_4_0,router_4_2,1.9000,0.753549
37,router_4_0,router_4_2,0.7000,0.658440
38,router_4_0,router_4_2,0.5000,0.610604
39,router_4_0,router_4_2,0.5000,0.817900
40,router_5_0,router_4_2,3.9001,0.640962
41,router_5_0,router_5_2,0.5000,0.640737
42,router_5_0,router_5_2,0.5000,0.815633
43,router_5_0,router_5_2,0.5000,0.735033
44,router_5_0,router_5_2,0.5000,0.815331
45,router_5_0,router_5_2,0.5000,0.849408
46,router_5_0,router_5_2,0.5000,0.816237
47,router_5_0,router_5_2,0.5000,0.548174
48,router_6_0,router_5_2,1.2000,0.555789
49,router_6_0,router_6_2,1.1000,0.878464
50,router_6_0,router_6_2,0.7000,0.878464
51,router_6_0,router_6_2,3.1001,0.874455
52,router_6_0,router_6_2,0.7000,0.878464
53,router_6_0,router_6_2,0.5000,0.815440
54,router_6_0,router_6_2,0.5000,0.548334
55,router_6_0,router_6_2,0.5000,0.815181
56,router_7_0,router_6_2,2.4000,0.808225
57,router_7_0,router_7_2,1.1000,0.840150
58,router_7_0,router_7_2,1.5000,0.844871
59,router_7_0,router_7_2,0.7000,0.632054
60,router_7_0,router_7_2,1.5000,0.868818
61,router_7_0,router_7_2,1.1000,0.684391
62,router_7_0,router_7_2,1.1000,0.845030
63,router_7_0,router_7_2,0.5000,0.598980
64,router_0_1,router_7_2,2.5000,0.290606
65,router_0_1,router_0_3,2.3001,0.664954
66,router_0_1,router_0_3,0.5000,0.629314
67,router_0_1,router_0_3,0.5000,0.815482
68,router_0_1,router_0_3,0.5000,0.717813
69,router_0_1,router_0_3,0.5000,0.816388
70,router_0_1,router_0_3,1.5000,0.847955
71,router_0_1,router_0_3,0.7000,0.814913
72,router_1_1,router_0_3,1.7000,0.598752
73,router_1_1,router_1_3,0.5000,0.872523
74,router_1_1,router_1_3,0.5000,0.814578
75,router_1_1,router_1_3,0.5000,0.548334
76,router_1_1,router_1_3,0.5000,0.816992
77,router_1_1,router_1_3,1.5000,0.870960
78,router_1_1,router_1_3,0.5000,0.593145
79,router_1_1,router_1_3,0.5000,0.816388
80,router_2_1,router_1_3,1.3000,0.569457
81,router_2_1,router_2_3,0.5000,0.568993
82,router_2_1,router_2_3,0.5000,0.815935
83,router_2_1,router_2_3,1.1000,0.745870
84,router_2_1,router_2_3,1.1000,0.718075
85,router_2_1,router_2_3,2.3001,0.875788
86,router_2_1,router_2_3,1.5000,0.768166
87,router_2_1,router_2_3,0.7000,0.844713
88,router_3_1,router_2_3,2.5001,0.759849
89,router_3_1,router_3_3,0.7000,0.789188
90,router_3_1,router_3_3,1.5000,0.844396
91,router_3_1,router_3_3,0.5000,0.816864
92,router_3_1,router_3_3,0.5000,0.821546
93,router_3_1,router_3_3,0.5000,0.548413
94,router_3_1,router_3_3,3.1001,0.873067
95,router_3_1,router_3_3,3.1001,0.681275
96,router_4_1,router_3_3,1.3000,0.609734
97,router_4_1,router_4_3,0.7000,0.630261
98,router_4_1,router_4_3,0.5000,0.847353
99,router_4_1,router_4_3,0.5000,0.550570
100,router_4_1,router_4_3,0.5000,0.815181
101,router_4_1,router_4_3,1.1000,0.877794
102,router_4_1,router_4_3,0.7000,0.878464
103,router_4_1,router_4_3,0.5000,0.678390
104,router_5_1,router_4_3,3.4001,0.749968
105,router_5_1,router_5_3,1.5000,0.708501
106,router_5_1,router_5_3,1.5000,0.877794
107,router_5_1,router_5_3,0.5000,0.662423
108,router_5_1,router_5_3,0.5000,0.815482
109,router_5_1,router_5_3,1.5000,0.813076
110,router_5_1,router_5_3,1.9001,0.780390
111,router_5_1,router_5_3,0.5000,0.865590
112,router_6_1,router_5_3,1.9000,0.754387
113,router_6_1,router_6_3,0.7000,0.806754
114,router_6_1,router_6_3,1.5000,0.843762
115,router_6_1,router_6_3,0.7000,0.864305
116,router_6_1,router_6_3,0.7000,0.845030
117,router_6_1,router_6_3,1.1000,0.681620
118,router_6_1,router_6_3,0.7000,0.845030
119,router_6_1,router_6_3,0.7000,0.857796
120,router_7_1,router_6_3,1.9000,0.636633
121,router_7_1,router_7_3,0.5000,0.503800
122,router_7_1,router_7_3,0.5000,0.814879
123,router_7_1,router_7_3,0.5000,0.829817
124,router_7_1,router_7_3,0.5000,0.600206
125,router_7_1,router_7_3,0.5000,0.817295
126,router_7_1,router_7_3,0.7000,0.712028
127,router_0_0,router_7_3,4.9000,0.259786
128,router_7_1,router_0_0,4.1001,0.304533
129,router_7_3,router_0_0,5.5000,0.271918
130,router_7_1,router_0_0,4.1001,0.342326
131,router_7_3,router_0_0,5.0000,0.335758
132,router_7_3,router_7_1,1.6000,0.873449
133,router_7_3,router_7_1,0.6000,0.804137
134,router_0_2,router_0_0,1.3000,0.824504
135,router_0_2,router_0_0,2.3001,0.818658
136,router_0_0,router_0_2,0.5000,0.755053
137,router_0_0,router_0_2,0.5000,0.799868
138,router_0_2,router_0_0,3.3001,0.852548
139,router_0_2,router_0_0,1.8000,0.816388
140,router_0_0,router_0_2,0.5000,0.866914
141,router_0_0,router_0_2,0.5000,0.802514
142,router_0_2,router_0_0,0.6000,0.540948
143,router_0_2,router_0_0,0.8000,0.864707
144,router_0_0,router_0_2,3.9001,0.825062
145,router_0_0,router_0_2,1.1000,0.629617
