Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_0,router_5_2,2.5000,0.514489
1,router_0_0,router_5_2,3.3001,0.509270
2,router_0_0,router_5_2,3.0000,0.612488
3,router_0_0,router_5_2,2.5000,0.495442
4,router_0_0,router_5_2,2.5000,0.278077
5,router_0_0,router_5_2,3.8001,0.538111
6,router_0_0,router_5_2,4.1001,0.357666
7,router_0_0,router_5_2,3.3001,0.608704
8,router_0_0,router_5_2,3.3001,0.363826
9,router_0_0,router_5_2,3.3001,0.522672
10,router_0_0,router_5_2,3.0000,0.586332
11,router_0_0,router_5_2,2.5000,0.345402
12,router_0_0,router_5_2,2.5000,0.440389
13,router_0_0,router_5_2,3.7001,0.286527
14,router_0_0,router_5_2,2.9000,0.513452
15,router_0_0,router_5_2,2.9000,0.328204
16,router_0_0,router_5_2,5.7001,0.519635
17,router_0_0,router_5_2,4.2001,0.340778
18,router_0_0,router_5_2,3.3000,0.540694
19,router_0_0,router_5_2,3.7001,0.383398
20,router_5_2,router_6_2,0.2000,0.711096
21,router_0_0,router_6_2,3.3001,0.438901
22,router_5_2,router_6_2,0.2000,0.899810
23,router_0_0,router_6_2,4.5001,0.389401
24,router_0_0,router_5_2,3.3001,0.553851
25,router_0_0,router_5_2,3.3001,0.461725
26,router_0_0,router_6_2,3.3001,0.513856
27,router_0_0,router_6_2,3.7001,0.448290
28,router_0_0,router_6_2,2.9000,0.510222
29,router_0_0,router_6_2,4.5001,0.550554
30,router_1_0,router_6_2,6.1001,0.528187
31,router_1_0,router_6_2,5.7001,0.604491
32,router_1_0,router_6_2,4.5001,0.568621
33,router_1_0,router_6_2,4.1001,0.414680
34,router_1_0,router_6_2,2.5000,0.602446
35,router_1_0,router_6_2,4.5001,0.353683
36,router_1_0,router_6_2,3.7001,0.554825
37,router_1_0,router_6_2,4.5001,0.567526
38,router_1_0,router_6_2,4.2001,0.347088
39,router_1_0,router_6_2,5.7001,0.593746
40,router_1_0,router_6_2,5.7001,0.364954
41,router_1_0,router_6_2,4.9001,0.539070
42,router_1_0,router_6_2,2.9000,0.575870
43,router_1_0,router_6_2,3.7001,0.364276
44,router_1_0,router_6_2,2.9000,0.555639
45,router_1_0,router_6_2,3.7001,0.288844
46,router_1_0,router_6_2,2.9000,0.507754
47,router_1_0,router_6_2,2.9000,0.590878
48,router_1_0,router_6_2,2.9000,0.316502
49,router_1_0,router_6_2,4.1001,0.506999
50,router_1_0,router_6_2,3.0000,0.595885
51,router_1_0,router_6_2,2.9000,0.336559
52,router_1_0,router_6_2,4.1001,0.539688
53,router_1_0,router_6_2,3.3001,0.581422
54,router_6_2,router_7_2,0.2000,0.920458
55,router_1_0,router_7_2,4.1001,0.338035
56,router_6_2,router_7_2,0.2000,0.898425
57,router_1_0,router_7_2,2.9000,0.524014
58,router_1_0,router_6_2,4.5001,0.366840
59,router_1_0,router_6_2,2.5000,0.549907
60,router_1_0,router_7_2,2.9000,0.503942
61,router_1_0,router_7_2,4.1001,0.300264
62,router_1_0,router_7_2,2.9000,0.573542
63,router_1_0,router_7_2,3.7001,0.296884
64,router_2_0,router_7_2,3.3001,0.435527
65,router_2_0,router_7_2,4.5001,0.580922
66,router_2_0,router_7_2,3.8001,0.388477
67,router_2_0,router_7_2,3.3000,0.545934
68,router_2_0,router_7_2,2.9000,0.539540
69,router_2_0,router_7_2,5.7001,0.305497
70,router_2_0,router_7_2,5.0001,0.608230
71,router_2_0,router_7_2,8.1002,0.358231
72,router_2_0,router_7_2,3.4001,0.443345
73,router_2_0,router_7_2,2.9000,0.287400
74,router_2_0,router_7_2,2.5000,0.527662
75,router_2_0,router_7_2,2.9000,0.330913
76,router_2_0,router_7_2,3.3001,0.527070
77,router_2_0,router_7_2,3.3001,0.463779
78,router_2_0,router_7_2,3.7001,0.576535
79,router_2_0,router_7_2,3.7001,0.389823
80,router_2_0,router_7_2,3.3001,0.523765
81,router_2_0,router_7_2,2.5000,0.449565
82,router_2_0,router_7_2,4.2001,0.500220
83,router_2_0,router_7_2,2.9000,0.499659
84,router_2_0,router_7_2,2.6000,0.512961
85,router_2_0,router_7_2,3.7001,0.562224
86,router_2_0,router_7_2,3.3001,0.556864
87,router_2_0,router_7_2,4.1001,0.564700
88,router_7_2,router_0_3,3.6000,0.305612
89,router_2_0,router_0_3,2.4000,0.520107
90,router_7_2,router_0_3,3.6000,0.283274
91,router_2_0,router_0_3,2.4000,0.621168
92,router_2_0,router_7_2,2.5000,0.451112
93,router_2_0,router_7_2,3.7001,0.301611
94,router_2_0,router_0_3,2.4000,0.633400
95,router_2_0,router_0_3,2.4000,0.533499
96,router_2_0,router_0_3,2.4000,0.319371
97,router_2_0,router_0_3,2.6000,0.608165
98,router_3_0,router_0_3,3.6000,0.304193
99,router_3_0,router_0_3,2.6000,0.623028
100,router_3_0,router_0_3,3.1000,0.340192
101,router_3_0,router_0_3,2.7000,0.558279
102,router_3_0,router_0_3,3.3000,0.633523
103,router_3_0,router_0_3,2.5000,0.359204
104,router_3_0,router_0_3,4.9001,0.569238
105,router_3_0,router_0_3,5.1001,0.599002
106,router_3_0,router_0_3,3.9001,0.345617
107,router_3_0,router_0_3,2.6000,0.633329
108,router_3_0,router_0_3,3.1000,0.339664
109,router_3_0,router_0_3,2.6000,0.559185
110,router_3_0,router_0_3,3.1001,0.645460
111,router_3_0,router_0_3,3.6000,0.345554
112,router_3_0,router_0_3,4.1001,0.568983
113,router_3_0,router_0_3,5.7001,0.601304
114,router_3_0,router_0_3,4.1001,0.406015
115,router_3_0,router_0_3,2.4000,0.638149
116,router_3_0,router_0_3,3.1001,0.312332
117,router_3_0,router_0_3,2.4000,0.534653
118,router_3_0,router_0_3,3.6000,0.646685
119,router_3_0,router_0_3,3.5001,0.313270
120,router_3_0,router_0_3,2.4000,0.557376
121,router_3_0,router_0_3,4.3001,0.604713
122,router_0_3,router_1_3,0.2000,0.931396
123,router_3_0,router_1_3,3.6000,0.333146
124,router_0_3,router_1_3,0.2000,0.686046
125,router_3_0,router_1_3,4.1001,0.628145
