Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.3000,0.696811
1,router_7_3,router_6_3,0.3000,0.908532
2,router_7_3,router_6_3,0.3000,0.758847
3,router_7_3,router_6_3,0.3000,0.916217
4,router_7_3,router_6_3,0.3000,0.807215
5,router_7_3,router_6_3,0.3000,0.905030
6,router_7_3,router_6_3,0.3000,0.908532
6,router_7_3,router_6_3,0.3000,0.895760
7,router_7_3,router_6_3,0.3000,0.914707
9,router_7_3,router_6_3,0.3000,0.905030
9,router_7_3,router_6_3,0.3000,0.760886
10,router_7_3,router_6_3,0.3000,0.920100
12,router_7_3,router_6_3,0.3000,0.906954
12,router_7_3,router_6_3,0.3000,0.759254
13,router_7_3,router_6_3,0.3000,0.913645
15,router_7_3,router_6_3,0.3000,0.947847
16,router_7_3,router_6_3,0.3000,0.907655
16,router_7_3,router_6_3,0.3000,0.758847
18,router_7_3,router_6_3,0.3000,0.913822
19,router_7_3,router_6_3,0.3000,0.913822
20,router_7_3,router_6_3,0.5000,0.949813
20,router_7_3,router_6_3,0.3000,0.957331
21,router_7_3,router_6_3,0.3000,0.955977
22,router_7_3,router_6_3,0.3000,0.958275
23,router_7_3,router_6_3,0.3000,0.956506
25,router_7_3,router_6_3,0.3000,0.914204
26,router_7_3,router_6_3,0.3000,0.956833
27,router_7_3,router_6_3,0.3000,0.953344
28,router_7_3,router_6_3,0.3000,0.956919
29,router_7_3,router_6_3,0.5000,0.949813
30,router_7_3,router_6_3,0.5000,0.949813
31,router_7_3,router_6_3,0.3000,0.916482
32,router_7_3,router_6_3,0.5000,0.949813
33,router_7_3,router_6_3,3.0001,0.949813
34,router_7_3,router_6_3,0.5000,0.949813
35,router_7_3,router_6_3,0.3000,0.934796
36,router_7_3,router_6_3,0.3000,0.905904
37,router_7_3,router_6_3,0.3000,0.759526
38,router_7_3,router_6_3,0.3000,0.919154
39,router_7_3,router_6_3,0.3000,0.922715
40,router_7_3,router_6_3,0.3000,0.914353
41,router_7_3,router_6_3,0.3000,0.913645
42,router_7_3,router_6_3,0.3000,0.906253
43,router_7_3,router_6_3,0.3000,0.946421
44,router_7_3,router_6_3,0.3000,0.917372
45,router_7_3,router_6_3,0.3000,0.914707
46,router_7_3,router_6_3,0.3000,0.913822
47,router_7_3,router_6_3,0.3000,0.916482
48,router_7_3,router_6_3,0.3000,0.916482
49,router_7_3,router_6_3,0.3000,0.905030
50,router_7_3,router_6_3,0.5000,0.949813
51,router_7_3,router_6_3,0.8000,0.949548
52,router_7_3,router_6_3,0.8000,0.955645
53,router_7_3,router_6_3,0.3000,0.957072
54,router_7_3,router_6_3,0.3000,0.957772
55,router_7_3,router_6_3,0.3000,0.956537
