Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.5000,0.949813
1,router_7_3,router_6_3,2.5001,0.949813
2,router_7_3,router_6_3,0.5000,0.949813
3,router_7_3,router_6_3,2.0000,0.949813
4,router_7_3,router_6_3,0.5000,0.949813
5,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,0.5000,0.949813
6,router_7_3,router_6_3,2.5001,0.949813
8,router_7_3,router_6_3,0.5000,0.949813
10,router_7_3,router_6_3,1.0000,0.949813
11,router_7_3,router_6_3,3.0001,0.949813
11,router_7_3,router_6_3,1.0000,0.949813
13,router_7_3,router_6_3,0.5000,0.949813
13,router_7_3,router_6_3,2.0000,0.949813
14,router_7_3,router_6_3,1.0000,0.949813
15,router_7_3,router_6_3,1.0000,0.949813
16,router_7_3,router_6_3,2.0000,0.949813
16,router_7_3,router_6_3,1.0000,0.949813
17,router_7_3,router_6_3,0.5000,0.949813
18,router_7_3,router_6_3,1.0000,0.949813
20,router_7_3,router_6_3,2.0000,0.949813
20,router_7_3,router_6_3,2.0000,0.949813
22,router_7_3,router_6_3,0.5000,0.949813
23,router_7_3,router_6_3,0.5000,0.949813
24,router_7_3,router_6_3,0.5000,0.949813
25,router_7_3,router_6_3,0.5000,0.949813
25,router_7_3,router_6_3,0.5000,0.949813
27,router_7_3,router_6_3,1.5000,0.949813
28,router_7_3,router_6_3,0.5000,0.949813
29,router_7_3,router_6_3,1.5000,0.949813
30,router_7_3,router_6_3,0.5000,0.949813
30,router_7_3,router_6_3,0.5000,0.949813
32,router_7_3,router_6_3,0.5000,0.949813
33,router_7_3,router_6_3,0.5000,0.949813
34,router_7_3,router_6_3,3.5001,0.949813
35,router_7_3,router_6_3,0.5000,0.949813
36,router_7_3,router_6_3,2.0000,0.949813
36,router_7_3,router_6_3,0.5000,0.949813
38,router_7_3,router_6_3,1.0000,0.949813
39,router_7_3,router_6_3,0.5000,0.949813
40,router_7_3,router_6_3,0.5000,0.949813
41,router_7_3,router_6_3,1.0000,0.949813
42,router_7_3,router_6_3,0.5000,0.949813
42,router_7_3,router_6_3,1.0000,0.949813
44,router_7_3,router_6_3,9.0002,0.949813
45,router_7_3,router_6_3,0.5000,0.949813
46,router_7_3,router_6_3,1.0000,0.949813
47,router_7_3,router_6_3,2.0000,0.949813
48,router_7_3,router_6_3,0.5000,0.949813
50,router_7_3,router_6_3,1.5000,0.949813
51,router_7_3,router_6_3,1.0000,0.949813
51,router_7_3,router_6_3,1.0000,0.949813
52,router_7_3,router_6_3,0.5000,0.949813
53,router_7_3,router_6_3,1.5000,0.949813
54,router_7_3,router_6_3,0.5000,0.949813
55,router_7_3,router_6_3,1.0000,0.949813
57,router_7_3,router_6_3,2.0000,0.949813
58,router_7_3,router_6_3,1.5000,0.949813
58,router_7_3,router_6_3,1.5000,0.949813
59,router_7_3,router_6_3,1.0000,0.949813
60,router_7_3,router_6_3,2.0000,0.949813
61,router_7_3,router_6_3,1.5000,0.949813
62,router_7_3,router_6_3,1.5000,0.949813
63,router_7_3,router_6_3,1.0000,0.949813
65,router_7_3,router_6_3,2.0000,0.949813
65,router_7_3,router_6_3,1.0000,0.949813
66,router_7_3,router_6_3,1.0000,0.949813
67,router_7_3,router_6_3,1.0000,0.949813
68,router_7_3,router_6_3,1.5000,0.949813
69,router_7_3,router_6_3,0.5000,0.949813
70,router_7_3,router_6_3,1.0000,0.949813
71,router_7_3,router_6_3,1.0000,0.949813
72,router_7_3,router_6_3,0.5000,0.949813
73,router_7_3,router_6_3,0.5000,0.949813
74,router_7_3,router_6_3,3.0001,0.949813
75,router_7_3,router_6_3,1.0000,0.949813
76,router_7_3,router_6_3,1.5000,0.949813
77,router_7_3,router_6_3,0.5000,0.949813
78,router_7_3,router_6_3,0.5000,0.949813
79,router_7_3,router_5_3,1.8000,0.876790
81,router_7_3,router_6_3,0.5000,0.949813
81,router_7_3,router_6_3,1.0000,0.949813
82,router_7_3,router_6_3,1.0000,0.949813
