Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_3,router_6_3,0.5000,0.949813
2,router_7_3,router_6_3,2.5001,0.949813
2,router_7_3,router_6_3,0.5000,0.949813
3,router_7_3,router_6_3,2.0000,0.949813
3,router_7_3,router_6_3,0.5000,0.949813
4,router_7_3,router_6_3,0.5000,0.949813
7,router_7_3,router_6_3,0.5000,0.949813
8,router_7_3,router_6_3,2.5001,0.949813
9,router_7_3,router_6_3,0.5000,0.949813
9,router_7_3,router_6_3,3.0001,0.949813
10,router_7_3,router_6_3,1.0000,0.949813
10,router_7_3,router_6_3,1.0000,0.949813
11,router_7_3,router_6_3,0.5000,0.949813
12,router_7_3,router_6_3,2.0000,0.949813
14,router_7_3,router_6_3,1.0000,0.949813
15,router_7_3,router_6_3,1.0000,0.949813
15,router_7_3,router_6_3,2.0000,0.949813
16,router_7_3,router_6_3,1.0000,0.949813
17,router_7_3,router_6_3,0.5000,0.949813
19,router_7_3,router_6_3,1.0000,0.949813
20,router_7_3,router_6_3,2.0000,0.949813
21,router_7_3,router_6_3,2.0000,0.949813
22,router_7_3,router_6_3,0.5000,0.949813
23,router_7_3,router_6_3,0.5000,0.949813
24,router_7_3,router_6_3,0.5000,0.949813
25,router_7_3,router_6_3,0.5000,0.949813
26,router_7_3,router_6_3,0.5000,0.949813
27,router_7_3,router_6_3,1.5000,0.949813
28,router_7_3,router_6_3,0.5000,0.949813
29,router_7_3,router_6_3,3.5001,0.949813
30,router_7_3,router_6_3,0.5000,0.949813
31,router_7_3,router_6_3,0.5000,0.949813
32,router_7_3,router_6_3,1.5000,0.949813
33,router_7_3,router_6_3,0.5000,0.949813
34,router_7_3,router_6_3,0.5000,0.949813
35,router_7_3,router_6_3,0.5000,0.949813
37,router_7_3,router_6_3,0.5000,0.949813
38,router_7_3,router_6_3,1.0000,0.949813
39,router_7_3,router_6_3,2.0000,0.949813
39,router_7_3,router_6_3,0.5000,0.949813
40,router_7_3,router_6_3,0.5000,0.949813
41,router_7_3,router_6_3,1.0000,0.949813
42,router_7_3,router_6_3,0.5000,0.949813
43,router_7_3,router_5_3,1.8000,0.877627
44,router_7_3,router_6_3,9.0002,0.949813
45,router_7_3,router_6_3,1.0000,0.949813
46,router_7_3,router_6_3,1.5000,0.949813
47,router_7_3,router_6_3,1.0000,0.949813
48,router_7_3,router_6_3,0.5000,0.949813
49,router_7_3,router_6_3,1.0000,0.949813
