Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_7_7,router_6_7,0.3000,0.848094
1,router_7_7,router_6_7,0.5000,0.949813
2,router_7_7,router_6_7,0.3000,0.915062
3,router_7_7,router_6_7,0.3000,0.914849
3,router_7_7,router_6_7,0.3000,0.758711
4,router_7_7,router_6_7,0.3000,0.915772
6,router_7_7,router_6_7,0.3000,0.913645
6,router_7_7,router_6_7,0.5000,0.949813
7,router_7_7,router_6_7,1.5000,0.949813
9,router_7_7,router_6_7,0.5000,0.949813
10,router_7_7,router_6_7,0.5000,0.949813
10,router_7_7,router_6_7,0.3000,0.814247
12,router_7_7,router_6_7,0.3000,0.914707
13,router_7_7,router_6_7,0.3000,0.913822
14,router_7_7,router_6_7,0.3000,0.913822
15,router_7_7,router_6_7,0.3000,0.913822
16,router_7_7,router_6_7,0.3000,0.809744
17,router_7_7,router_6_7,0.3000,0.916482
18,router_7_7,router_6_7,0.3000,0.913645
19,router_7_7,router_6_7,0.3000,0.915062
20,router_7_7,router_6_7,0.3000,0.913645
21,router_7_7,router_6_7,0.3000,0.914353
22,router_7_7,router_6_7,0.3000,0.781059
23,router_7_7,router_6_7,0.3000,0.915594
24,router_7_7,router_6_7,0.3000,0.913822
25,router_7_7,router_6_7,0.3000,0.913822
26,router_7_7,router_6_7,0.3000,0.915594
27,router_7_7,router_6_7,0.3000,0.948200
28,router_7_7,router_6_7,0.3000,0.915772
29,router_7_7,router_6_7,0.3000,0.913822
30,router_7_7,router_6_7,0.3000,0.915594
31,router_7_7,router_6_7,0.3000,0.915594
32,router_7_7,router_6_7,0.3000,0.759254
33,router_7_7,router_6_7,0.3000,0.915062
34,router_7_7,router_6_7,0.3000,0.913645
35,router_7_7,router_6_7,0.3000,0.936203
36,router_7_7,router_6_7,0.3000,0.913822
37,router_7_7,router_6_7,0.3000,0.933157
38,router_7_7,router_6_7,0.3000,0.913822
39,router_7_7,router_6_7,0.3000,0.916482
40,router_7_7,router_6_7,0.3000,0.917372
41,router_7_7,router_6_7,0.3000,0.914707
42,router_7_7,router_6_7,0.3000,0.913822
43,router_7_7,router_5_7,0.6000,0.730163
44,router_7_7,router_6_7,0.3000,0.913114
45,router_7_7,router_6_7,0.3000,0.760886
46,router_7_7,router_6_7,0.3000,0.927820
47,router_7_7,router_6_7,0.3000,0.914353
48,router_7_7,router_6_7,0.3000,0.915772
49,router_7_7,router_6_7,0.3000,0.914353
50,router_7_7,router_5_7,0.6000,0.836183
51,router_7_7,router_5_7,0.6000,0.814428
52,router_7_7,router_6_7,0.3000,0.913114
53,router_7_7,router_6_7,0.3000,0.758711
54,router_7_7,router_6_7,0.3000,0.914353
55,router_7_7,router_6_7,0.3000,0.925040
56,router_7_7,router_6_7,0.3000,0.915062
57,router_7_7,router_5_7,0.6000,0.521751
58,router_7_7,router_5_7,0.6000,0.815482
59,router_7_7,router_5_7,0.6000,0.833807
60,router_7_7,router_6_7,0.3000,0.913291
61,router_7_7,router_6_7,0.3000,0.786663
62,router_7_7,router_6_7,0.3000,0.915062
63,router_7_7,router_6_7,0.3000,0.913645
64,router_7_7,router_5_7,0.6000,0.601490
65,router_7_7,router_5_7,0.6000,0.816086
66,router_7_7,router_5_7,0.6000,0.583837
67,router_7_7,router_5_7,0.6000,0.816841
68,router_7_7,router_6_7,0.3000,0.913645
68,router_7_7,router_6_7,0.3000,0.815679
70,router_7_7,router_6_7,0.3000,0.917372
71,router_7_7,router_5_7,0.6000,0.684098
72,router_7_7,router_5_7,0.8000,0.782862
73,router_7_7,router_5_7,2.8001,0.841865
74,router_7_7,router_5_7,0.6000,0.798323
75,router_7_7,router_5_7,0.6000,0.817295
76,router_7_7,router_6_7,0.3000,0.913114
77,router_7_7,router_6_7,0.3000,0.913114
78,router_7_7,router_5_7,1.3000,0.877627
79,router_7_7,router_5_7,1.8000,0.732944
80,router_7_7,router_5_7,0.6000,0.564677
81,router_7_7,router_5_7,0.6000,0.853911
82,router_7_7,router_5_7,0.6000,0.548175
83,router_7_7,router_5_7,0.6000,0.815482
84,router_7_7,router_6_7,0.3000,0.915594
85,router_7_7,router_5_7,0.6000,0.632000
86,router_7_7,router_5_7,0.6000,0.815935
87,router_7_7,router_5_7,1.8000,0.793906
88,router_7_7,router_5_7,2.8001,0.840131
89,router_7_7,router_5_7,1.8000,0.846759
90,router_7_7,router_5_7,1.8000,0.841865
91,router_7_7,router_5_7,2.3001,0.680356
92,router_7_7,router_5_7,0.6000,0.738601
93,router_7_7,router_5_7,0.6000,0.818203
94,router_7_7,router_5_7,0.6000,0.851759
95,router_7_7,router_5_7,0.6000,0.817295
96,router_7_7,router_5_7,0.6000,0.753323
97,router_7_7,router_5_7,0.6000,0.816992
98,router_7_7,router_5_7,0.6000,0.647096
99,router_7_7,router_5_7,0.6000,0.815633
100,router_6_7,router_5_7,0.3000,0.913114
101,router_7_7,router_5_7,0.6000,0.564677
102,router_7_7,router_5_7,0.6000,0.817900
103,router_7_7,router_5_7,0.8000,0.861233
104,router_7_7,router_5_7,0.6000,0.598459
105,router_7_7,router_5_7,0.6000,0.815030
106,router_7_7,router_5_7,0.8000,0.715288
107,router_7_7,router_5_7,3.3001,0.840919
108,router_7_7,router_4_7,2.4000,0.621900
109,router_6_7,router_5_7,0.3000,0.913857
110,router_6_7,router_5_7,0.5000,0.949813
111,router_7_7,router_5_7,0.6000,0.789735
112,router_7_7,router_5_7,0.6000,0.814578
113,router_7_7,router_5_7,1.3000,0.875305
114,router_7_7,router_5_7,0.6000,0.816507
115,router_7_7,router_5_7,0.6000,0.814428
116,router_7_7,router_5_7,0.6000,0.549609
117,router_7_7,router_4_7,2.4000,0.802950
118,router_7_7,router_4_7,2.9000,0.513278
119,router_6_7,router_5_7,1.0000,0.949813
119,router_6_7,router_5_7,1.0000,0.949813
121,router_6_7,router_5_7,0.3000,0.826293
122,router_7_7,router_5_7,0.6000,0.725430
123,router_7_7,router_5_7,0.6000,0.815331
124,router_7_7,router_5_7,0.8000,0.796890
125,router_7_7,router_5_7,4.3001,0.839345
