backend,profile,candidate,baseline,n,latency_reduction_ms_mean,latency_reduction_ms_ci95_low,latency_reduction_ms_ci95_high,latency_reduction_percent_mean,latency_reduction_percent_ci95_low,latency_reduction_percent_ci95_high
ACE,static-3plus1,fixed,matched-on-demand,30,0.2983412049444894,0.29555712006951357,0.30112528981946524,27.01729396857407,26.801615205780383,27.232972731367756
ACE,static-3plus1,dynamic,matched-on-demand,30,0.30190414600894905,0.29910310841439586,0.30470518360350224,27.33930912874853,27.134716111553534,27.543902145943523
ACE,static-3plus1,dynamic,fixed,30,0.00356294106445969,0.0010097353195355242,0.006116146809383856,0.43745762918387915,0.12054625046546102,0.7543690079022973
ACE,static-2plus2,fixed,matched-on-demand,30,0.12097989868860184,0.11895448642716995,0.12300531095003374,10.956177672948291,10.777096152475675,11.135259193420907
ACE,static-2plus2,dynamic,matched-on-demand,30,0.12525941831415696,0.12292271911431035,0.12759611751400357,11.343331131383044,11.138211989320622,11.548450273445466
ACE,static-2plus2,dynamic,fixed,30,0.004279519625555117,0.002004061004064985,0.006554978247045249,0.43338061369237457,0.20225680393892626,0.6645044234458228
ACE,static-1plus1,fixed,matched-on-demand,30,0.10380264900652676,0.10204481991620097,0.10556047809685255,9.398997944867654,9.255906057507815,9.542089832227493
ACE,static-1plus1,dynamic,matched-on-demand,30,0.09458079681065809,0.092788000297565,0.09637359332375119,8.564291349104735,8.413661679772845,8.714921018436625
ACE,static-1plus1,dynamic,fixed,30,-0.009221852195868659,-0.011160499086152647,-0.0072832053055846705,-0.922518415046368,-1.1170236788901473,-0.7280131512025886
native-SeQUeNCe,static-3plus1,fixed,matched-on-demand,30,0.0714231211637532,0.07106279486874703,0.07178344745875936,93.42859587853063,93.22738401117573,93.62980774588553
native-SeQUeNCe,static-3plus1,dynamic,matched-on-demand,30,0.057461244070353926,0.05726390983268091,0.05765857830802694,75.17072511054252,74.9036853681124,75.43776485297263
native-SeQUeNCe,static-3plus1,dynamic,fixed,30,-0.013961877093399274,-0.01415185144209421,-0.013771902744704337,-279.6382491835793,-288.54164407740825,-270.7348542897504
native-SeQUeNCe,static-2plus2,fixed,matched-on-demand,30,0.0714231211637532,0.07106279486874703,0.07178344745875936,93.42859587853063,93.22738401117573,93.62980774588553
native-SeQUeNCe,static-2plus2,dynamic,matched-on-demand,30,0.057461244070353926,0.05726390983268091,0.05765857830802694,75.17072511054252,74.9036853681124,75.43776485297263
native-SeQUeNCe,static-2plus2,dynamic,fixed,30,-0.013961877093399274,-0.01415185144209421,-0.013771902744704337,-279.6382491835793,-288.54164407740825,-270.7348542897504
native-SeQUeNCe,static-1plus1,fixed,matched-on-demand,30,0.0394091541837505,0.03906676602234184,0.039751542345159166,51.54738353979391,51.24890503927754,51.84586204031029
native-SeQUeNCe,static-1plus1,dynamic,matched-on-demand,30,0.057461244070353926,0.05726390983268091,0.05765857830802694,75.17072511054252,74.9036853681124,75.43776485297263
native-SeQUeNCe,static-1plus1,dynamic,fixed,30,0.01805208988660342,0.017839717421793987,0.018264462351412852,48.74650966698825,48.166991511710854,49.32602782226565
