backend,candidate,baseline,paired_seeds,latency_reduction_percent_mean,latency_reduction_percent_ci95_low,latency_reduction_percent_ci95_high
ACE,cgp,odg,30,50.39542650564465,50.06961459492381,50.72123841636549
ACE,acgp,odg,30,56.86285891559327,56.57138172720789,57.15433610397865
ACE,fixed,odg,30,40.36580381941458,40.00893523414366,40.722672404685504
ACE,dynamic,odg,30,44.22066957166238,43.937971515019875,44.50336762830488
ACE,fixed,cgp,30,-20.25061934241437,-21.24293897163276,-19.25829971319598
ACE,dynamic,cgp,30,-12.482156122917855,-13.425104201639382,-11.539208044196329
ACE,fixed,acgp,30,-38.2794629549869,-39.399150115252816,-37.15977579472098
ACE,dynamic,acgp,30,-29.34504228203114,-30.38641467215342,-28.30366989190886
ACE,dynamic,fixed,30,6.445210134425738,5.794290558346218,7.0961297105052585
native,fixed,odg,30,93.3452221760307,93.1407506649122,93.5496936871492
native,dynamic,odg,30,74.0005554911922,73.7240075892627,74.2771033931217
native,dynamic,fixed,30,-292.5812843838405,-301.8947419733533,-283.26782679432773
